Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
rhabdomere_membrane_(GO:0033583),2/200,0.000975491001241299,0.000975491001241299,0.00184312074544196,0.00184312074544196,-37.419909793785,259.416129920909,trp;ninaC
microvillus_membrane_(GO:0031528),2/200,0.000975491001241299,0.000975491001241299,0.00184312074544196,0.00184312074544196,-26.9768204271658,187.018685810648,trp;ninaC
rhabdomere_(GO:0016028),2/200,0.000975491001241299,0.000975491001241299,0.00184312074544196,0.00184312074544196,-5.68995632027309,39.4460183404669,trp;ninaC
rhabdomere_microvillus_(GO:0035996),2/200,0.000975491001241299,0.000975491001241299,0.00184312074544196,0.00184312074544196,-5.37428438789827,37.2576006913434,trp;ninaC
microvillus_(GO:0005902),2/200,0.000975491001241299,0.000975491001241299,0.00184312074544196,0.00184312074544196,-1.84586741760851,12.7966043868613,trp;ninaC
