Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
inaD_signaling_complex_(GO:0016027),2/36,3.13945915302899e-05,0.000282551323772609,0.000137777895368573,0.00124000105831716,-190.368421052632,1973.90634740154,trp;ninaC
rhabdomere_microvillus_(GO:0035996),1/46,0.0114483611573848,0.0206070500832926,0.0292091098039313,0.0525763976470764,-112.360916210997,502.243035741313,ninaC
filopodium_(GO:0030175),1/144,0.035488817017172,0.035488817017172,0.0887207332217077,0.0887207332217077,-150.25732379613,501.639732039835,ninaC
unconventional_myosin_complex_(GO:0016461),1/24,0.00598621448448723,0.0134689825900963,0.0155906565811404,0.0350789773075659,-50.2415253521969,257.151000212174,ninaC
rhabdomere_(GO:0016028),2/158,0.000610561351219281,0.00183168405365784,0.00249293716797651,0.00747881150392954,-8.10451281345013,59.9825673131514,trp;ninaC
rhabdomere_membrane_(GO:0033583),2/109,0.000291177736855606,0.00131029981585023,0.00119649224926044,0.00538421512167196,-7.34021137463282,59.7608938836842,trp;ninaC
microvillus_(GO:0005902),1/132,0.0325704797018037,0.035488817017172,0.0815347242427903,0.0887207332217077,-8.79668597551188,30.122922220717,ninaC
microvillus_membrane_(GO:0031528),1/108,0.0267126129368425,0.035488817017172,0.0670780404965507,0.0887207332217077,-7.14112197207947,25.8695672114888,ninaC
multivesicular_body_(GO:0005771),1/132,0.0325704797018037,0.035488817017172,0.0815347242427903,0.0887207332217077,-6.55236298762493,22.4375771952739,ninaC
