Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
inaD signaling complex (GO:0016027),2/10,2.24831270826504e-06,1.01174071871927e-05,4.97014860965188e-06,2.23656687434334e-05,-4.40807997787941,57.3285371172315,trp;ninaC
microvillus membrane (GO:0031528),1/6,0.00149925011245636,0.00269865020242145,0.00271475541484899,0.00488655974672818,-7.20975876993484,46.8835488242325,trp
rhabdomere membrane (GO:0033583),2/7,1.04952750260373e-06,9.44574752343354e-06,2.71099015073131e-06,2.23656687434334e-05,-3.1165420249319,42.9059654045728,trp;ninaC
rhabdomere (GO:0016028),2/33,2.63195598509423e-05,7.8958679552827e-05,4.48066427692595e-05,0.000134419928307778,-1.9823195090069,20.9039520679239,trp;ninaC
rhabdomere microvillus (GO:0035996),1/6,0.00149925011245636,0.00269865020242145,0.00271475541484899,0.00488655974672818,-2.68406597387432,17.4539179671798,trp
unconventional myosin complex (GO:0016461),1/9,0.0022482005399474,0.00337230080992109,0.00387709244192118,0.00581563866288178,-2.22173366396409,13.5472990499212,ninaC
cation channel complex (GO:0034703),1/29,0.00722972637648691,0.0092953624840546,0.0116086857411583,0.014925453095775,-2.36304303100675,11.6487484362267,trp
integral component of plasma membrane (GO:0005887),1/419,0.100461591741987,0.113019290709735,0.156354097785735,0.175898360008952,-0.978805388199064,2.24927500654283,trp
nucleus (GO:0005634),1/1776,0.371873103778041,0.371873103778041,0.570731578017493,0.570731578017493,-1.03636613239447,1.02517607456077,ninaC
