Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
gamma-aminobutyric acid:sodium symporter activity (GO:0005332),1/9,0.000899819991017392,0.00194941497071977,0.00336275510426198,0.00705940701218385,-3.51297130918055,24.6375772741306,Gat
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185),1/10,0.000999774988741042,0.00194941497071977,0.00369871911734345,0.00705940701218385,-3.53131356486105,24.3942445941299,Gat
anion:cation symporter activity (GO:0015296),1/13,0.00129960998047985,0.00194941497071977,0.0047062713414559,0.00705940701218385,-2.92496997591192,19.438446862226,Gat
sodium:amino acid symporter activity (GO:0005283),1/19,0.00189914495729583,0.00227897394875499,0.00671984662089474,0.00806381594507369,-2.34316940133464,14.6831231316481,Gat
G-protein coupled photoreceptor activity (GO:0008020),1/9,0.000899819991017392,0.00194941497071977,0.00336275510426198,0.00705940701218385,-1.61908214390484,11.3551344212161,ninaE
G-protein coupled receptor activity (GO:0004930),1/102,0.0101742437131014,0.0101742437131014,0.0343651200479775,0.0343651200479775,-1.13523756392254,5.20835174048721,ninaE
