pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO:0006644,0.783737024221453,0.986428236940246,0.0501934252649434,0.296904128051759,0.77698359374756,16,Q9W2L6|B7Z0Q1|O97477|P25455|P54352
GO:0006650,0.85792349726776,1,0.0484087618816951,0.293781094991254,0.71997312489567,13,Q9W2L6|B7Z0Q1|P25455|P54352
GO:0006726,0.48816029143898,0.834787998380895,0.0755015292281669,0.405411191933923,0.972691484759345,12,Q9VM10|P15425|Q9VCW2|Q9VSL3|A1Z7S3
GO:0006734,0.0452173913043478,0.327493606138107,0.282013350011725,0.599709706727492,1.52149291558641,14,Q7JYW9|Q9VAJ9|Q7K569|P54385|O62619
GO:0006749,0.201058201058201,0.616836643406692,0.159646701919906,-0.375928376155972,-1.20956553858933,27,A1ZB70|Q9VGA0|Q9VG92|Q9VSL4|P20432|A1ZB68|Q7JVZ8|A1ZB69|A1ZB71|A1ZB73|Q9VSL2|Q7K0B6|Q7KK90
GO:0006753,0.000816335735334718,0.0382900333002237,0.477270815362862,0.477846048911726,1.70419188470345,67,Q9VC18|Q7JYW9|Q9VAJ9|Q9VA09|Q7K569|Q9VTZ4|Q9VUY9|P54385|Q9VF86|Q9VXZ8|Q01637|O01666|P35381|Q7K5K3|P32748|O62619
GO:0006754,0.667876588021779,0.953614292486963,0.0598603117764473,0.358329548953334,0.852578989992304,11,O01666|P35381
GO:0006790,0.576923076923077,0.913616126638635,0.0589694466690997,0.270283923443742,0.927886556267834,53,Q9VZF6|Q9VXZ8|Q7K5K3|Q7JXZ2|Q9VHD3|Q9VSL5|Q7K8X7|Q9VWP4|Q95TK5|Q9VZX9|Q9VRP4|Q9VJ31|Q7JVI6|Q9V9T9|Q9VSL3
GO:0006793,0.159944367176634,0.552052683200224,0.126875729929857,0.306129457717833,1.18896069736659,122,Q9VC18|Q7JYW9|Q9VAJ9|Q9VA09|Q7K569|Q9VTZ4|Q9VUY9|P54385|Q9W2L6|Q9VF86|Q9VXZ8|Q01637|O01666|P35381|Q7K5K3|P32748|O62619
GO:0006796,0.159944367176634,0.552052683200224,0.126875729929857,0.306129457717833,1.18896069736659,122,Q9VC18|Q7JYW9|Q9VAJ9|Q9VA09|Q7K569|Q9VTZ4|Q9VUY9|P54385|Q9W2L6|Q9VF86|Q9VXZ8|Q01637|O01666|P35381|Q7K5K3|P32748|O62619
GO:0006810,0.393865030674847,0.786653249636622,0.066436413766281,0.241439849889833,1.02739491894118,275,Q7JUS9|Q9VLB7|Q9VAJ9|Q9V4E7|O17444|Q7JYX5|Q9V3A8|Q9VN13|Q24253|Q0E8E8|Q9VQE0|P45437|Q9W2E7|P35381|A0A0B7P9G0|P32392|Q9V3I2|Q9V3D9|Q9VKC8|Q7KSQ0|Q9NJH0|A8JTM7|Q94901|A1Z7X8|Q9U4G1|O76902|Q9VVW3|Q9W552|O76742|Q24238|O18333|Q8IQ70|Q9W3M8|Q9VZD9|Q9VXK7|Q8I099|Q9W4P5|Q9V393|Q9VLT3|O18332|Q9VJQ6|Q9VAY3|Q9W4K0|Q7KTG2|Q9VW73|P12370|Q9VF24|Q95TN1|Q9W4W8|O61491
GO:0006811,0.404724409448819,0.786653249636622,0.0776798560117236,0.315290463381901,1.02340389379694,38,Q9V4E7|Q9VN13|P35381|A0A0B7P9G0|Q9VVW3|Q8IQ70|Q9VXK7|Q9W4P5|Q9VAY3
GO:0006812,0.485013623978202,0.834787998380895,0.0982123351217438,-0.281639480194757,-0.970030921413122,35,P19334|Q9VLP0|Q9VWV6|Q24439|P91927|Q9VXN2|Q7K188|Q24583
GO:0006813,0.0275766301763258,0.294165645530243,0.352487857583619,-0.646209673884226,-1.67323641416822,12,Q9VLP0|P91927|Q7K188|Q9VIH9|Q9VII1
GO:0006836,0.351415094339623,0.7557726373898,0.109250039480711,-0.367758584148974,-1.07754027833583,18,P91927|Q9W1I8|P36975|Q9VH76|Q9U6R9|Q9VVE2|Q23983
GO:0006839,0.16260162601626,0.555566117849855,0.137250779610133,0.430018853321448,1.26576635399569,25,Q7JUS9|Q9VN13|Q0E8E8|Q9VKC8|Q7KSQ0|Q9VVW3|Q8IQ70|Q9VAY3|Q9W4W8
GO:0006869,0.611825192802057,0.938236326264601,0.0817515582532145,-0.292277707878172,-0.889177384080062,22,Q9VFN7|Q9VA42
GO:0006873,0.360849056603774,0.765921213289634,0.107554375265169,-0.364387336606268,-1.06766245312092,18,P19334|Q9VAM6|A1Z992|Q9VJZ6|Q9W385|Q9VQR9|Q9W425|Q9VMX4|Q9VE75|Q9V6U9
GO:0006886,0.747761194029851,0.975107842146059,0.0455878202571231,0.235404153005202,0.840854249092299,65,Q24253|P45437|P32392|Q9V3I2|Q9V3D9|Q9VKC8|Q9W552|O18332|Q9W4K0|Q8SXY6|Q9GYU8|Q9VH25|Q9W1X4|Q9VYT6|Q9VKC7|Q9VL10|Q9W3N6|A1Z7S3|Q95RF6|Q6NL44
GO:0006887,0.219638242894057,0.632828466784031,0.150169802128406,-0.389839619847639,-1.20029422610985,23,Q8MSI2|Q9VPN5|Q9W1I8|Q7KLE5|P36975|Q9VH76|Q9U6R9|Q23983
GO:0006888,0.249578414839798,0.66984942402507,0.109684061970549,0.420793082526819,1.16788187438026,20,Q9V3A8|P45437|O18333|Q9W3M8|O18332|Q9W4K0
GO:0006891,0.71978021978022,0.967235356730582,0.0567672387487446,0.352884930129092,0.81540402478185,10,P45437
GO:0006897,0.693498452012384,0.953614292486963,0.0507027937029348,0.258813625262267,0.871232823156559,46,Q9VQE0|Q9V3I2|A8JTM7|O76902|O76742|Q9V393|Q9VLT3|O61491|Q7KY04|P48148|Q9VVA7|P19107
GO:0006898,0.484502446982055,0.834787998380895,0.0702812841717392,0.336848760053744,0.963607614505832,22,Q9V3I2|A8JTM7|O76742|Q9V393|O61491|Q9VVA7|P19107
GO:0006906,0.727569331158238,0.969764264128369,0.0509082865515105,0.283971591538234,0.812344352598846,22,Q7JYX5|Q9V3I2|O76742|O18333
GO:0006913,0.705691056910569,0.953614292486963,0.0521630305460055,0.285214269025009,0.839532087076813,25,Q9W2E7|P32392|P12370|Q9GYU8|Q27268|Q9W1X4|P56538
GO:0006914,0.444094488188976,0.800325005078204,0.0728938564822936,0.30896118748386,1.00285964539345,38,Q7JYX5|Q24253|Q9W2E7|P22979|O76742|O18333|O18332
GO:0006915,0.128526645768025,0.505040706738264,0.153158808683073,0.412343005878221,1.29872434885776,33,Q9VZU7|Q9VED8|Q7K485|Q9W253|Q9W260|P12370|P15425|P40797|P55841|Q7K3D4|P08646|P42207
GO:0006950,0.698473282442748,0.953614292486963,0.0414044273760278,0.218544278387959,0.90739731921746,211,Q9VC18|Q9VZU7|O97125|A1Z803|Q9W299|P45437|Q7K485|Q9VIF2|Q00174|Q9VLY7|Q5U117|Q9XYZ5|P17336|P22979|Q9VT23|Q7KLW9|Q7JWX3|Q9VGS3|Q7JVK6|Q7K012|Q8IQ70|Q9VXK7|Q9VZI3|A1Z6L9|Q9W414|Q9V393|P05031|Q9VLT3|Q9VSL5|O18332|P16378|P12370|Q9VZJ8|Q9VFC2|A1ZA22|P15425|O62602|Q7K519|M9NDE3|Q95RS6|O61443|Q9GYU8|Q9VCW2|P48148|Q9VKZ8
GO:0006952,0.984034833091437,1,0.0314928902471297,0.181260394704081,0.680951142029987,97,P45437|Q7K485|Q9VIF2|Q00174|Q9VLY7|Q9XYZ5|Q9VT23|Q7JWX3|Q9VZI3|Q9V393|Q9VLT3|Q9VSL5|O18332
GO:0006955,0.95859872611465,1,0.0696133438850965,-0.185247177813919,-0.751204709577847,76,Q9V521|A1ZBU5|Q9VCE1|Q9VL01|Q9V8F5|A1Z6P3|Q7KUA4|A1ZBU8|Q9VSL4|Q9VQX3|Q9VIX1|Q960M4|A0A126GUP6|Q9VLU4|Q7K2W6|Q9VER6|Q7K5M0|Q9VD29
GO:0006959,0.0735294117647059,0.389511501506049,0.261663521711573,-0.481904767138069,-1.41142575033227,19,Q9V521|Q9V8F5|Q7KUA4|A1ZBU8|Q9VIX1|Q7K2W6
GO:0006974,0.0224819816426327,0.263627999023728,0.352487857583619,0.656772144707171,1.60955997996852,13,Q9VZU7|Q9W299|Q9XYZ5|Q7KLW9|Q7K012
GO:0006979,0.741239892183288,0.974117713542991,0.0741758965588009,-0.245665918325553,-0.841770291200476,34,Q8IN43|Q8IN44|Q9VA37|Q9VCE1|Q9VXN2|Q9VTU2|Q9VQD7|Q9W385|Q960M4|Q9VVT6|Q9VEJ0|Q7JZK1|Q9VDU7|P61851|P25007|Q9V429|Q94533
GO:0006996,0.0314769861628444,0.303471176228947,0.321775918075361,-0.251652149304164,-1.21642094493262,273,P10676|P19334|A8DYP0|Q9VHT3|Q9VPN5|Q9V784|P18432|Q7K5M6|Q9VQ91|P83967|Q9VJZ5|Q9I7K0|X2JAU8|Q9VJZ4|Q9VB22|P14318|P91927|Q9VCE1|Q9W1I8|Q9VFS4|O02649|Q9VWI0|Q9VCH5|Q86BS3|Q9VE50|A1Z6P3|Q8SX89|Q6IHY5|Q9I7K6|Q9I7J0|Q9VTU2|M9NFC0|Q7JXC4|Q7KLE5|Q9VI75|Q9VXZ0|Q9VN02|P36975|Q9VH76|Q7K3Z3|Q8IRH5|P17210|Q7PL91|Q9VQD7|Q7JWD3|Q8SX68|M9PGG8|A1Z9J3|Q9W3N7|Q03427|Q9VF70|A0A0B4KHJ9|Q9W3X7|Q7JNE1|Q9VCC0|Q9VEX6|Q9VEC8|Q23983|Q24478|Q9VPC1|Q9VQR2|Q9VL16|Q8T0Q4|Q9VF27|P92177|Q6IGM9|Q9W1E8|Q9VRL2|Q9VD64|Q0E8V7|Q7K1H0|Q9W402|M9NEW0|Q7JZK1|Q9VD29|Q9VIE7|Q9Y162|Q9VPC2|Q6IDF5|Q9Y0V3|Q9VRY5|P53034|Q9W2E8|Q7K2N0|P05205
GO:0006997,0.666666666666667,0.953614292486963,0.0694481442003175,-0.326471998432856,-0.845336828061775,12,Q8SX89|Q7JXC4|Q7K3Z3|Q03427
GO:0007005,0.452307692307692,0.810041958041958,0.110122263835536,-0.242902838554704,-0.993080177395584,77,P19334|Q9V784|Q9VJZ4|P91927|O02649|Q9VWI0|Q6IHY5|Q9VTU2|Q9VXZ0|Q7PL91|Q9VQD7|Q9W3N7|Q9W3X7|Q9VEX6|Q9VPC1|Q9VQR2|Q9VL16|Q9VF27|Q6IGM9|Q0E8V7|Q9W402|M9NEW0|Q7JZK1|Q9VD29|Q9VPC2|Q6IDF5|Q9Y0V3|Q9W2E8
