Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
endoplasmic_reticulum_exit_site_(GO:0070971),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-59.0087035029632,409.081945380091,trp;ninaC
secondary_lysosome_(GO:0005767),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-7.14382365603478,49.5250548678175,trp;ninaC
rough_endoplasmic_reticulum_(GO:0005791),2/187,0.000853615151766805,0.000975491001241299,0.00155935789844625,0.0017818599963968,-6.76925126575639,47.8317332504518,trp;ninaC
cation_channel_complex_(GO:0034703),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-6.26277037724173,43.4170916712685,trp;ninaC
rhabdomere_membrane_(GO:0033583),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-4.66986137790094,32.3741391306986,trp;ninaC
rhabdomere_microvillus_(GO:0035996),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-4.65454196677762,32.2679362465072,trp;ninaC
unconventional_myosin_complex_(GO:0016461),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-4.13471564917444,28.6642041080067,trp;ninaC
rhabdomere_(GO:0016028),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-3.72546932289504,25.8270754582368,trp;ninaC
microvillus_(GO:0005902),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-2.16675736362125,15.0211962788219,trp;ninaC
microvillus_membrane_(GO:0031528),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-1.63410334254339,11.3285351928838,trp;ninaC
inaD_signaling_complex_(GO:0016027),2/200,0.000975491001241299,0.000975491001241299,0.0017818599963968,0.0017818599963968,-1.25640806579891,8.71013639068425,trp;ninaC
