Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128C, Sample, n/a, Earth_F3	Abundances Count: F8: 128C, Sample, n/a, Earth_F3	Modifications
Q9VGP7	Large ribosomal subunit protein mL40	18.88	4	4	4	110391.5162	4	
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	31.62	15	75	15	16843320.2976	68	
Q9VGQ8	Arfaptin	25.35	9	11	9	349124.179	10	
Q9VGR0	DnaJ homolog subfamily C member 17	12.37	3	3	3	42244.9304	3	
Q9VGR1	GRIP and coiled-coil domain containing 88 kDa	4.03	3	4	3	47824.484599999996	4	
Q9VGS3	RH44771p	23.39	4	22	4	1438536.5056	19	
Q9VGT0	UDP-glucuronosyltransferase	3.88	2	2	2	32637.31	2	
Q9VGT3	GM04645p	3.98	2	2	2	8999.7023	2	
Q9VGT8	UDP-glucuronosyltransferase	16.25	7	8	7	61297.82428	8	
Q9VGU7	Arrestin C-terminal-like domain-containing protein	2.41	1	1	1	57370.938	1	
Q9VGV9	palmitoyl-protein hydrolase	19.15	5	5	5	233274.265	5	
Q9VGW7	type I protein arginine methyltransferase	20.48	6	10	6	480802.8977	10	
Q9VGY2	Peptide deformylase	5.88	2	3	1	37782.5122	3	
Q9VGY8	Phytanoyl-CoA dioxygenase domain containing 1	20.14	4	6	4	195388.85369999998	6	
Q9VGZ3	Cytoplasmic aconitate hydratase	16.57	14	16	9	257072.20482	15	
Q9VH25	Gamma-soluble NSF attachment protein	29.33	9	12	6	148401.0431	7	
Q9VH26	Carbonic anhydrase	17.11	6	15	6	760135.2339999999	15	
Q9VH37	IP06524p	27.09	5	7	5	561278.363	7	
Q9VH64	LD29322p	19.0	7	8	7	793108.0769999999	8	
Q9VH66	FI18258p1	24.89	5	9	5	135427.1627	9	
Q9VH72	TA01656p1	37.25	6	10	6	820251.781	10	
Q9VH76	Synaptosomal-associated protein	70.75	16	82	14	1799470.19434	45	
Q9VH77	mannose-6-phosphate isomerase	13.13	5	7	5	172567.527	7	
Q9VH81	protein-serine/threonine phosphatase	9.42	4	4	4	28619.536200000002	3	
Q9VH98	Diuretic hormone 44, isoform A	23.6	5	10	5	143456.28506	10	
Q9VHA1	Spermidine synthase, isoform A	14.98	4	6	0	327472.89670000004	6	
Q9VHA8	LD25575p	15.06	10	12	10	874672.1806	12	
Q9VHB1	Mitochondrial pyruvate carrier	50.0	7	19	2	1293615.8231	19	
Q9VHB8	2-oxoisovalerate dehydrogenase subunit alpha	7.52	4	4	4	38507.6043	4	
Q9VHC3	Blistery, isoform A	29.17	18	23	18	350752.5422	21	
