Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
A0A6H2EG45	Uncharacterized protein, isoform D	5.9	2	2	0	17128.777	2	
A0A6H2EG56	Tropomyosin 1, isoform T	72.34	26	225	3	1659505.4553	23	
A0A6H2EGA2	Mitochondrial nucleoid factor 1	28.85	4	7	4	102832.7345	7	
A0A6H2EIE0	Amino acid transporter	4.88	2	3	0	65038.646550000005	3	
A0A6M3Q951	CAP, isoform AA	27.82	19	35	0	29542.531000000003	2	
A0ACD4DAN3	Uncharacterized protein, isoform Y	4.65	3	4	0	11716.399	1	
A0ACD4DAP6	Bruchpilot, isoform N	42.4	99	280	0	6164046.54063	245	
A0ACD4DAQ1	P-element somatic inhibitor, isoform E	22.96	16	32	0	280737.52715	31	
A0ACD4DAT6	Glorund, isoform D	29.52	15	36	0	1104967.12179	28	
A0ACD4DAU9	Found in neurons, isoform K	29.92	10	26	0	420210.3905	15	
A0ACD4DAV1	Lethal (1) G0289, isoform D	10.51	6	8	0	124201.9716	6	
A0AQH0	Proteasome subunit beta	34.38	5	9	5	113912.2573	8	
A1Z6F6	FI18602p1	9.88	9	10	0	190529.5001	9	
A1Z6G9	FI18173p1	10.5	3	3	3	27097.522800000002	3	
A1Z6H4	RE52822p	14.24	7	7	0	94143.2791	7	
A1Z6L9	Heat shock protein 75 kDa, mitochondrial	11.14	7	15	6	45175.21805	7	
A1Z6N5	FAD-dependent oxidoreductase domain-containing protein 1	3.64	2	2	2	42617.825	2	
A1Z6P3	Eb1, isoform F	50.17	13	30	3	137769.7818	6	
A1Z6Q0	Klaroid, isoform D	24.94	9	13	0	156252.4374	11	
A1Z6R7	FI21445p1	40.71	9	20	9	451237.2017	18	
A1Z6V5	FI01422p	40.46	14	31	14	1537397.1108	28	
A1Z6X6	Lactoylglutathione lyase	44.89	6	14	6	463670.4798	13	
A1Z729	NADP-retinol dehydrogenase	22.42	7	8	4	146054.8766	8	
A1Z759	Uncharacterized protein, isoform A	3.4	2	2	0	32394.632	2	
A1Z765	Uncharacterized protein, isoform A	9.9	1	1	0	6978.015	1	
A1Z784	Acetyl-CoA carboxylase, isoform A	1.21	3	3	0	21360.971940000003	3	
A1Z7B8	GEO08456p1	21.52	3	5	3	122811.2611	5	
A1Z7G2	MIP13653p	13.39	2	4	2	601448.118	4	
A1Z7H7	Phenoloxidase-activating factor 2	26.8	11	17	11	258007.11437	16	
A1Z7H8	Phenoloxidase-activating factor 2	5.88	3	3	3	39960.5036	3	
A1Z7K6	FI20236p1	6.38	3	4	3	72078.6606	4	
A1Z7K8	AaRS-interacting multifunctional protein 1	27.55	8	11	8	303588.9165	11	
A1Z7P1	Phosphoglucomutase 2a	4.98	3	3	3	46266.9289	3	
A1Z7Q8	5'-AMP-activated protein kinase subunit beta-1	14.37	5	7	1	87141.018	5	
A1Z7S3	Rab32, isoform B	33.53	20	44	7	1532442.11515	43	
A1Z7V9	FI20020p1	10.04	5	5	0	144155.38853	5	
A1Z7X8	FI02944p	19.81	7	8	7	113685.2837	6	
A1Z803	FI02892p	29.12	12	18	12	497294.8271	18	
A1Z843	Nodal modulator 3	9.42	11	14	11	208130.36779999998	14	
A1Z847	Uncharacterized protein, isoform B	22.48	15	31	3	1077797.56003	26	
A1Z871	CAP, isoform B	13.38	20	35	0	94579.5699	4	
A1Z893	1-Cys peroxiredoxin	55.0	11	51	1	2399198.22505	46	
A1Z8D3	(S)-2-hydroxy-acid oxidase	9.29	4	8	4	200101.49	4	
A1Z8G0	Menage a trois, isoform A	28.07	13	24	0	25048.629	1	
A1Z8G7	FI09243p	9.92	1	2	1	2174.6853	1	
A1Z8H1	Cuticular protein 47Ea	73.33	6	49	6	8962090.329	42	
A1Z8H6	Cuticular protein 47Ee	29.54	6	13	6	138504.10766	11	
A1Z8I8	Uncharacterized protein, isoform E	12.14	2	2	2	19819.2	2	
A1Z8J3	No mechanoreceptor potential A, isoform C	1.23	2	2	0	2877.3682	1	
A1Z8Y3	Cuticular protein 49Ab	8.88	2	4	2	35804.4089	4	
A1Z8Z3	Cuticular protein 49Ag	64.18	4	21	4	1022140.42224	19	
A1Z8Z7	Cuticular protein 49Ah	32.63	6	12	6	393231.2944	12	
A1Z933	GEO02273p1	27.91	2	4	2	51426.6461	4	
A1Z934	SD19268p	48.83	13	30	13	759142.6662	24	
A1Z935	Proton-coupled zinc antiporter SLC30A9, mitochondrial	3.79	2	2	0	24326.523	1	
A1Z968	Eukaryotic translation initiation factor 4 gamma 2	7.86	10	12	5	139536.75535	9	
A1Z992	1,4-alpha-glucan branching enzyme	3.36	3	3	3	27717.9777	3	
A1Z9B5	IP16508p	19.88	3	4	3	61596.3403	4	
A1Z9E3	Elongation factor Tu	53.17	21	46	21	3039527.8394	44	
A1Z9I0	Cathepsin propeptide inhibitor domain-containing protein	33.94	13	15	13	781289.9006	15	
A1Z9J3	Short stop, isoform H	3.61	32	35	4	350994.67416	31	
A1Z9M2	Receptor expression-enhancing protein	17.42	5	12	2	640392.422	11	
A1Z9M5	SAXO downstream of blistered	3.81	7	10	7	17983.80079	7	
A1Z9U2	Jet fuel, isoform A	2.36	1	4	1	210765.17930000002	4	
A1Z9X4	Hibris, isoform B	1.13	1	1	0	1984.8958	1	
A1ZA22	Translation initiation factor eIF2B subunit gamma	4.62	2	2	2	17412.877	2	
A1ZA23	FI18007p1	33.64	10	24	10	305496.05548	23	
A1ZA83	ER membrane protein complex subunit 7	13.88	4	6	4	131903.7672	6	
A1ZAA9	Uncharacterized protein, isoform B	18.23	4	6	4	57874.4987	6	
A1ZAC7	Coiled-coil domain-containing protein 93	6.39	4	5	4	26602.6054	3	
A1ZAH3	FI16515p1	1.93	1	1	0	1762.3889	1	
A1ZAK3	Protein DEK	4.05	3	3	0	78817.05	3	
A1ZAL1	lysozyme	30.43	5	7	5	288091.3235	7	
A1ZAP8	Uncharacterized protein, isoform C	0.43	1	1	0	8759.972	1	
A1ZAU4	RH39096p	52.14	16	49	0	3212862.80294	47	
A1ZB23	IP19117p	16.06	4	7	4	93265.836	5	
A1ZB61	Bomanin bicipital 2, isoform A	8.44	1	1	1	9575.133	1	
A1ZB68	FI01423p	45.91	11	28	11	932465.16123	26	
A1ZB69	Glutathione S transferase E4	45.05	10	25	10	891382.909	23	
A1ZB70	Glutathione S transferase E5	13.51	3	7	3	156321.57555	7	
A1ZB71	Glutathione S transferase E6	31.53	7	17	7	910249.2997	16	
A1ZB72	Glutathione S transferase E7	17.49	4	11	3	19859.9424	2	
A1ZB73	Glutathione S transferase E8, isoform A	13.06	3	3	3	68549.44805	3	
A1ZB79	Uncharacterized protein, isoform M	58.42	11	38	2	1431554.1901	37	
A1ZBA5	FI07234p	7.22	2	2	2	35689.8245	2	
A1ZBB4	Uncharacterized protein, isoform B	3.78	4	4	0	22088.0141	4	
A1ZBD8	Mucin-5AC	2.99	4	4	4	20267.232269999997	3	
