Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	58252.629	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	53916.7492	7	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	2762132.6953	58	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	6004.0425	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	183389.2817	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	791841.21155	38	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	5171.4927	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	229375.64479000002	16	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	680.5023	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	12718.4413	2	
A1Z877	Nidogen	18.37	23	35	23	730134.70975	33	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	46816.4481	3	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	52371.405	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	608691.72819	48	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	225763.3893	8	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	98687.9734	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	118547.3157	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	141719.11616	19	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	43129.563	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	9467.659	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	71296.336	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	6183.222	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	5591.151	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	13691.358	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	331295.6809	9	
A8DYP0	Protein Obscurin	1.38	6	8	6	76718.12523	7	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	511220.91349999997	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	3036645.1755	97	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	273159.57417	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	1382441.08695	39	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	1001197.78852	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	105630.747	3	
C0HL66	Histone H3.3A	52.21	6	31	0	25271.788	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	101308.64600000001	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	500478.702	25	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	196591.8831	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	61610.557	7	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	5920165.3038	68	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	81777.4506	8	
O01367	Protein held out wings	10.37	3	4	0	30113.1433	3	
O01382	Caspase drICE	12.68	4	4	4	11553.414299999999	2	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	299943.234	11	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	6947388.72321	96	
O02194	Presenilin homolog	5.73	3	3	0	14069.7962	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	209790.2605	9	
O02649	Heat shock protein 60A	65.1	34	143	23	8801051.3069	130	
O15943	Neural-cadherin	14.01	44	66	2	1343663.8221	65	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	99126.54669999999	9	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	18162.20295	4	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	49296.804000000004	5	
O18333	Ras-related protein Rab-2	24.41	6	11	6	264278.6806	11	
O18334	Ras-related protein Rab6	33.65	8	12	0	100859.42897000001	6	
O18373	Inactive selenide, water dikinase-like protein	16.33	8	17	8	741329.4253	16	
O18388	Importin subunit beta	2.26	2	2	0	9287.9751	2	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	79.22	16	133	16	7655834.22245	116	
O18413	26S proteasome regulatory subunit 8	45.68	18	36	6	732907.2445	26	
O18640	Small ribosomal subunit protein RACK1	22.64	8	13	0	377591.579	12	
O44081	H/ACA ribonucleoprotein complex subunit 4	2.95	2	2	0	17645.4553	2	
O44342	Protein windbeutel	28.79	7	9	0	129812.0522	9	
O44386	Integrin alpha-PS3	6.1	8	8	8	138531.7137	8	
O46037	Vinculin	55.88	45	103	0	3277206.0165	92	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	32112.501399999997	4	
O46098	LYR motif-containing protein 4 homolog	65.22	7	12	7	265232.7934	10	
O46106	Splicing factor 3A subunit 3	9.54	4	4	4	95584.513	4	
O46339	Homeobox protein homothorax	4.72	2	2	2	3608.9155	1	
O61231	Large ribosomal subunit protein uL16	27.06	8	15	0	421704.2955	11	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	19968.1053	3	
O61307	Teneurin-m	0.92	2	2	0	17973.5632	2	
O61443	Mitogen-activated protein kinase p38b	12.88	4	10	3	201964.4205	10	
O61491	Flotillin-1	45.77	19	45	19	1931454.5044	45	
O61722	PRL-1 phosphatase	55.11	7	19	7	869421.6867000001	16	
O62619	Pyruvate kinase	57.6	24	73	24	4450383.02042	63	
O62621	Coatomer subunit beta'	2.84	3	3	3	15984.654999999999	3	
O76206	Putative riboflavin kinase	55.56	6	17	0	598345.27091	14	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	6	4	286625.4418	6	
O76742	Ras-related protein Rab7	36.71	7	10	7	290155.1276	10	
O76878	RILP-like protein homolog	8.35	4	5	0	76728.39270000001	5	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	27.85	8	10	8	187116.9192	9	
O76927	Small ribosomal subunit protein eS21	50.6	5	14	0	165394.0393	8	
O77051	Transcription factor E2F2	18.65	7	9	0	55883.6562	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	4	3	66936.7047	3	
O77277	Torsin-like protein	15.29	6	8	0	117049.165	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.28	4	4	4	44687.9238	4	
O77460	Inorganic pyrophosphatase	62.72	16	93	1	106205.22	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	15	15	0	183225.2491	13	
O96690	Protein PDF	23.53	1	1	1	9388.727	1	
O96827	Probable elongation factor 1-beta	83.78	17	84	0	4320962.43782	79	
O97067	Probable peptidyl-tRNA hydrolase 2	26.34	4	7	0	57139.327900000004	7	
O97125	Heat shock protein 68	35.28	20	66	13	323158.5303	21	
O97172	UPF0729 protein CG18508	21.21	3	5	0	63965.7831	4	
O97394	Protein sidekick	1.48	3	3	0	22606.593	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.82	3	3	3	61047.058	3	
O97477	Inositol-3-phosphate synthase	36.28	15	41	15	1663842.0455	39	
P00334	Alcohol dehydrogenase	85.16	20	241	20	21177961.98165	218	
P00408	Cytochrome c oxidase subunit 2	33.77	7	20	7	2925072.0360000003	17	
P00522	Tyrosine-protein kinase Abl	3.7	4	4	0	3364.6674000000003	2	
P02255	Histone H1	14.45	3	3	0	42481.645000000004	3	
P02283	Histone H2B	54.47	8	74	8	2510515.32743	69	
P02299	Histone H3	52.21	6	34	2	5632979.5426	29	
P02515	Heat shock protein 22	32.76	6	14	6	354036.88198	14	
P02516	Heat shock protein 23	70.97	15	72	0	3906806.95265	70	
P02517	Heat shock protein 26	58.17	9	19	0	1163473.56133	19	
P02518	Heat shock protein 27	52.11	10	28	0	449625.2692	23	
P02572	Actin-42A	63.83	25	618	2	91192551.20444	531	
P02574	Actin, larval muscle	65.69	27	537	0	660738.7049	24	
P02828	Heat shock protein 83	59.27	42	143	0	9035121.057	131	
P02843	Vitellogenin-1	73.35	27	218	0	22905599.75066	172	
P02844	Vitellogenin-2	67.65	24	169	0	15989860.4706	129	
P04197	Myb protein	2.74	2	2	0	13988.2865	2	
P04359	Large ribosomal subunit protein eL32	18.66	3	8	3	633448.866	8	
P04388	Ras-like protein 2	33.33	5	7	5	52475.456	6	
P05031	Aromatic-L-amino-acid decarboxylase	7.06	3	3	3	6979.927	3	
P05205	Heterochromatin protein 1	32.52	7	16	7	138098.2837	15	
P05303	Elongation factor 1-alpha 2	59.74	24	115	0	2046820.2718999998	16	
P05389	Large ribosomal subunit protein P2	29.2	3	18	3	1789017.3435	18	
P05552	Transcription factor Adf-1	12.21	3	3	0	88548.52500000001	3	
P05661	Myosin heavy chain, muscle	53.72	124	410	1	251796.693	8	
P05812	Heat shock protein 67B1	11.91	5	6	5	72341.4913	5	
P06002	Opsin Rh1	8.85	3	8	3	183145.90959999998	7	
P06603	Tubulin alpha-1 chain	58.44	23	182	0	22844170.1102	164	
P06604	Tubulin alpha-2 chain	34.52	15	132	1	29735.981699999997	2	
P06607	Vitellogenin-3	79.05	31	233	0	50820123.0294	215	
P06742	Myosin light chain alkali	41.94	6	120	0	13578575.907949999	103	
P07207	Neurogenic locus Notch protein	0.3	1	1	0	2905.1577	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	64.16	18	104	6	6092906.7077	26	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	81.33	20	112	0	13254758.33078	101	
P07665	Serendipity locus protein beta	1.97	1	1	0	9081.57	1	
P07668	Choline O-acetyltransferase	9.71	6	7	6	37174.7104	7	
P07764	Fructose-bisphosphate aldolase	89.2	36	369	0	41871174.45415	294	
P08111	Lethal(2) giant larvae protein	2.76	3	3	0	28056.3605	3	
P08120	Collagen alpha-1(IV) chain	3.93	5	12	5	203431.60946	12	
P08144	Alpha-amylase A	23.48	10	15	0	373310.3104	14	
P08171	Esterase-6	20.22	12	20	0	682507.5562	19	
P08181	Casein kinase II subunit alpha	10.71	2	4	0	83254.30799999999	3	
P08182	Casein kinase II subunit beta	32.77	7	18	2	746143.21876	16	
P08570	Large ribosomal subunit protein P1	70.54	4	40	0	3429116.2332	39	
P08645	Ras-related protein Rap1	40.22	6	12	0	154817.55732	12	
P08646	Ras-like protein 1	37.04	5	13	5	781242.544	12	
P08736	Elongation factor 1-alpha 1	57.67	27	135	12	17225140.5727	117	
P08761	Peptide methionine sulfoxide reductase	36.18	8	13	0	404001.2774	13	
P08879	Nucleoside diphosphate kinase	51.63	8	80	0	7821027.74093	68	
P08928	Lamin	66.88	49	174	48	6798402.26664	155	
P08985	Histone H2A.v	41.84	7	43	5	1531130.2351	23	
P09040	Drosulfakinins	17.73	3	4	3	221513.577	4	
P09180	Large ribosomal subunit protein uL4	47.38	20	55	20	1701520.5322	47	
P09208	Insulin-like receptor	1.77	5	5	5	4108.7049	3	
P09491	Tropomyosin-2	64.44	27	221	1	293164.92	4	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	45.98	5	9	5	121849.4004	7	
P10180	Homeobox protein cut	0.69	1	1	0	1863.6909	1	
P10379	Protein unzipped	27.05	12	27	0	928679.597	24	
P10552	FMRFamide-related peptides	5.76	2	2	2	89302.645	2	
P10676	Neither inactivation nor afterpotential protein C	26.52	43	73	6	1592690.8806999999	65	
P10981	Actin-87E	68.62	28	611	0	11114545.2381	26	
P10987	Actin-5C	64.36	27	636	0	1082107.7252	14	
P11046	Laminin subunit beta-1	22.87	37	67	37	1925100.41227	63	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	34	1	2673.7563	1	
P11147	Heat shock 70 kDa protein cognate 4	78.49	51	327	0	30083489.48686	299	
P11584	Integrin beta-PS	19.98	17	28	0	429432.9253	27	
P12024	Chaoptin	27.6	35	84	0	2493561.31957	74	
P12080	Integrin alpha-PS2	13.11	18	23	18	694268.0743	22	
P12370	cAMP-dependent protein kinase catalytic subunit 1	40.51	17	41	16	1393779.8076	35	
P12426	Adenine phosphoribosyltransferase	25.82	5	9	0	168501.54856	9	
P12613	T-complex protein 1 subunit alpha	21.54	12	16	0	395206.9091	14	
P12881	Proteasome subunit alpha type-1	59.86	13	42	0	1360331.2777	39	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	28.15	8	12	1	107039.4235	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	7	0	102881.6616	6	
P13060	Eukaryotic translation elongation factor 2	30.81	23	41	23	1262174.2698	37	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	37.99	40	102	0	2441615.05868	94	
P13395	Spectrin alpha chain	63.6	137	494	0	24333018.30298	453	
P13469	DNA-binding protein modulo	6.83	4	4	0	25977.2003	3	
P13496	Dynactin subunit 1	15.18	21	23	21	389954.35026	20	
P13607	Sodium/potassium-transporting ATPase subunit alpha	39.48	36	135	0	5916342.62016	124	
P13677	Protein kinase C, eye isozyme	14.14	11	17	10	275784.1614	15	
P13678	Protein kinase C	3.92	3	3	0	105300.147	3	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	77.41	27	201	0	12891.083	1	
P14199	Protein ref(2)P	22.37	11	19	11	365134.1385	16	
P14318	Muscle-specific protein 20	82.61	17	66	17	3914212.537	62	
P14484	Pupal cuticle protein	27.17	5	19	5	480508.2344	18	
P14599	Amyloid-beta-like protein	1.92	2	2	0	16639.46425	2	
P15007	Enolase	74.2	31	339	1	43306599.28164	296	
P15215	Laminin subunit gamma-1	39.35	55	99	0	2089039.8349000001	90	
P15330	Embryonic polarity protein dorsal	3.4	3	3	0	381309.8445	3	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.95	7	62	2	4479066.48446	61	
P15364	Protein amalgam	13.21	4	5	0	171035.072	4	
P15372	Phosrestin-2	60.16	20	59	0	2408598.6485	52	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	32.91	5	10	5	103009.21807	8	
P16378	G protein alpha o subunit	26.55	10	39	7	1130836.6826	37	
P16554	Protein numb	7.73	4	5	0	69012.296	5	
P16568	Protein bicaudal D	18.8	15	17	0	251654.3647	17	
P16620	Tyrosine-protein phosphatase 69D	4.86	8	9	8	193243.14492999998	9	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	4744.59	1	
P16914	Protein elav	23.4	9	28	0	583790.03546	28	
P17210	Kinesin heavy chain	44.31	40	74	40	2508633.1058	70	
P17276	Protein henna	40.71	15	27	0	725388.8562	26	
P17336	Catalase	34.78	14	49	14	1111183.5986	40	
P17704	Small ribosomal subunit protein eS17	65.65	7	25	7	1648140.9366	24	
P17719	Dihydrofolate reductase	19.78	3	4	3	53055.6812	4	
P18053	Proteasome subunit alpha type-4	50.0	12	38	10	1996342.5595	33	
P18173	Glucose dehydrogenase [FAD, quinone]	2.72	1	1	0	5287.6323	1	
P18431	Protein kinase shaggy	33.85	16	43	0	1825590.7213	39	
P18432	Myosin regulatory light chain 2	84.68	19	189	19	14249986.56294	173	
P18459	Tyrosine 3-monooxygenase	11.57	7	9	0	203955.42260000002	8	
P18824	Armadillo segment polarity protein	22.78	16	24	0	467681.64484	23	
P19107	Phosrestin-1	73.82	32	213	32	14211461.66978	198	
P19109	ATP-dependent RNA helicase p62	22.67	15	21	1	497732.21103	20	
P19334	Transient receptor potential protein	2.51	4	4	3	70317.27666	4	
P19339	Protein sex-lethal	4.52	2	2	0	13817.8928	2	
P19351	Troponin T, skeletal muscle	46.1	30	101	0	731282.665	14	
P19889	Large ribosomal subunit protein uL10	48.58	14	75	0	3824441.20663	72	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	6.65	5	5	4	96130.1344	4	
P20153	Protein ultraspiracle	2.76	2	2	0	13058.6405	2	
P20228	Glutamate decarboxylase	18.04	8	26	0	638341.40282	25	
P20232	Transcription elongation factor S-II	31.63	7	8	0	272126.556	7	
P20240	Otefin	32.08	11	14	11	137874.37716	12	
P20241	Neuroglian	25.81	31	74	0	2198294.6564	71	
P20348	Sex-regulated protein janus-A	38.52	5	5	5	86687.1039	5	
P20351	Tryptophan 2,3-dioxygenase	5.28	2	2	2	9368.229299999999	2	
P20354	G protein alpha s subunit	39.74	13	26	1	2354.3508	1	
P20385	Chorion transcription factor Cf2	1.76	1	1	0	3879.2114	1	
P20432	Glutathione S-transferase D1	55.5	13	79	9	9541082.47	64	
P20477	Glutamine synthetase 1, mitochondrial	41.85	14	59	0	4267982.4048999995	51	
P20478	Glutamine synthetase 2 cytoplasmic	81.03	24	179	0	25562571.64198	163	
P21187	Polyadenylate-binding protein	38.01	18	35	18	540519.11826	34	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	53.2	18	100	16	8665758.43151	91	
P22465	Annexin B10	76.01	24	139	24	7024418.8299	120	
P22769	Proteasome subunit alpha type-7-1	53.82	12	32	10	1122055.7282	32	
P22813	Heat shock factor protein	2.75	2	2	0	3587.471	1	
P22815	Protein bride of sevenless	1.23	1	1	1	26692.04	1	
P22979	Heat shock protein 67B3	53.77	7	19	7	522161.174	16	
P23128	ATP-dependent RNA helicase me31b	6.1	3	3	3	8790.420399999999	2	
P23226	205 kDa microtubule-associated protein	21.86	16	32	0	328494.25667000003	26	
P23257	Tubulin gamma-1 chain	5.89	3	3	2	32968.87	3	
P23625	G protein alpha q subunit	51.56	19	75	16	3404292.1012	64	
P23654	Neurotactin	12.41	10	13	0	199518.3525	13	
P23696	Serine/threonine-protein phosphatase PP2A	20.39	5	14	0	283019.35846	13	
P23779	Cystatin-like protein	63.49	8	32	8	2446584.52091	29	
P24156	Prohibitin 1	68.48	17	53	0	1669284.19375	47	
P25007	Peptidyl-prolyl cis-trans isomerase	55.95	13	102	10	8775178.8328	94	
P25160	ADP-ribosylation factor-like protein 1	6.11	1	3	1	36973.1604	3	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	24	0	548840.63277	22	
P25171	Regulator of chromosome condensation	6.03	4	4	4	158871.014	4	
P25228	Ras-related protein Rab-3	33.64	7	18	0	328404.0133	12	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	4.86	7	7	7	37257.1759	6	
P25822	Maternal protein pumilio	2.15	3	5	0	44099.4272	5	
P25843	Profilin	88.89	7	28	0	1182939.9592	26	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	7.48	1	5	0	289135.1965	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	10.65	4	6	0	213406.7	6	
P26308	Guanine nucleotide-binding protein subunit beta-1	33.53	8	21	0	364580.27365	19	
P26686	Serine-arginine protein 55	9.31	4	7	0	217185.30299999999	7	
P27716	Innexin inx1	2.21	1	2	0	53525.461	2	
P27779	Pupal cuticle protein Edg-78E	38.52	3	11	0	175383.04634	11	
P28668	Bifunctional glutamate/proline--tRNA ligase	2.28	4	4	4	39821.6462	4	
P29052	Transcription initiation factor IIB	16.51	6	8	0	213719.2383	8	
P29310	14-3-3 protein zeta	67.74	17	278	0	22826672.820749998	236	
P29327	Small ribosomal subunit protein eS6	20.16	5	20	2	786042.5946	20	
P29413	Calreticulin	46.55	20	61	0	3625472.64572	57	
P29613	Triosephosphate isomerase	76.11	17	131	16	13418556.108000001	121	
P29742	Clathrin heavy chain	7.39	13	15	0	145503.01304	13	
P29746	Protein bangles and beads	61.76	24	46	24	1970322.7241	45	
P29829	Guanine nucleotide-binding protein subunit beta-2	51.45	16	61	16	2590491.88369	55	
P29843	Heat shock 70 kDa protein cognate 1	24.65	14	65	1	76422.0138	7	
P29844	Endoplasmic reticulum chaperone BiP	61.28	42	212	0	9050313.86114	151	
P29845	Heat shock 70 kDa protein cognate 5	62.97	44	178	0	10605599.82874	150	
P30432	Furin-like protease 2	0.66	1	1	0	5565.3994	1	
P31009	Small ribosomal subunit protein uS5	44.94	11	28	0	2665365.5637	28	
P31409	V-type proton ATPase subunit B	59.59	22	96	0	2224511.61173	78	
P32100	Large ribosomal subunit protein uL30	38.49	12	29	0	1394445.68182	28	
P32234	Guanylate binding protein 128up	16.3	6	8	5	123092.78407	7	
P32392	Actin-related protein 3	10.53	4	7	4	185785.353	7	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.69	9	12	9	162553.4053	12	
P33438	Glutactin	14.13	17	42	0	556477.96301	36	
P34082	Fasciclin-2	17.18	15	23	0	214456.68790000002	21	
P35122	Ubiquitin carboxyl-terminal hydrolase	40.97	9	24	0	801862.7315999999	20	
P35128	Ubiquitin-conjugating enzyme E2 N	56.29	7	17	0	721373.2753	17	
P35220	Catenin alpha	24.86	22	44	14	907081.198	39	
P35381	ATP synthase subunit alpha, mitochondrial	71.38	43	407	43	36903678.15071	358	
P35415	Paramyosin, long form	73.38	77	511	0	32451386.67304	442	
P35416	Paramyosin, short form	56.41	39	294	0	2127397.9177	39	
P35421	Phosphoribosylformylglycinamidine synthase	1.33	2	2	2	7600.7712	2	
P35554	Flightin	49.45	8	18	0	958375.7792	17	
P35992	Tyrosine-protein phosphatase 10D	3.27	6	6	4	79530.2929	6	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	38.92	19	38	0	1772160.6739	35	
P36188	Troponin I	47.58	17	65	0	6930424.5336299995	59	
P36241	Large ribosomal subunit protein eL19	32.51	7	18	7	925694.172	14	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.81	3	3	0	17478.406	2	
P36951	Putative hydroxypyruvate isomerase	56.82	13	31	13	1474687.0971	30	
P36958	DNA-directed RNA polymerase II subunit RPB9	21.71	2	3	0	5042.628	1	
P36975	Synaptosomal-associated protein 25	85.38	19	114	17	3832990.12896	86	
P37193	Adrenodoxin-like protein 1, mitochondrial	18.02	3	4	0	125569.6486	4	
P37236	Frequenin-1	68.98	11	45	0	585231.883	8	
P37276	Dynein heavy chain, cytoplasmic	0.24	1	1	0	720.9818	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	14	5	492130.6037	9	
P38979	Small ribosomal subunit protein uS2	82.59	17	93	17	3913362.5195400002	77	
P39018	Small ribosomal subunit protein eS19A	53.85	11	39	0	2028332.1905	37	
P39736	Puff-specific protein Bx42	6.4	3	4	0	33474.8695	3	
P40301	Proteasome subunit alpha type-2	21.79	4	7	4	186000.6488	7	
P40304	Proteasome subunit beta type-1	28.94	6	8	6	502850.206	8	
P40320	S-adenosylmethionine synthase	8.33	4	5	0	93677.018	3	
P40417	Mitogen-activated protein kinase ERK-A	42.82	13	29	7	1159719.24966	27	
P40421	Serine/threonine-protein phosphatase rdgC	9.83	6	8	0	30388.04116	6	
P40423	Myosin regulatory light chain sqh	44.25	6	19	0	730438.2169	17	
P40427	Homeobox protein extradenticle	2.93	1	1	0	1912.617	1	
P40792	Ras-related protein Rac1	22.4	4	7	0	323128.74	7	
P40793	Cdc42 homolog	37.7	7	8	0	335691.2435	7	
P40796	La protein homolog	48.46	17	25	16	503014.19286	25	
P40797	Protein peanut	28.39	14	25	13	646356.3222	24	
P40945	ADP ribosylation factor 4	38.33	5	11	0	44151.1268	6	
P40946	ADP-ribosylation factor 6	38.86	5	8	5	100186.7752	8	
P41042	Small ribosomal subunit protein eS4	54.02	15	42	0	1088931.24507	34	
P41043	Glutathione S-transferase S1	76.71	15	62	0	5607852.87667	60	
P41044	Calbindin-32	77.74	26	146	0	6620400.18877	138	
P41073	Zinc finger protein on ecdysone puffs	17.18	12	29	0	264215.4752	24	
P41092	Large ribosomal subunit protein uL15	36.24	6	16	0	1721983.8335	16	
P41093	Large ribosomal subunit protein eL20	49.15	10	17	10	380445.1592	17	
P41094	Small ribosomal subunit protein uS13	56.58	14	48	14	2105930.96604	44	
P41126	Large ribosomal subunit protein eL13	47.71	12	50	0	1775896.3763000001	43	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.16	17	35	0	1409762.2534999999	34	
P41375	Eukaryotic translation initiation factor 2 subunit 2	18.27	6	6	6	82681.5223	5	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	28.48	12	22	0	755949.77461	18	
P42207	Septin-1	10.8	4	11	3	69399.235	3	
P42281	Acyl-CoA-binding protein homolog	73.26	6	37	5	3011266.03669	35	
P42325	Neurocalcin homolog	42.63	8	22	8	871521.5024	19	
P42787	Carboxypeptidase D	8.68	10	14	0	163211.72086	13	
P43332	U1 small nuclear ribonucleoprotein A	21.3	5	6	5	129902.14970000001	6	
P45437	Coatomer subunit beta	4.67	3	4	3	49439.00524	3	
P45594	Cofilin/actin-depolymerizing factor homolog	75.68	13	89	13	5990997.3032599995	82	
P45888	Actin-related protein 2	15.79	5	7	5	83394.8931	7	
P45889	Actin-related protein 1	23.4	10	13	10	487311.3667	13	
P46150	Moesin/ezrin/radixin homolog 1	38.06	29	62	0	52929.260800000004	2	
P46222	Large ribosomal subunit protein uL5	33.15	5	17	0	804368.76537	15	
P46223	Large ribosomal subunit protein eL8	33.58	10	33	0	2030267.6808	32	
P46415	Alcohol dehydrogenase class-3	13.98	5	11	5	324606.21129999997	10	
P46461	Vesicle-fusing ATPase 1	35.44	26	45	0	1033598.69706	44	
P46824	Kinesin light chain	37.4	23	45	0	1418261.1838	40	
P47947	Troponin C, isoform 1	24.68	4	24	0	3141143.8721	24	
P47948	Troponin C, isoform 2	47.1	6	9	0	19322.8904	3	
P47949	Troponin C, isoform 3	63.23	9	25	0	1188910.94336	21	
P48148	Ras-like GTP-binding protein Rho1	64.58	10	22	10	1504610.9926	20	
P48149	Small ribosomal subunit protein uS8A	64.62	8	24	0	1079064.23335	22	
P48159	Large ribosomal subunit protein uL14	70.71	8	28	8	963780.8674	25	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	71.3	5	29	5	2708935.7801	28	
P48451	Calcineurin subunit B type 1	62.35	7	17	0	378643.4106	5	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	23.24	7	11	0	22365.3194	2	
P48554	Ras-related protein Rac2	26.56	5	10	0	87093.419	5	
P48555	Ras-related protein Ral-a	49.75	8	21	1	875177.1895999999	21	
P48588	Small ribosomal subunit protein eS25	16.24	2	4	2	70725.8945	4	
P48596	GTP cyclohydrolase 1	42.59	13	60	13	3390350.6836800002	53	
P48598	Eukaryotic translation initiation factor 4E1	32.82	6	16	0	414941.6768	16	
P48601	26S proteasome regulatory subunit 4	44.65	20	44	0	2012377.80291	34	
P48602	V-type proton ATPase catalytic subunit A isoform 1	64.17	30	96	0	2305769.09515	88	
P48603	F-actin-capping protein subunit beta	24.28	6	7	0	99414.21635	6	
P48604	GrpE protein homolog, mitochondrial	47.89	11	32	11	899405.65493	32	
P48605	T-complex protein 1 subunit gamma	46.32	25	48	0	1638349.57559	40	
P48607	Protein spaetzle	3.99	1	1	0	7415.5654	1	
P48609	Cyclin-dependent kinase 5 homolog	20.75	8	11	7	337134.58	10	
P48610	Arginine kinase 1	75.84	36	446	0	57291624.3575	406	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	54.76	8	27	8	1171994.22085	21	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	36.82	10	43	0	540096.60942	38	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	18.44	5	9	0	73228.7444	6	
P49028	Protein mago nashi	30.61	4	6	4	30085.920700000002	3	
P49071	MAP kinase-activated protein kinase 2	13.65	6	9	0	350597.9015	8	
