Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M1	Abundances Count: F5: 129N, Sample, n/a, Earth_M1	Modifications
Q9V4D9	Purine-rich binding protein-alpha, isoform B	64.0	17	75	0	1294707.8937	63	
Q9V4E0	Complex I-49kD	26.28	9	14	8	103982.83241999999	11	
Q9V4E7	Transporter	3.62	3	6	2	6056.13187	5	
Q9V7W9	Nuclear inhibitor of protein phosphatase 1	8.88	3	3	3	5882.36006	3	
Q9V9M7	Large ribosomal subunit protein eL21	35.22	6	13	6	78953.88646	10	
Q9V9Q4	LD43819p	24.01	9	22	9	259422.08445	16	
Q9V9S0	Lysosome-associated membrane glycoprotein 5	8.81	2	5	2	93422.26317	4	
Q9V9T5	GM14617p	15.04	10	14	1	12182.0504	6	
Q9V9T9	Beta-glucuronidase	2.62	2	2	2	2233.2736999999997	2	
Q9V9U0	RE35358p	10.11	2	3	2	458.55685	1	
Q9V9U7	Tubulin-specific chaperone A	24.55	4	12	4	61641.63321	11	
Q9V9V0	Cleavage stimulation factor subunit 1	6.6	3	3	3	2684.6895	2	
Q9V9V4	CRAL-TRIO domain-containing protein	13.76	5	13	5	119574.5575	12	
Q9V9W2	Large ribosomal subunit protein eL6	21.4	7	29	0	343553.20438	19	
Q9V9W4	GH08048p	3.6	2	2	2	788.752	1	
Q9V9Y6	Carbonic anhydrase	2.65	1	2	1	1611.4048	1	
Q9VA09	Guanylate cyclase soluble subunit beta-1	4.57	5	9	5	36827.4448	7	
Q9VA18	Coiled-coil-helix-coiled-coil-helix domain containing 3	78.92	20	89	20	2418080.79924	82	
Q9VA32	Cuticular protein 100A	15.35	4	16	4	90823.52	10	
Q9VA34	LP06141p	3.64	4	5	4	15775.649549999998	5	
Q9VA36	CIN85 and CD2AP related, isoform C	17.91	16	33	0	116471.45544	22	
Q9VA41	GEO08227p1	42.04	6	16	2	110937.94209999999	6	
Q9VA42	Niemann-Pick type C-2g, isoform A	49.69	7	22	4	776427.35697	16	
Q9VA56	GH23271p	60.79	20	66	1	849.4702	1	
Q9VA69	procollagen-proline 4-dioxygenase	1.27	1	3	1	17197.9628	3	
Q9VA71	FI19924p1	6.19	3	3	3	8272.9471	3	
Q9VA76	IP18706p	11.33	4	8	4	16268.47234	5	
Q9VA95	Trafficking protein particle complex subunit	5.52	1	2	1	4876.6489	2	
Q9VA97	Pyridoxal phosphate homeostasis protein	34.25	10	19	10	195306.44026	16	
Q9VAA6	GEO12235p1	10.76	2	6	2	36914.542	5	
Q9VAA9	JIL-1 anchoring and stabilizing protein, isoform A	16.21	9	20	9	68071.84364	14	
Q9VAC1	GM14349p	63.31	21	113	21	5267555.09729	86	
Q9VAC4	GEO09167p1	23.08	3	12	3	258163.2253	10	
Q9VAC9	Uncharacterized protein, isoform A	28.12	9	17	1	24735.34458	10	
Q9VAD4	Translation initiation factor eIF2B subunit alpha	8.5	3	4	3	4122.5589	2	
Q9VAD7	RH37294p	11.56	2	3	2	634.7386	1	
Q9VAG3	trypsin	11.46	3	6	3	44679.6927	5	
Q9VAG9	3'(2'),5'-bisphosphate nucleotidase 1	20.92	7	10	7	24975.704	5	
Q9VAI9	GEO07291p1	62.25	9	62	5	2793193.33927	42	
Q9VAJ9	Mitochondrial 2-oxoglutarate/malate carrier protein	23.34	8	14	8	61465.1014	12	
Q9VAL5	protein-tyrosine-phosphatase	2.29	3	4	0	2663.10455	2	
Q9VAL7	Calnexin 99A, isoform A	32.07	20	84	1	1038594.86584	55	
Q9VAN7	Phosphoglycerate mutase	63.53	18	121	16	11188316.42269	100	
Q9VAQ4	Peptidase S1 domain-containing protein	12.85	5	10	5	53986.86865999999	8	
Q9VAS1	Neprilysin-like 19	3.58	3	5	3	2910.12061	4	
Q9VAU6	LD27564p	2.62	2	2	2	8438.4473	2	
Q9VAV2	FI21480p1	16.09	13	25	13	91381.06378	20	
Q9VAY0	Neprilysin 7	5.58	4	4	4	7096.71367	4	
Q9VAY2	Heat shock protein 83	34.31	28	98	27	1096842.81236	73	
Q9VAY6	Pre-mRNA-splicing factor SPF27	7.19	2	2	2	21635.1867	2	
Q9VAY9	GH07821p	4.83	2	2	2	16302.991	1	
Q9VB05	ALG-2 interacting protein X	17.46	19	58	19	508860.39423	49	
Q9VB10	Hydroxysteroid dehydrogenase-like protein 2	48.54	18	54	18	1068304.1337	48	
Q9VB17	IP11341p	10.12	4	7	4	19452.6226	5	
Q9VB22	LD33695p	13.07	8	14	8	174278.47377	10	
Q9VB23	Serine/threonine protein phosphatase 2A regulatory subunit	14.5	9	31	1	62183.54738	16	
Q9VB64	Uridine diphosphate glucose pyrophosphatase NUDT14	41.98	7	10	7	182167.33497	9	
Q9VB66	CLIP domain-containing serine protease	7.35	3	3	2	394.70538	1	
Q9VB69	Malic enzyme	19.45	12	25	1	78110.98204	19	
Q9VB76	Carbonic anhydrase	5.79	2	4	2	30157.7509	4	
Q9VB77	IP09938p	4.06	1	2	1	2510.0637	2	
Q9VB78	Eater	12.38	3	7	3	5971.6862	2	
Q9VB79	IP09473p	14.19	5	15	5	34948.8207	11	
Q9VB81	Cuticular protein 97Eb	42.98	11	59	11	1041228.5913000001	56	
Q9VB86	LP07342p	7.34	1	1	1	8133.1694	1	
Q9VB96	Uncharacterized protein, isoform A	24.33	11	26	2	244411.04037	24	
Q9VBC1	Uncharacterized protein, isoform A	39.78	4	8	4	10804.72703	8	
Q9VBC9	Beaten path VII	3.68	2	4	2	18882.2991	4	
Q9VBI2	UMP-CMP kinase	50.99	13	74	13	2216448.85302	52	
Q9VBI3	RH72336p	22.66	7	23	7	115140.96132	18	
Q9VBL3	GH01188p	8.54	5	6	5	4931.6081	6	
Q9VBP5	Jing interacting gene regulatory 1, isoform A	7.44	3	3	2	17370.413	3	
Q9VBP6	Succinate-semialdehyde dehydrogenase	76.03	33	149	33	5093433.83738	129	
Q9VBR3	Astrocytic leucine-rich repeat molecule	3.4	2	4	2	18675.858699999997	3	
Q9VBS7	Uncharacterized protein, isoform B	30.82	11	20	11	317240.9383	19	
Q9VBT1	CHK kinase-like domain-containing protein	9.59	4	6	4	12997.4242	6	
Q9VBT2	IP11926p	4.57	2	2	2	497.62558	1	
Q9VBU0	Uncharacterized protein, isoform A	8.15	4	5	3	6573.7542300000005	3	
Q9VBU9	40S ribosomal protein S27	22.62	2	16	2	491034.69365	11	
Q9VBV4	Juvenile hormone binding protein 7	7.6	2	3	1	11733.8589	2	
Q9VBX3	Vig2, isoform B	9.03	3	4	0	15194.309940000001	3	
Q9VBY7	Protein lin-7 homolog	54.36	10	72	1	1323772.21172	58	
Q9VC05	Oxysterol-binding protein	3.19	3	5	3	21488.137319999998	5	
Q9VC06	LD37516p	12.05	9	12	9	28217.601749999998	9	
Q9VC10	Phosphatidylinositol glycan anchor biosynthesis class S	1.87	1	1	1	2476.3174	1	
Q9VC18	Bifunctional purine biosynthesis protein ATIC	21.53	13	33	13	83916.14476	19	
Q9VC30	RE05274p	13.98	3	7	3	7155.024359999999	2	
Q9VC31	Ras-related protein Rab-1	25.82	6	20	4	42882.95887	11	
Q9VC48	Methionine aminopeptidase	19.52	7	14	7	95049.4736	14	
Q9VC53	BolA-like protein DDB_G0274169	28.0	5	12	5	113747.02266	10	
Q9VC58	Syntaxin-18	6.08	3	3	3	1071.06866	2	
Q9VC66	AT25567p	25.62	12	25	12	108857.38246	24	
Q9VC67	Juvenile hormone binding protein 12	11.51	3	6	3	10869.9182	4	
Q9VC87	RE57978p	7.51	3	5	3	7028.7317	2	
Q9VCB9	FI08802p	6.15	2	2	2	20408.04245	2	
Q9VCC9	LD23779p	2.55	3	5	3	1387.47962	2	
Q9VCD8	Structural maintenance of chromosomes protein	3.15	4	7	4	2404.81774	3	
Q9VCD9	Uncharacterized protein, isoform C	27.27	4	9	4	122743.85247	8	
Q9VCE0	Phosphatidylserine decarboxylase proenzyme, mitochondrial	6.94	3	7	3	11928.205399999999	6	
Q9VCF8	LD23561p	10.51	4	8	4	44363.45816	8	
Q9VCI4	LD32918p	5.33	4	7	4	336.26068	1	
Q9VCI7	LD02979p	12.03	5	12	1	110392.52954	9	
Q9VCK6	LD34157p	14.88	7	11	7	32482.00667	8	
Q9VCR2	N-acyl-aliphatic-L-amino acid amidohydrolase	8.23	4	8	4	29690.7232	6	
Q9VCR4	FI17836p1	3.66	3	5	3	9337.1484	3	
Q9VCR9	RH48101p	20.22	8	34	8	263647.76394	29	
Q9VCT4	Klingon	5.69	3	4	3	2596.2819	2	
Q9VCU0	GEO02312p1	33.33	4	15	4	40391.65096	11	
Q9VCU1	FI07649p	2.77	2	2	2	349.14987	1	
Q9VCU6	Heterochromatin protein 1c	6.75	2	4	2	30771.0018	4	
Q9VCW2	Cardinal	11.33	9	12	9	9267.325359999999	6	
Q9VCW6	GCS light chain	37.54	12	34	12	210731.61949	27	
Q9VCZ2	FI07970p	5.96	3	4	3	4149.0314	3	
Q9VD00	FI07666p	15.11	4	16	4	97535.25624	13	
Q9VD01	LP12095p	8.52	2	4	2	19989.5903	4	
Q9VD02	GH14779p	37.99	5	19	5	247539.54402	17	
Q9VD13	GH02671p	17.26	8	11	1	50325.303700000004	7	
Q9VD14	GH07286p	11.88	8	21	8	171238.29166	21	
Q9VD29	small monomeric GTPase	48.19	9	26	9	1442677.12118	21	
Q9VD30	GH05294p	74.19	12	43	12	1407963.61186	39	
Q9VD55	Holocytochrome c-type synthase	5.34	2	3	2	10603.4524	2	
Q9VD58	Isocitric dehydrogenase subunit beta	45.95	14	105	14	3097738.56506	82	
Q9VD64	ADP-ribosylation factor-like protein 3	24.58	4	5	4	25778.85354	4	
Q9VD68	GH19849p	4.3	2	3	2	13825.31534	3	
Q9VD72	Vacuolar-sorting protein SNF8	7.09	2	5	2	36316.442500000005	5	
Q9VDC0	GH01837p	28.0	5	14	5	41557.18441	12	
Q9VDC2	isopentenyl-diphosphate Delta-isomerase	6.25	2	4	2	30536.4866	4	
Q9VDC3	AP complex subunit sigma	35.92	5	12	5	327810.0882	10	
Q9VDE2	oxaloacetate tautomerase	34.09	6	7	6	250018.79723999999	4	
Q9VDF4	Cortactin, isoform A	27.73	15	34	15	147522.91689	27	
Q9VDH3	GH08630p	66.23	13	38	13	852752.50476	30	
Q9VDI1	LD46328p	53.04	22	79	0	718878.40392	61	
Q9VDI3	Myosin-2 essential light chain	17.45	3	4	3	6047.29666	2	
Q9VDI5	Uncharacterized protein, isoform A	29.18	5	11	3	28163.3498	4	
Q9VDK2	GH15831p	5.72	4	6	3	20398.3577	5	
Q9VDK7	Signal recognition particle subunit SRP72	25.54	16	32	16	112037.62826	26	
Q9VDK9	GH12359p	6.46	4	6	4	28894.544439999998	5	
Q9VDL5	GEO09602p1	13.43	1	2	1	11393.43966	2	
Q9VDP9	S-formylglutathione hydrolase	29.02	6	23	1	257822.30215	20	
Q9VDQ3	Identity crisis	6.53	4	4	4	1078.73456	2	
Q9VDT1	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	32.84	12	22	12	147443.10751	20	
Q9VDT5	Carboxypeptidase	20.54	8	17	8	200657.28674	14	
Q9VDU7	nicotinamidase	15.69	5	15	5	184962.6263	14	
Q9VDV2	AT06125p	8.54	4	4	3	2985.122	2	
Q9VDY8	MIP08680p	57.35	14	64	1	947315.98497	54	
Q9VDZ8	Mitochondrial import inner membrane translocase subunit TIM44	41.59	20	73	0	676134.21767	71	
Q9VE08	GH10002p	8.92	2	3	2	6221.6051	3	
Q9VE12	LD27322p	14.81	5	12	5	33575.07571	9	
Q9VE24	N-sulfoglucosamine sulfohydrolase	6.68	4	7	4	22734.51165	6	
Q9VE31	GEO12059p1	16.22	2	3	2	406.79315	1	
Q9VE52	Cleavage stimulation factor 64 kD subunit	14.08	6	8	6	37402.0945	7	
Q9VE56	FI17806p1	7.14	2	3	2	59691.4222	3	
Q9VE57	GEO10850p1	12.41	2	3	2	12340.453300000001	3	
Q9VE73	WD repeat-containing protein 37	3.29	2	2	2	1556.61886	2	
Q9VE75	V-type proton ATPase subunit a	2.76	3	4	2	20109.56	3	
Q9VE85	Nucleoporin 43kD	12.57	5	11	5	30164.61808	10	
Q9VE94	LD14127p	12.24	5	6	5	8075.461499999999	4	
Q9VEA1	Eukaryotic translation initiation factor 4C	31.08	6	17	6	171867.83614	14	
Q9VEA7	FI01460p	28.09	1	3	1	6348.2073	3	
Q9VEB1	Malate dehydrogenase, mitochondrial	85.12	28	303	28	21918652.147549998	240	
Q9VEB7	AT04491p	5.94	3	3	3	15087.62671	3	
Q9VEC2	Proteasome assembly chaperone 2	14.57	4	6	4	32259.74966	4	
Q9VEC8	RE23139p1	14.62	2	4	2	25768.806699999997	4	
Q9VED8	Deoxyribonuclease II	10.11	4	12	4	65319.8762	9	
Q9VEF5	Inhibitor of growth protein	7.39	3	4	3	12186.7577	2	
Q9VEG8	RE59232p	2.8	1	1	1	41329.727	1	
Q9VEH2	Transmembrane protein 192	6.15	2	5	2	14868.27528	4	
Q9VEJ3	Pyrroline-5-carboxylate reductase	51.28	10	39	2	722252.90563	34	
Q9VEJ9	Curly Su	1.2	1	2	1	12686.6156	2	
Q9VEK7	Cellular repressor of E1A-stimulated genes, isoform A	28.91	6	14	1	147108.09673000002	11	
Q9VEK8	GH07711p	34.05	12	33	12	191942.75947	27	
Q9VEN3	non-specific serine/threonine protein kinase	17.6	12	21	12	85089.69852	17	
Q9VEN6	Mitochondrial ribosomal protein S11	7.5	2	2	2	2720.3073	2	
Q9VEN9	Protein associated with topo II related - 1, isoform A	6.51	6	8	6	16772.71543	7	
Q9VEP6	Adenylosuccinate lyase	11.64	7	24	7	135605.47414	23	
Q9VEP8	GH11385p	13.2	10	14	10	42364.14126	9	
Q9VEP9	Splicing factor 3A subunit 1	15.05	12	22	12	80765.4975	18	
Q9VEQ2	ER membrane protein complex subunit 2	14.18	4	10	1	20656.79174	6	
Q9VES8	RE28913p	27.34	8	16	8	32055.66705	11	
Q9VET3	peptidyl-tRNA hydrolase	11.76	2	3	2	40806.5997	3	
Q9VEV3	Tetratricopeptide repeat protein 1	24.33	9	26	9	146039.78599	21	
Q9VEV7	Protein farnesyltransferase subunit beta	5.73	3	3	3	390.10422	1	
Q9VEW1	Jiangshi, isoform A	4.4	3	4	3	8586.5438	3	
Q9VEY0	Uncharacterized protein, isoform C	34.23	11	25	3	101981.73279	21	
Q9VEY4	Growth hormone-regulated TBC protein 1	4.85	2	3	2	19969.5367	3	
Q9VEY5	MICOS complex subunit	55.31	12	37	12	1166274.97126	34	
Q9VF03	Brahma associated protein 155 kDa	12.32	12	17	1	88057.07967	15	
Q9VF15	GEO09476p1	81.05	12	61	8	1163361.56874	45	
Q9VF23	arginine kinase	7.22	4	6	4	4985.63935	2	
Q9VF24	Crossveinless d	5.1	8	12	8	31346.794579999998	9	
Q9VF28	Actin-related protein 2/3 complex subunit 3	33.33	6	19	6	56687.36174	11	
Q9VF39	FI01459p	4.13	2	2	2	9379.483	1	
Q9VF51	Aldehyde oxidase 3, isoform A	9.89	13	22	10	93516.35992	21	
Q9VF70	Cerebral cavernous malformation 3	16.35	4	7	4	23676.8109	6	
Q9VF77	FI16517p1	10.07	4	7	4	15528.53096	4	
Q9VF82	Trafficking protein particle complex subunit 6B	22.37	4	4	4	14869.622959999999	4	
Q9VF86	N-acetyl-D-glucosamine kinase	13.79	5	12	5	109636.0156	11	
Q9VF98	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	9.52	1	2	1	18404.3204	2	
Q9VFC7	Mf5 protein	84.38	37	292	0	4777492.927680001	189	
Q9VFE9	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	3.84	2	3	2	2459.5580999999997	2	
Q9VFF0	Mitochondrial-processing peptidase subunit beta	67.02	24	158	24	6634155.2300700005	120	
Q9VFI3	GEO08281p1	21.15	1	1	1	5184.015	1	
Q9VFM0	GH19262p	4.96	3	5	3	5227.12968	4	
Q9VFN7	GEO07678p1	20.13	4	19	4	360708.36474	18	
Q9VFN9	GEO07882p1	15.32	2	6	2	27061.55417	4	
Q9VFP0	RH07106p	17.84	7	11	7	67774.2546	10	
Q9VFP6	Inositol polyphosphate 1-phosphatase	39.73	14	39	14	679453.4748600001	29	
Q9VFQ9	Dipeptidase B, isoform A	18.7	11	26	11	244339.30087	21	
Q9VFS1	Adenosine deaminase	6.77	5	9	5	9077.89337	6	
Q9VFS4	Cilia- and flagella-associated protein 36	13.23	4	7	4	32749.578200000004	6	
Q9VFT4	AT27578p	10.58	6	11	6	12830.64304	8	
Q9VFU7	Sidestep IV, isoform C	3.8	4	6	4	14320.3381	4	
Q9VFV1	RE55542p	2.83	2	2	2	12203.452399999998	2	
Q9VFV9	DnaJ-like-2, isoform A	55.83	19	59	19	1275461.75696	54	
Q9VFZ4	Methanethiol oxidase	9.67	5	11	5	49063.86614	10	
Q9VG00	Cytochrome c oxidase assembly protein COX20, mitochondrial	15.45	3	5	3	10458.6895	4	
Q9VG01	RE12073p	5.26	3	3	3	3752.7316	2	
Q9VG04	Protein MEMO1	10.85	4	6	4	5253.70186	4	
Q9VG06	peptidyl-tRNA hydrolase	5.76	1	1	1	2995.9377	1	
Q9VG23	GH22994p	65.12	12	32	1	917382.06534	25	
Q9VG26	MIP06012p	38.03	8	22	8	459224.4324	17	
Q9VG28	Beaten path Vc	2.36	1	3	1	1498.0953	1	
Q9VG31	Malic enzyme	16.64	15	41	0	212167.75355	37	
Q9VG33	Sulfurtransferase	73.64	6	14	6	721614.35936	14	
Q9VG42	Glycine N-methyltransferase	15.57	5	8	5	151627.4483	7	
Q9VG51	Sorting nexin-3	55.69	9	28	9	149140.0709	23	
Q9VG62	Toys are us	1.44	1	1	1	1905.5094	1	
Q9VG69	LP03547p	32.01	11	35	11	452306.48686	33	
Q9VG81	RH49330p	11.83	6	15	6	22030.9611	7	
Q9VG92	Glutathione S transferase D8	13.21	3	20	2	71433.30565	5	
Q9VGA0	Glutathione S transferase D9, isoform A	42.66	9	19	8	326441.60184	17	
Q9VGA1	Glutathione S transferase D10, isoform A	10.48	3	17	1	6199.0224	2	
Q9VGA3	LD12305p	35.91	7	32	6	292241.73485999997	23	
Q9VGC2	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	4.58	2	2	2	3131.48506	2	
Q9VGE4	FI04457p	9.25	11	16	11	30825.31263	10	
Q9VGE7	Beta-galactosidase	8.01	4	9	4	8918.671	6	
Q9VGF3	IP11040p	11.88	5	6	5	9948.07947	3	
Q9VGF7	Mitochondrial glutamate carrier 2	21.5	8	32	6	256418.9082	25	
Q9VGJ9	Heme oxygenase	14.53	5	10	5	100049.57579999999	10	
Q9VGK3	peptidylprolyl isomerase	36.96	4	9	4	96029.33200000001	9	
Q9VGL0	LD43047p	2.84	4	6	4	1647.3794	2	
Q9VGM2	Fatty acid-binding protein, muscle	84.62	13	246	0	11715159.180920001	204	
Q9VGP7	Large ribosomal subunit protein mL40	12.76	3	7	3	26040.8867	7	
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	42.52	20	85	20	2687090.37314	73	
Q9VGQ8	Arfaptin	6.76	3	4	3	18163.1806	3	
Q9VGR0	DnaJ homolog subfamily C member 17	13.04	4	4	4	3236.102	2	
Q9VGR1	GRIP and coiled-coil domain containing 88 kDa	4.03	3	5	3	5354.3299799999995	4	
Q9VGS3	RH44771p	14.04	3	26	3	303440.16971	21	
Q9VGT0	UDP-glucuronosyltransferase	1.36	1	2	1	11528.838	2	
Q9VGT3	GM04645p	5.3	3	5	3	2394.38445	2	
Q9VGT8	UDP-glucuronosyltransferase	3.68	3	7	3	15310.4955	3	
Q9VGU7	Arrestin C-terminal-like domain-containing protein	6.56	3	4	3	13483.8439	4	
Q9VGV9	palmitoyl-protein hydrolase	14.47	4	5	4	24993.7873	4	
Q9VGW7	type I protein arginine methyltransferase	15.16	5	7	5	30263.7463	5	
Q9VGY2	Peptide deformylase	10.08	3	4	1	7877.213400000001	4	
Q9VGY8	Phytanoyl-CoA dioxygenase domain containing 1	3.82	1	1	1	4772.4224	1	
Q9VGZ3	Cytoplasmic aconitate hydratase	13.79	14	24	9	87303.26380999999	17	
