Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F1	Abundances Count: F5: 128C, Sample, n/a, Earth_F1	Modifications
Q9VVU5	COP9 signalosome complex subunit 1b	5.71	3	5	3	44455.4348	4	
Q9VVW3	Sideroflexin-2	10.7	4	10	4	20296.77164	7	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	16.0	4	8	4	36920.09114	7	
Q9VVY3	Glycogen-binding subunit 76A	6.17	4	8	0	9655.22534	7	
Q9VW12	UPF0389 protein CG9231	41.6	5	24	0	558536.46248	18	
Q9VW14	rRNA methyltransferase 3, mitochondrial	18.18	7	11	7	28217.00089	8	
Q9VW26	Ornithine aminotransferase, mitochondrial	18.1	8	17	8	153881.64495	13	
Q9VW56	Probable prefoldin subunit 6	44.8	6	30	0	245266.75246	23	
Q9VWA1	Clathrin light chain	41.55	12	58	0	1758149.69527	51	
Q9VWA8	Protein FRG1 homolog	11.07	4	7	4	24000.7215	6	
Q9VWB1	DCN1-like protein 4	8.87	2	3	1	27712.617299999998	3	
Q9VWE0	Cytokine receptor	0.78	1	2	1	800.3066	2	
Q9VWG3	Small ribosomal subunit protein eS10B	28.12	7	15	0	182893.80043	14	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	69.23	29	196	28	17079541.44671	166	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	57.38	7	25	7	828458.50993	21	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	17.32	9	22	0	55932.81629	18	
Q9VWP4	Sulfite oxidase, mitochondrial	8.55	5	7	5	8900.30951	5	
Q9VWU1	Serine protease persephone	8.88	4	6	4	43059.7035	5	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	10.75	3	3	3	10873.7586	2	
Q9VWW0	Cyclic AMP response element-binding protein B	6.41	3	4	0	21228.78554	4	
Q9VWX8	Frequenin-2	37.43	8	52	3	1207923.34144	38	
Q9VWY6	Transcription initiation factor TFIID subunit 8	6.1	2	4	2	12192.319	2	
Q9VX10	Sulfiredoxin	11.73	2	4	0	10011.7583	3	
Q9VX98	Density-regulated protein homolog	29.63	4	17	4	405618.3407	16	
Q9VXB0	NECAP-like protein CG9132	44.72	9	39	3	614137.3853	34	
Q9VXB5	Large ribosomal subunit protein uL22m	12.88	3	3	3	20892.42186	3	
Q9VXE0	Probable small nuclear ribonucleoprotein G	59.21	4	9	4	139481.41569999998	9	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.76	4	9	4	20388.31036	6	
Q9VXE6	Nuclear pore complex protein Nup153	1.91	3	4	0	10215.310720000001	4	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	39.9	18	82	0	724457.57657	65	
Q9VXG4	Annexin B11	23.68	14	41	14	625613.68705	37	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	21.07	11	19	0	98783.3998	15	
Q9VXK0	Protein NipSnap	9.89	3	16	0	147693.18745	14	
Q9VXK6	Eukaryotic translation initiation factor 5	18.32	10	21	9	122355.18775	15	
Q9VXN2	Protein stunted	81.97	6	16	6	465765.3098	10	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	12.63	9	10	9	35443.721300000005	8	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	18.22	3	5	3	66740.0326	5	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	9	0	63223.24086	9	
Q9VXY0	Probable cytochrome P450 4s3	2.83	2	4	2	795.1424	1	
Q9VXY7	Lipid storage droplets surface-binding protein 2	35.8	10	28	0	917037.45801	21	
Q9VY28	Small ribosomal subunit protein mS25	23.95	4	7	4	25111.997440000003	5	
Q9VY77	LIM domain-containing protein jub	4.67	3	6	0	4021.7370199999996	4	
Q9VY78	Chloride intracellular channel Clic	38.46	8	8	8	188923.6048	7	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	7.05	2	3	0	27704.268799999998	3	
Q9VYB7	Protein-tyrosine sulfotransferase	1.6	1	2	0	6937.9342	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	55.79	4	9	0	454032.7688	8	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	9.97	3	4	0	11701.0757	2	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	1.78	1	2	0	4918.1517	2	
Q9VYG2	Brahma-associated protein of 60 kDa	11.26	6	7	6	18029.7754	5	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	104457.9058	11	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	2	0	16594.631	2	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	3.99	5	7	0	7985.8913999999995	4	
Q9VYR0	LSM12 homolog A	14.29	3	8	3	43711.5444	7	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	9.88	4	5	4	32104.9819	5	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	47.84	17	42	17	641717.4972	33	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.61	3	3	0	17105.1295	3	
Q9VYX1	Enhancer of yellow 2 transcription factor	23.76	2	2	2	31858.918	1	
Q9VYY2	Signal peptidase complex subunit 2	33.67	8	20	0	197088.66843	18	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.52	9	15	9	88778.31084	11	
Q9VZ23	GTP-binding nuclear protein Ran	51.85	11	32	0	781241.49868	28	
Q9VZ35	Protein Vago	5.0	1	1	1	404.6238	1	
Q9VZ40	Uncharacterized protein CG1552	3.8	1	5	0	51412.0214	4	
Q9VZ49	Endoribonuclease Arlr	16.72	10	23	10	365329.8296	22	
Q9VZ64	Probable 6-phosphogluconolactonase	32.1	7	18	7	399104.36614	17	
Q9VZA4	Band 7 protein CG42540	12.08	6	14	0	58110.0692	8	
Q9VZD5	Small ribosomal subunit protein bS6m	10.2	2	4	0	17132.2513	4	
Q9VZD8	THUMP domain-containing protein 1 homolog	8.64	4	6	4	8953.488860000001	3	
Q9VZE7	Choline transporter-like 1	3.76	2	3	0	2791.6047	1	
Q9VZI3	Unc-112-related protein	3.39	3	3	2	22456.204400000002	2	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	6.21	2	4	2	9337.6374	4	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	5.77	2	3	2	11386.6278	3	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	10.83	1	3	0	83154.80870000001	3	
Q9VZS3	Eukaryotic translation initiation factor eIF1	59.09	5	12	5	163401.0096	9	
Q9VZS5	Large ribosomal subunit protein eL28	45.14	8	37	0	371710.27844	31	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	47.55	12	78	12	3162963.45886	67	
Q9VZX9	Adenosylhomocysteinase-like 1	21.69	11	18	10	238182.0208	16	
Q9W021	Large ribosomal subunit protein uL23m	9.33	2	4	0	15662.9472	2	
Q9W032	Protein ecdysoneless	5.12	4	4	4	1772.17959	3	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	40.89	16	58	1	860987.27902	47	
Q9W074	Protein HBS1	4.33	3	4	3	5331.404	3	
Q9W0A0	Protein draper	9.6	8	20	0	34099.42772	8	
Q9W0C1	Neuronal synaptobrevin	43.17	4	30	4	1201100.86064	28	
Q9W0C7	Protein OPI10 homolog	6.6	1	2	1	11260.2733	2	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	11.13	7	10	3	19954.897940000003	8	
Q9W0H3	Lipid droplet-associated hydrolase	11.4	4	10	4	80303.2336	9	
Q9W0K4	Protein bric-a-brac 2	2.53	2	2	0	1813.2812	1	
Q9W0P5	UDP-glucose 4-epimerase	19.43	8	15	0	235054.187	11	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	14.25	13	21	13	80671.10677	20	
Q9W0Y1	Troponin C-akin-1 protein	26.95	5	16	3	178558.11994	13	
Q9W0Y2	Putative gamma-glutamylcyclotransferase CG2811	5.1	1	2	0	1215.13194	2	
Q9W0Y6	Transient receptor potential cation channel protein painless	2.85	3	4	2	5636.1781599999995	4	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	63	6	2353990.1041699997	52	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	9	5	89918.00267	8	
Q9W1A4	Protein tamozhennic	5.52	2	2	0	4274.4775	1	
Q9W1C9	Ejaculatory bulb-specific protein 3	58.73	13	119	0	20521034.72819	94	
Q9W1G0	Probable transaldolase	48.04	12	51	12	2578925.04665	45	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	15.31	3	3	3	35462.1134	3	
Q9W1K0	Transmembrane protein 14 homolog	28.57	3	8	0	63574.448899999996	5	
Q9W1K5	Sestrin homolog	6.84	4	7	0	31830.07363	5	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	12.79	6	9	6	53321.425800000005	8	
Q9W1X4	Nuclear pore complex protein Nup214	2.75	5	6	5	10065.04508	4	
Q9W1X8	Probable GDP-L-fucose synthase	12.77	5	11	5	85356.09	11	
Q9W1X9	OCIA domain-containing protein 1	33.07	7	9	0	50283.1015	9	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	24.63	4	12	4	135688.70266	11	
Q9W237	Small ribosomal subunit protein uS9	66.89	13	65	0	2335755.89464	56	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	10.34	6	9	6	68435.2399	7	
Q9W266	Protein windpipe	20.68	10	31	10	225603.23514	24	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	57.61	5	22	5	484775.8277	20	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	28.38	5	8	5	58876.1017	6	
Q9W2E7	Protein Rae1	11.56	4	11	4	290380.9727	10	
Q9W2M2	Trehalase	29.36	16	47	0	472238.79178	38	
Q9W2N0	F-actin-capping protein subunit alpha	9.44	3	3	3	19240.22192	3	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	3.03	3	3	3	2953.4097	1	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	15.6	9	17	1	46177.67288	10	
Q9W2Y3	NAD(P)H-hydrate epimerase	7.83	2	6	2	28149.03924	6	
