Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VEN6	Mitochondrial ribosomal protein S11	7.5	2	2	2	3159.4446	1	
Q9VEN9	Protein associated with topo II related - 1, isoform A	6.51	6	8	6	20233.31548	7	
Q9VEP6	Adenylosuccinate lyase	11.64	7	24	7	150049.1645	22	
Q9VEP8	GH11385p	13.2	10	14	10	52168.868	10	
Q9VEP9	Splicing factor 3A subunit 1	15.05	12	22	12	84193.34632	17	
Q9VEQ2	ER membrane protein complex subunit 2	14.18	4	10	1	22802.35683	6	
Q9VES8	RE28913p	27.34	8	16	8	32439.745860000003	12	
Q9VET3	peptidyl-tRNA hydrolase	11.76	2	3	2	42981.078299999994	3	
Q9VEV3	Tetratricopeptide repeat protein 1	24.33	9	26	9	133851.06622	21	
Q9VEV7	Protein farnesyltransferase subunit beta	5.73	3	3	3	892.94586	1	
Q9VEW1	Jiangshi, isoform A	4.4	3	4	3	8167.587100000001	2	
Q9VEY0	Uncharacterized protein, isoform C	34.23	11	25	3	93633.7334	21	
Q9VEY4	Growth hormone-regulated TBC protein 1	4.85	2	3	2	30137.972	3	
Q9VEY5	MICOS complex subunit	55.31	12	37	12	1372121.33015	33	
Q9VEY9	GH15759p	2.33	1	1	1	460.97614	1	
Q9VF03	Brahma associated protein 155 kDa	12.32	12	17	1	77260.21089999999	14	
Q9VF15	GEO09476p1	81.05	12	61	8	1422698.78177	49	
Q9VF23	arginine kinase	7.22	4	6	4	16381.4902	2	
Q9VF24	Crossveinless d	5.1	8	12	8	42021.1459	10	
Q9VF28	Actin-related protein 2/3 complex subunit 3	33.33	6	19	6	87162.39694	11	
Q9VF39	FI01459p	4.13	2	2	2	16223.812	1	
Q9VF51	Aldehyde oxidase 3, isoform A	9.89	13	22	10	150529.70190000001	21	
Q9VF70	Cerebral cavernous malformation 3	16.35	4	7	4	26354.9571	6	
Q9VF77	FI16517p1	10.07	4	7	4	19115.31383	5	
Q9VF82	Trafficking protein particle complex subunit 6B	22.37	4	4	4	20893.4875	3	
Q9VF86	N-acetyl-D-glucosamine kinase	13.79	5	12	5	160522.99850000002	11	
Q9VF98	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	9.52	1	2	1	26743.873	2	
Q9VFC7	Mf5 protein	84.38	37	292	0	5548576.95881	188	
Q9VFE9	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	3.84	2	3	2	2341.7824	2	
