Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	17570.5566	4	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	39517.1337	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1613913.11417	62	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	33965.5651	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	37513.716	12	
A0A1F4	Protein eyes shut	9.56	22	68	0	491062.33525	56	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	14889.7712	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	125721.0297	17	
A1Z713	Intermembrane lipid transfer protein Vps13	0.27	1	1	1	557.9401	1	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	1485.283	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	2180.936	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	4573.13032	3	
A1Z877	Nidogen	24.81	29	66	29	567820.30754	61	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	7702.3737	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	562.53723	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	166644.10181	56	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	73577.03988	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	69611.1817	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	145994.6646	35	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	10921.544	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	92207.39222	29	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	49853.417499999996	3	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	9493.03663	5	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	14572.97276	5	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	6325.2758300000005	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	15319.5404	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	5764.48753	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	149850.8316	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	30910.4667	6	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	224934.70832	9	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1557941.3334000001	86	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	226382.7022	17	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	442888.12997	49	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	485091.89567	31	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	69503.4567	4	
C0HL66	Histone H3.3A	52.94	8	63	0	44129.74654	5	
C0HLZ9	Baramicin A1	15.56	4	9	0	32389.8329	7	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	443059.97424	30	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	2866.7996599999997	2	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	73827.78547	12	
M9NDE3	Protein bark beetle	3.91	13	19	13	51655.752739999996	11	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	3708161.27815	99	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	115713.55329	6	
O01367	Protein held out wings	21.48	8	10	0	34161.60171	9	
O01382	Caspase drICE	17.99	5	7	4	5323.04494	4	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	294849.2005	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	4190451.14504	106	
O02194	Presenilin homolog	5.73	3	5	0	4909.84672	4	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	297603.0327	20	
O02649	Heat shock protein 60A	73.47	40	183	25	5350851.731	148	
O15943	Neural-cadherin	14.89	49	91	2	531688.98238	74	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	65603.10503	12	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	53520.631720000005	4	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	23430.3086	5	
O18333	Ras-related protein Rab-2	18.31	5	10	5	56802.01726	9	
O18334	Ras-related protein Rab6	18.75	5	16	0	11512.64078	5	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	453424.62922	27	
O18388	Importin subunit beta	3.73	4	6	0	6552.1603	2	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	4491621.02989	104	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	319493.60986	31	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	57848.77681	10	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	32131.0417	3	
O44342	Protein windbeutel	19.46	5	10	0	33552.186799999996	8	
O44386	Integrin alpha-PS3	11.84	14	20	12	80858.08836000001	17	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	558.48676	1	
O46037	Vinculin	53.69	50	137	0	1971959.62816	113	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	41738.5583	4	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	79903.58554	7	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	92446.2683	7	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	266960.05045	20	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	4466.63973	3	
O61307	Teneurin-m	0.66	2	2	0	2980.7810999999997	2	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	22225.3834	4	
O61491	Flotillin-1	48.83	23	81	23	1295897.48389	72	
O61722	PRL-1 phosphatase	44.32	7	23	7	359033.82695	14	
O62619	Pyruvate kinase	69.23	27	80	27	2952276.60472	62	
O62621	Coatomer subunit beta'	3.17	3	4	3	8770.18195	4	
O76206	Putative riboflavin kinase	49.02	7	15	0	341126.5688	11	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	194840.465	6	
O76742	Ras-related protein Rab7	28.5	6	12	6	106179.67576	11	
O76878	RILP-like protein homolog	9.71	5	10	0	58752.643899999995	9	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	103981.18113	14	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	197900.54708	13	
O77051	Transcription factor E2F2	22.97	9	14	0	18242.88232	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	20703.21475	5	
O77277	Torsin-like protein	12.65	5	8	0	50806.91887	7	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	6047.0789	2	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	30094.52	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	89511.02679999999	22	
O96690	Protein PDF	23.53	1	1	1	1104.3552	1	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	2437845.04832	60	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	29905.48604	6	
O97125	Heat shock protein 68	24.09	13	89	6	180410.8739	20	
O97172	UPF0729 protein CG18508	29.29	3	8	0	31911.37033	7	
O97394	Protein sidekick	1.89	4	5	0	2865.20106	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	15697.09887	5	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	1002178.8981700001	45	
P00334	Alcohol dehydrogenase	88.28	21	200	21	27662884.19215	145	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	1924574.6895	34	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	4136.9905	3	
P02255	Histone H1	14.45	3	6	0	36303.4477	5	
P02283	Histone H2B	56.91	8	70	8	1474115.71645	52	
P02299	Histone H3	52.94	8	67	2	1728863.8834900002	54	
P02515	Heat shock protein 22	40.8	8	18	8	321746.185	15	
P02516	Heat shock protein 23	84.41	16	83	0	3842029.03192	70	
P02517	Heat shock protein 26	57.69	10	30	0	1276592.0185800001	22	
P02518	Heat shock protein 27	44.13	9	21	0	463192.07546	21	
P02572	Actin-42A	64.1	25	768	2	43002316.09269	575	
P02574	Actin, larval muscle	65.96	25	672	0	549721.2816	21	
P02828	Heat shock protein 83	48.4	33	148	0	3955779.3092900002	137	
P02843	Vitellogenin-1	70.84	32	265	0	9977840.78194	181	
P02844	Vitellogenin-2	59.28	26	187	0	6771723.92185	121	
P04197	Myb protein	3.81	3	3	0	1213.37171	2	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	238905.0709	13	
P04388	Ras-like protein 2	13.02	2	10	2	38433.05667	9	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	13489.19081	5	
P05205	Heterochromatin protein 1	36.89	8	22	8	187327.14776	19	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	2031958.7453	31	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	726648.2702	16	
P05552	Transcription factor Adf-1	7.63	2	5	0	35927.43505	5	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	30502.92682	9	
P05812	Heat shock protein 67B1	12.13	5	7	5	13361.5886	5	
P06002	Opsin Rh1	4.56	2	8	2	46958.5306	6	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	18943924.14991	136	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	8795.588	1	
P06607	Vitellogenin-3	82.14	33	299	0	10485735.44191	239	
P06742	Myosin light chain alkali	56.77	11	71	0	7409728.33098	42	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	4212.8145	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	2152887.6294	40	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	10527059.93634	128	
P07665	Serendipity locus protein beta	8.43	4	5	0	1356.1625	2	
P07668	Choline O-acetyltransferase	7.63	5	6	5	8603.3176	3	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	20404330.82141	322	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	18454.8792	6	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	221116.66548	22	
P08144	Alpha-amylase A	18.22	8	15	0	219745.8049	12	
P08171	Esterase-6	13.24	9	22	0	176092.38714	21	
P08182	Casein kinase II subunit beta	38.72	8	38	2	528672.12289	30	
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	1422367.36025	28	
P08645	Ras-related protein Rap1	25.54	5	15	0	154494.4864	14	
P08646	Ras-like protein 1	30.69	4	10	4	89460.6359	9	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	12489663.78903	164	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	83045.03037000001	13	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	4699938.33152	107	
P08928	Lamin	67.36	50	193	49	3902739.3397	160	
P08985	Histone H2A.v	42.55	10	47	8	855144.8987400001	29	
P09040	Drosulfakinins	21.99	3	3	3	27213.6509	3	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	781338.51271	47	
P09208	Insulin-like receptor	3.03	8	10	8	6013.12878	5	
P09491	Tropomyosin-2	76.76	34	245	2	63468.824949999995	6	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	106513.87626	12	
P10180	Homeobox protein cut	0.46	1	3	0	62709.222799999996	3	
P10379	Protein unzipped	20.29	8	28	0	384953.59126	26	
P10552	FMRFamide-related peptides	2.31	1	3	1	32489.842000000004	2	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	281512.29074	59	
P10981	Actin-87E	76.33	30	777	0	889869.14129	32	
P10987	Actin-5C	64.63	27	797	0	580234.15635	27	
P11046	Laminin subunit beta-1	21.09	39	84	39	958075.7400400001	67	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	29201.88	1	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	19876308.78744	332	
P11584	Integrin beta-PS	18.32	17	45	0	241157.92427	33	
P12024	Chaoptin	30.95	35	88	0	1753333.59115	71	
P12080	Integrin alpha-PS2	11.53	17	39	17	217430.01402	32	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	940132.59532	38	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	10257.4063	2	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	426691.33214	33	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	440336.02804	41	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	150336.515	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	153328.15234	8	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	693687.67603	69	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	1731675.64078	84	
P13395	Spectrin alpha chain	65.3	140	542	0	11420696.33481	450	
P13469	DNA-binding protein modulo	4.06	2	2	0	7393.4836000000005	2	
P13496	Dynactin subunit 1	14.23	21	45	21	140677.25472	34	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	5072078.72146	125	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	45514.94837	12	
P13678	Protein kinase C	5.01	4	4	0	5525.0727	2	
P14199	Protein ref(2)P	13.19	7	32	7	217073.961	29	
P14318	Muscle-specific protein 20	80.43	16	103	16	2125783.33087	71	
P14484	Pupal cuticle protein	27.17	5	39	5	387979.38842	29	
P14599	Amyloid-beta-like protein	1.92	2	2	0	1323.0451	2	
P15007	Enolase	78.0	40	271	1	27295773.72284	226	
P15215	Laminin subunit gamma-1	33.62	53	135	0	1589516.43255	116	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	1620.0361	2	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	1843486.67627	78	
P15364	Protein amalgam	15.92	5	11	0	41769.1443	10	
P15372	Phosrestin-2	67.58	19	65	0	1504124.47231	59	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	133116.18794	7	
P16378	G protein alpha o subunit	29.1	11	46	7	714808.7985200001	41	
P16554	Protein numb	15.47	8	12	0	61038.4626	10	
P16568	Protein bicaudal D	23.4	19	27	0	152227.91018	24	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	43621.61518	11	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	2134.98058	3	
P16914	Protein elav	30.23	13	43	0	517021.49932	35	
P17210	Kinesin heavy chain	34.56	34	100	34	713391.46611	82	
P17276	Protein henna	44.69	15	32	0	704547.62655	28	
P17336	Catalase	41.11	16	61	16	1243569.34674	42	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	663967.52925	29	
P17719	Dihydrofolate reductase	4.4	1	2	1	8321.8084	2	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	1051487.37356	41	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	7856.5532	3	
P18431	Protein kinase shaggy	29.77	14	58	0	1210918.75938	49	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	5930363.97905	151	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	99751.7827	10	
P18824	Armadillo segment polarity protein	14.47	12	25	0	133779.77453999998	16	
P19107	Phosrestin-1	77.56	33	263	33	9885549.42035	233	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	131070.01445	27	
P19334	Transient receptor potential protein	4.39	6	9	4	42827.32015	8	
P19339	Protein sex-lethal	4.52	2	4	0	2449.61057	3	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	76610.42053	8	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	3773063.41442	37	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	15468.404700000001	3	
P20153	Protein ultraspiracle	5.91	4	7	0	19040.05845	6	
P20228	Glutamate decarboxylase	27.84	12	34	0	237784.54702	26	
P20232	Transcription elongation factor S-II	42.81	13	19	0	66480.80802	9	
P20240	Otefin	29.95	11	22	11	98387.78641999999	17	
P20241	Neuroglian	21.89	29	84	0	886788.66782	77	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	102185.6866	5	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	5501.16387	4	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	27964.750999999997	3	
P20432	Glutathione S-transferase D1	52.15	12	101	9	9258614.67841	87	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	3152794.4132600003	58	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	12483804.42245	196	
P21187	Polyadenylate-binding protein	26.81	14	44	14	153856.48498	37	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	4940921.28796	91	
P22465	Annexin B10	65.42	20	129	20	2904719.83468	105	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	554247.82448	31	
P22813	Heat shock factor protein	7.09	5	6	0	17024.6661	5	
P22815	Protein bride of sevenless	1.34	1	1	1	2777.6204	1	
P22979	Heat shock protein 67B3	54.27	8	22	8	542005.87106	17	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	39259.6094	7	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	339131.68393	49	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	18211.726199999997	3	
P23625	G protein alpha q subunit	54.67	20	124	18	4061727.24644	102	
P23654	Neurotactin	8.87	7	17	0	66004.72209	14	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	110722.71471999999	9	
P23779	Cystatin-like protein	63.49	8	26	8	1032214.21285	21	
P24156	Prohibitin 1	73.91	17	62	0	1514074.6506700001	51	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	10430073.36896	99	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	6935.6900000000005	2	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	446125.24101	37	
P25171	Regulator of chromosome condensation	10.42	5	9	5	40240.75234000001	9	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	2188.332	1	
P25228	Ras-related protein Rab-3	30.45	6	18	0	101605.4729	5	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	36068.75997	11	
P25822	Maternal protein pumilio	3.39	5	8	0	24391.84926	6	
P25843	Profilin	88.89	7	27	0	820181.12966	23	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	210348.7714	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	77341.7472	9	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	644182.6179	27	
P26686	Serine-arginine protein 55	18.35	8	14	0	78988.22469999999	11	
P27716	Innexin inx1	11.33	5	7	0	42910.6223	6	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	138870.13552	19	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	25278.32964	5	
P29052	Transcription initiation factor IIB	13.65	5	13	0	45492.2249	8	
P29310	14-3-3 protein zeta	69.35	18	328	0	10715924.09631	265	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	525284.90369	20	
P29413	Calreticulin	57.64	21	79	0	2495003.16774	70	
P29613	Triosephosphate isomerase	77.73	17	135	16	7410185.99141	108	
P29742	Clathrin heavy chain	8.76	16	22	0	29258.22806	10	
P29746	Protein bangles and beads	59.28	23	66	23	1159765.3253	59	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	1673279.91733	65	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	9030.7209	5	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	5303986.53291	128	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	4620735.90186	163	
P30432	Furin-like protease 2	2.44	4	6	0	4177.326349999999	4	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	871068.2791599999	39	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	1773133.1432700001	74	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	809439.6405	29	
P32234	Guanylate binding protein 128up	11.14	4	4	3	49666.785	3	
P32392	Actin-related protein 3	16.99	7	15	7	107889.3372	11	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	36976.13366	13	
P33438	Glutactin	23.98	23	64	0	327354.69239	46	
P34082	Fasciclin-2	23.02	17	30	0	152150.93723	21	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	609064.5334	21	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	489907.3777	17	
P35220	Catenin alpha	24.1	22	60	12	293441.97628	50	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	39037944.78874	393	
P35415	Paramyosin, long form	75.2	85	589	0	17914168.04347	425	
P35416	Paramyosin, short form	62.19	47	347	0	1441476.19547	46	
P35554	Flightin	46.7	7	14	0	105647.2559	5	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	30400.96603	10	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	1880633.42386	56	
P36188	Troponin I	46.1	16	73	0	2635239.07104	66	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	503260.57965	13	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	944.30357	2	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	768570.9787	24	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	563.09174	1	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	2919679.44662	101	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	149375.8926	6	
P37236	Frequenin-1	56.15	9	52	0	153718.24577	9	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	2980.034	2	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	206143.44063	15	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	2096523.0942	45	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	2130857.7563	55	
P39736	Puff-specific protein Bx42	12.61	6	12	0	13057.4457	7	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	231484.6733	4	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	264350.55736	15	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	67583.6519	4	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	377270.77265	23	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	36609.7673	8	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	288901.36519	23	
P40427	Homeobox protein extradenticle	3.72	1	4	0	4115.25505	2	
P40792	Ras-related protein Rac1	22.4	4	22	0	95721.67808	18	
P40793	Cdc42 homolog	27.75	5	16	0	176844.23565	10	
P40796	La protein homolog	30.26	11	26	10	200554.15415	18	
P40797	Protein peanut	12.62	7	32	6	176033.4614	26	
P40945	ADP ribosylation factor 4	30.0	4	17	0	3010.53	1	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	742789.64277	33	
P41043	Glutathione S-transferase S1	75.9	13	61	0	4448589.6416299995	46	
P41044	Calbindin-32	75.48	25	116	0	3866249.90029	86	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	140236.10965	22	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	356641.16701	15	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	426693.62064	19	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	1462598.0516	53	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	1340121.67653	40	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	563631.56979	35	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	94791.3997	10	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	357372.32365	25	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	11337.714899999999	2	
P42207	Septin-1	12.74	5	19	4	25874.40525	5	
P42281	Acyl-CoA-binding protein homolog	73.26	6	30	5	2321829.6697	26	
P42325	Neurocalcin homolog	66.32	14	25	14	783325.436	21	
P42787	Carboxypeptidase D	5.26	8	12	0	71302.1311	10	
P43332	U1 small nuclear ribonucleoprotein A	18.98	5	13	5	88254.84300000001	10	
P45437	Coatomer subunit beta	7.57	5	10	5	65076.9548	10	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	16	118	16	4831265.380349999	88	
P45888	Actin-related protein 2	12.53	5	9	5	38979.3346	5	
P45889	Actin-related protein 1	24.47	13	20	13	449504.41586	15	
P46150	Moesin/ezrin/radixin homolog 1	34.6	27	64	0	55315.97	1	
P46222	Large ribosomal subunit protein uL5	21.2	4	19	0	315693.846	16	
P46223	Large ribosomal subunit protein eL8	33.58	8	36	0	829522.4625799999	25	
P46415	Alcohol dehydrogenase class-3	18.47	6	12	6	128669.9605	10	
P46461	Vesicle-fusing ATPase 1	39.19	29	83	0	728270.98681	69	
P46824	Kinesin light chain	41.34	24	66	0	676783.8934	51	
P47947	Troponin C, isoform 1	20.78	3	33	0	1303928.35619	31	
P47949	Troponin C, isoform 3	51.61	7	20	0	814917.6659	18	
P48148	Ras-like GTP-binding protein Rho1	66.67	10	36	10	744842.7881	29	
P48149	Small ribosomal subunit protein uS8A	38.46	6	23	0	563154.98952	17	
P48159	Large ribosomal subunit protein uL14	70.71	8	26	8	433997.28225	21	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	60.19	5	36	5	1973797.53513	23	
P48451	Calcineurin subunit B type 1	55.88	7	25	0	114585.0787	4	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	19.88	6	11	0	911.5895600000001	2	
P48554	Ras-related protein Rac2	26.56	5	20	0	15555.766	4	
P48555	Ras-related protein Ral-a	43.28	8	20	1	300484.58631	17	
P48588	Small ribosomal subunit protein eS25	8.55	1	6	1	47597.32592	5	
P48596	GTP cyclohydrolase 1	46.91	13	74	13	1286516.63337	55	
P48598	Eukaryotic translation initiation factor 4E1	26.64	4	17	0	147559.68225	17	
P48601	26S proteasome regulatory subunit 4	51.25	22	73	0	853882.82178	49	
P48602	V-type proton ATPase catalytic subunit A isoform 1	55.7	28	113	0	1786336.60879	93	
P48603	F-actin-capping protein subunit beta	20.65	7	16	0	73462.18057	14	
P48604	GrpE protein homolog, mitochondrial	42.72	11	48	11	480827.92839	43	
P48605	T-complex protein 1 subunit gamma	34.56	21	73	0	652506.53321	54	
P48607	Protein spaetzle	4.29	1	2	0	2579.794	1	
P48609	Cyclin-dependent kinase 5 homolog	16.67	5	8	4	29622.8075	5	
P48610	Arginine kinase 1	75.28	38	429	0	24197292.14121	353	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	63.1	8	28	8	394430.35488	19	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	41.57	12	53	0	477964.45199	46	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	19.48	6	18	0	42629.03053	12	
P49028	Protein mago nashi	46.26	6	12	6	198630.7606	8	
P49071	MAP kinase-activated protein kinase 2	13.93	6	12	0	87203.58042	10	
