Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	17119.229199999998	3	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	40076.9444	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1969360.71681	63	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	27272.8917	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	60543.303850000004	13	
A0A1F4	Protein eyes shut	9.56	22	68	0	500245.42319	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	7116.2031	3	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	153219.17909	17	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	1585.2805	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	750.3902	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	3422.16576	3	
A1Z877	Nidogen	24.81	29	66	29	633584.38633	62	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	4013.2026	1	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	663.35095	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	180929.88438	57	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	116713.8517	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	58511.7369	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	164295.52007	32	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	8703.8837	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	130483.35429	37	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	46915.5862	3	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	11712.3519	4	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	19656.08536	9	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	8461.8165	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	14485.380000000001	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	7868.481	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	171415.8391	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	24633.32116	8	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	221890.5203	8	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1508759.78137	82	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	232070.60682	19	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	338633.67386	49	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	601536.77823	32	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	55332.9124	4	
C0HL66	Histone H3.3A	52.94	8	63	0	66788.028	3	
C0HLZ9	Baramicin A1	15.56	4	9	0	33033.0569	7	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	514189.72659	31	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	6620.91465	6	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	66606.14984	11	
M9NDE3	Protein bark beetle	3.91	13	19	13	60525.96117	13	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	4326817.26102	102	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	113905.0407	6	
O01367	Protein held out wings	21.48	8	10	0	40335.7773	9	
O01382	Caspase drICE	17.99	5	7	4	6936.91626	6	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	377164.287	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	3413995.93942	103	
O02194	Presenilin homolog	5.73	3	5	0	6378.6137	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	360618.2942	20	
O02649	Heat shock protein 60A	73.47	40	183	25	7439488.66789	155	
O15943	Neural-cadherin	14.89	49	91	2	658127.61151	76	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	68251.2639	10	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	62317.1898	3	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	23459.29753	5	
O18333	Ras-related protein Rab-2	18.31	5	10	5	52092.72115	9	
O18334	Ras-related protein Rab6	18.75	5	16	0	10763.36507	4	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	538270.858	26	
O18388	Importin subunit beta	3.73	4	6	0	7270.652679999999	3	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	5155910.71362	106	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	369857.0703	30	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	56829.24237	11	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	61768.4505	3	
O44342	Protein windbeutel	19.46	5	10	0	38100.94436	8	
O44386	Integrin alpha-PS3	11.84	14	20	12	88501.57971	17	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	2417.0486	1	
O46037	Vinculin	53.69	50	137	0	2103478.79296	118	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	33378.2054	4	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	95269.16874000001	7	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	97746.67674000001	9	
O46339	Homeobox protein homothorax	6.16	3	3	3	803.0901	1	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	347285.69009	21	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	2343.8922700000003	3	
O61307	Teneurin-m	0.66	2	2	0	3498.0679	2	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	21785.4935	4	
O61491	Flotillin-1	48.83	23	81	23	1209592.49963	69	
O61722	PRL-1 phosphatase	44.32	7	23	7	345599.00941	15	
O62619	Pyruvate kinase	69.23	27	80	27	2566430.73003	62	
O62621	Coatomer subunit beta'	3.17	3	4	3	7111.25835	4	
O76206	Putative riboflavin kinase	49.02	7	15	0	368705.1905	12	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	172172.25650000002	6	
O76742	Ras-related protein Rab7	28.5	6	12	6	117777.67286	11	
O76878	RILP-like protein homolog	9.71	5	10	0	52172.19098	9	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	95541.2022	15	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	299643.36938	16	
O77051	Transcription factor E2F2	22.97	9	14	0	29275.67287	9	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	20313.5899	4	
O77277	Torsin-like protein	12.65	5	8	0	62959.217599999996	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	3454.7235	2	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	29783.75	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	85446.526	23	
O96690	Protein PDF	23.53	1	1	1	2805.0857	1	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	2606492.04282	67	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	41987.911199999995	7	
O97125	Heat shock protein 68	24.09	13	89	6	184438.77996	20	
O97172	UPF0729 protein CG18508	29.29	3	8	0	44887.246100000004	7	
O97394	Protein sidekick	1.89	4	5	0	2773.4974700000002	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	28995.3983	5	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	1100812.73	46	
P00334	Alcohol dehydrogenase	88.28	21	200	21	29832529.65699	144	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	1776056.8118	34	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	3648.0055	3	
P02255	Histone H1	14.45	3	6	0	38457.0604	5	
P02283	Histone H2B	56.91	8	70	8	1546504.83142	54	
P02299	Histone H3	52.94	8	67	2	1723228.8088	55	
P02515	Heat shock protein 22	40.8	8	18	8	187264.20414000002	14	
P02516	Heat shock protein 23	84.41	16	83	0	5467974.53283	71	
P02517	Heat shock protein 26	57.69	10	30	0	1484550.72989	25	
P02518	Heat shock protein 27	44.13	9	21	0	575368.97075	21	
P02572	Actin-42A	64.1	25	768	2	40944091.24901	587	
P02574	Actin, larval muscle	65.96	25	672	0	1888761.1738800001	22	
P02828	Heat shock protein 83	48.4	33	148	0	3503401.3405	138	
P02843	Vitellogenin-1	70.84	32	265	0	1666706.2657299999	142	
P02844	Vitellogenin-2	59.28	26	187	0	1204213.31977	90	
P04197	Myb protein	3.81	3	3	0	586.0941	1	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	328237.64157	15	
P04388	Ras-like protein 2	13.02	2	10	2	57201.0512	8	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	15575.179929999998	6	
P05205	Heterochromatin protein 1	36.89	8	22	8	225081.42048	19	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	2814099.0239	31	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	731120.1936	16	
P05552	Transcription factor Adf-1	7.63	2	5	0	49357.2476	5	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	25427.6576	10	
P05812	Heat shock protein 67B1	12.13	5	7	5	17652.64873	5	
P06002	Opsin Rh1	4.56	2	8	2	25825.073299999996	6	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	20576341.82444	135	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	8480.853	1	
P06607	Vitellogenin-3	82.14	33	299	0	1409898.54018	168	
P06742	Myosin light chain alkali	56.77	11	71	0	7306175.95747	42	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	5402.851	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	1679932.04988	41	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	9033381.57881	128	
P07665	Serendipity locus protein beta	8.43	4	5	0	3025.3180500000003	2	
P07668	Choline O-acetyltransferase	7.63	5	6	5	10902.33566	4	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	19329308.87943	333	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	19312.2178	7	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	259311.487	22	
P08144	Alpha-amylase A	18.22	8	15	0	261957.93524	13	
P08171	Esterase-6	13.24	9	22	0	149260.81805	20	
P08182	Casein kinase II subunit beta	38.72	8	38	2	628578.003	30	
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	1277040.17024	25	
P08645	Ras-related protein Rap1	25.54	5	15	0	203471.93995	15	
P08646	Ras-like protein 1	30.69	4	10	4	134021.00237	9	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	12343658.155240001	170	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	50784.53885	11	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	4650620.11617	110	
P08928	Lamin	67.36	50	193	49	4206862.23128	167	
P08985	Histone H2A.v	42.55	10	47	8	810763.7623599999	30	
P09040	Drosulfakinins	21.99	3	3	3	33679.623999999996	3	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	833518.95695	49	
P09208	Insulin-like receptor	3.03	8	10	8	9914.65252	6	
P09491	Tropomyosin-2	76.76	34	245	2	81947.48105	6	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	119447.3582	13	
P10180	Homeobox protein cut	0.46	1	3	0	75014.8445	3	
P10379	Protein unzipped	20.29	8	28	0	504867.3795	25	
P10552	FMRFamide-related peptides	2.31	1	3	1	41125.72	2	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	394372.92196	65	
P10981	Actin-87E	76.33	30	777	0	1294577.17049	35	
P10987	Actin-5C	64.63	27	797	0	581782.0564	26	
P11046	Laminin subunit beta-1	21.09	39	84	39	1188107.3240399999	66	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	32632.89	1	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	22132553.66898	345	
P11584	Integrin beta-PS	18.32	17	45	0	327721.4435	38	
P12024	Chaoptin	30.95	35	88	0	1780559.35154	73	
P12080	Integrin alpha-PS2	11.53	17	39	17	249077.47518	34	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	842357.37289	38	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	10417.36983	3	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	332438.44001	31	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	504953.82634	39	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	138380.36250000002	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	132892.94022	8	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	654332.75734	68	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	1659342.68043	85	
P13395	Spectrin alpha chain	65.3	140	542	0	11206853.46579	453	
P13469	DNA-binding protein modulo	4.06	2	2	0	4177.1735	2	
P13496	Dynactin subunit 1	14.23	21	45	21	142384.86569	33	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	2433746.31243	118	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	43928.91156	13	
P13678	Protein kinase C	5.01	4	4	0	6031.1844	2	
P14199	Protein ref(2)P	13.19	7	32	7	190927.74672	31	
P14318	Muscle-specific protein 20	80.43	16	103	16	2269681.11186	72	
P14484	Pupal cuticle protein	27.17	5	39	5	446163.87981	29	
P14599	Amyloid-beta-like protein	1.92	2	2	0	1227.82532	2	
P15007	Enolase	78.0	40	271	1	26550355.73473	228	
P15215	Laminin subunit gamma-1	33.62	53	135	0	1600324.19687	119	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	1299.67236	2	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	2054946.89227	78	
P15364	Protein amalgam	15.92	5	11	0	58353.69365	10	
P15372	Phosrestin-2	67.58	19	65	0	1228580.08117	60	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	140543.1378	7	
P16378	G protein alpha o subunit	29.1	11	46	7	606482.1719600001	39	
P16554	Protein numb	15.47	8	12	0	65077.97567	10	
P16568	Protein bicaudal D	23.4	19	27	0	190516.46288	26	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	74012.8568	11	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	5517.38797	5	
P16914	Protein elav	30.23	13	43	0	623316.33756	37	
P17210	Kinesin heavy chain	34.56	34	100	34	782034.99867	82	
P17276	Protein henna	44.69	15	32	0	1027295.06466	29	
P17336	Catalase	41.11	16	61	16	1334564.7853899999	47	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	656255.3859400001	30	
P17719	Dihydrofolate reductase	4.4	1	2	1	6659.1385	2	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	1213398.74176	42	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	10949.039560000001	4	
P18431	Protein kinase shaggy	29.77	14	58	0	1634540.48822	52	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	4826446.86883	146	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	80093.5597	10	
P18824	Armadillo segment polarity protein	14.47	12	25	0	146567.11826	16	
P19107	Phosrestin-1	77.56	33	263	33	10344783.09883	235	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	181709.72464	29	
P19334	Transient receptor potential protein	4.39	6	9	4	47395.4027	7	
P19339	Protein sex-lethal	4.52	2	4	0	8508.792259999998	3	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	99603.18197	9	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	4001998.2678	41	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	11008.4883	3	
P20153	Protein ultraspiracle	5.91	4	7	0	29091.2925	6	
P20228	Glutamate decarboxylase	27.84	12	34	0	206636.66396	26	
P20232	Transcription elongation factor S-II	42.81	13	19	0	87062.56216	12	
P20240	Otefin	29.95	11	22	11	126639.55133999999	18	
P20241	Neuroglian	21.89	29	84	0	891317.4016999999	75	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	119202.24420000002	6	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	9287.0627	3	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	31939.2721	3	
P20432	Glutathione S-transferase D1	52.15	12	101	9	9650991.73707	89	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	3493738.26139	59	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	15580069.07744	205	
P21187	Polyadenylate-binding protein	26.81	14	44	14	178223.84645	36	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	4725407.5635400005	95	
P22465	Annexin B10	65.42	20	129	20	3128128.56545	112	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	823745.4906199999	31	
P22813	Heat shock factor protein	7.09	5	6	0	39980.1397	5	
P22815	Protein bride of sevenless	1.34	1	1	1	3547.8352	1	
P22979	Heat shock protein 67B3	54.27	8	22	8	730257.1311	19	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	33528.2126	7	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	383723.25306	48	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	21336.35277	3	
P23625	G protein alpha q subunit	54.67	20	124	18	3797369.99108	100	
P23654	Neurotactin	8.87	7	17	0	81889.10889999999	14	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	111523.8624	10	
P23779	Cystatin-like protein	63.49	8	26	8	1202239.2011	21	
P24156	Prohibitin 1	73.91	17	62	0	1485012.47132	51	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	11534890.97764	102	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	7711.16	2	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	475956.70852	38	
P25171	Regulator of chromosome condensation	10.42	5	9	5	55989.60512	9	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	4244.5557	1	
P25228	Ras-related protein Rab-3	30.45	6	18	0	94290.3722	5	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	38825.6821	11	
P25822	Maternal protein pumilio	3.39	5	8	0	28237.419240000003	6	
P25843	Profilin	88.89	7	27	0	1199288.03776	22	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	275676.901	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	72631.8555	9	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	661263.97925	26	
P26686	Serine-arginine protein 55	18.35	8	14	0	93628.0904	11	
P27716	Innexin inx1	11.33	5	7	0	26912.84224	6	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	128346.29658	19	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	35420.9302	6	
P29052	Transcription initiation factor IIB	13.65	5	13	0	50263.0161	9	
P29310	14-3-3 protein zeta	69.35	18	328	0	11942313.97645	275	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	542299.59875	20	
P29413	Calreticulin	57.64	21	79	0	2897287.86658	72	
P29613	Triosephosphate isomerase	77.73	17	135	16	8031406.87529	108	
P29742	Clathrin heavy chain	8.76	16	22	0	35396.2075	13	
P29746	Protein bangles and beads	59.28	23	66	23	1539285.53429	63	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	1753133.06632	63	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	8140.07863	4	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	5772292.36938	131	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	5759184.36096	165	
P30432	Furin-like protease 2	2.44	4	6	0	9587.36656	5	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	866925.8436199999	42	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	1817726.6351400001	72	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	852800.07112	31	
P32234	Guanylate binding protein 128up	11.14	4	4	3	63782.27	3	
P32392	Actin-related protein 3	16.99	7	15	7	129899.16031	13	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	41821.49687	13	
P33438	Glutactin	23.98	23	64	0	308284.22998	45	
P34082	Fasciclin-2	23.02	17	30	0	174140.82143	24	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	775066.12381	23	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	592225.87855	18	
P35220	Catenin alpha	24.1	22	60	12	356974.34143000003	49	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	32094137.393	391	
P35415	Paramyosin, long form	75.2	85	589	0	17078872.23613	443	
P35416	Paramyosin, short form	62.19	47	347	0	1378283.54392	50	
P35421	Phosphoribosylformylglycinamidine synthase	0.59	1	2	1	560.45844	1	
P35554	Flightin	46.7	7	14	0	93012.80974	9	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	38158.235759999996	8	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	2087380.6933	58	
P36188	Troponin I	46.1	16	73	0	2373881.33416	68	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	707104.98974	13	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	1582.22233	3	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	677819.8927	23	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	3611.3086	1	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	3550550.09213	100	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	182619.9968	6	
P37236	Frequenin-1	56.15	9	52	0	179730.1354	9	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	3698.47271	3	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	354993.79725	16	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	2081946.22079	49	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	1942350.18727	57	
P39736	Puff-specific protein Bx42	12.61	6	12	0	17632.7396	7	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	241868.8074	4	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	237468.23084	15	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	42931.5954	4	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	424059.19366	26	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	28617.147249999998	8	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	366238.40688	25	
P40427	Homeobox protein extradenticle	3.72	1	4	0	4422.064700000001	2	
P40792	Ras-related protein Rac1	22.4	4	22	0	167077.76592	19	
P40793	Cdc42 homolog	27.75	5	16	0	204640.015	10	
P40796	La protein homolog	30.26	11	26	10	139171.98846	17	
P40797	Protein peanut	12.62	7	32	6	184364.98641	26	
P40945	ADP ribosylation factor 4	30.0	4	17	0	3060.3503	1	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	670345.89345	32	
P41043	Glutathione S-transferase S1	75.9	13	61	0	5635388.2895	47	
P41044	Calbindin-32	75.48	25	116	0	4554060.34238	91	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	160463.34819	23	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	283817.34385	16	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	376757.09802000003	20	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	1562899.38155	55	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	1355665.82942	40	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	546906.51396	36	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	117170.94873999999	13	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	326987.68313	24	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	7363.01476	2	
P42207	Septin-1	12.74	5	19	4	32732.1891	5	
P42281	Acyl-CoA-binding protein homolog	73.26	6	30	5	2619362.5442000004	28	
P42325	Neurocalcin homolog	66.32	14	25	14	809245.6880000001	21	
P42787	Carboxypeptidase D	5.26	8	12	0	88325.75954	10	
P43332	U1 small nuclear ribonucleoprotein A	18.98	5	13	5	98855.60265	10	
P45437	Coatomer subunit beta	7.57	5	10	5	65877.24858	10	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	16	118	16	6439898.73587	96	
P45888	Actin-related protein 2	12.53	5	9	5	40137.505900000004	5	
P45889	Actin-related protein 1	24.47	13	20	13	434534.45133	17	
P46150	Moesin/ezrin/radixin homolog 1	34.6	27	64	0	43384.254	1	
P46222	Large ribosomal subunit protein uL5	21.2	4	19	0	319946.15388	15	
P46223	Large ribosomal subunit protein eL8	33.58	8	36	0	745754.34579	26	
P46415	Alcohol dehydrogenase class-3	18.47	6	12	6	106709.3803	10	
P46461	Vesicle-fusing ATPase 1	39.19	29	83	0	726336.87452	73	
P46824	Kinesin light chain	41.34	24	66	0	835205.3914900001	50	
P47947	Troponin C, isoform 1	20.78	3	33	0	1576200.82214	28	
P47948	Troponin C, isoform 2	27.74	4	7	0	976.3181	1	
P47949	Troponin C, isoform 3	51.61	7	20	0	976525.5072	19	
P48148	Ras-like GTP-binding protein Rho1	66.67	10	36	10	837963.42318	32	
P48149	Small ribosomal subunit protein uS8A	38.46	6	23	0	692969.59418	19	
P48159	Large ribosomal subunit protein uL14	70.71	8	26	8	472235.33530000004	18	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	60.19	5	36	5	2120464.9297599997	26	
P48451	Calcineurin subunit B type 1	55.88	7	25	0	114197.6205	3	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	19.88	6	11	0	1532.39435	2	
P48554	Ras-related protein Rac2	26.56	5	20	0	20486.5415	4	
P48555	Ras-related protein Ral-a	43.28	8	20	1	343290.7159	17	
P48588	Small ribosomal subunit protein eS25	8.55	1	6	1	54499.43795	4	
P48596	GTP cyclohydrolase 1	46.91	13	74	13	1869373.39991	56	
P48598	Eukaryotic translation initiation factor 4E1	26.64	4	17	0	170658.63694	17	
P48601	26S proteasome regulatory subunit 4	51.25	22	73	0	966501.13906	54	
P48602	V-type proton ATPase catalytic subunit A isoform 1	55.7	28	113	0	1576301.4441	91	
P48603	F-actin-capping protein subunit beta	20.65	7	16	0	70934.32815	14	
P48604	GrpE protein homolog, mitochondrial	42.72	11	48	11	549129.4209499999	44	
P48605	T-complex protein 1 subunit gamma	34.56	21	73	0	795171.10164	56	
P48607	Protein spaetzle	4.29	1	2	0	2770.5276	1	
P48609	Cyclin-dependent kinase 5 homolog	16.67	5	8	4	35707.59596	5	
P48610	Arginine kinase 1	75.28	38	429	0	25296967.61163	354	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	63.1	8	28	8	629270.83228	22	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	41.57	12	53	0	674957.1992	47	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	19.48	6	18	0	64335.081360000004	13	
