Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
Q9VB68	Serine protease grass	12.2	5	13	5	37414.70802	11	
Q9VBC7	Neuroendocrine convertase 2	5.05	4	7	4	41311.4283	6	
Q9VBG6	Co-chaperone protein HGH1 homolog	1.9	1	1	0	7718.317	1	
Q9VBP9	Nuclear protein localization protein 4 homolog	9.2	6	8	6	16448.830860000002	6	
Q9VBV3	Protein takeout	9.64	3	11	0	125032.58024	11	
Q9VBV5	Nucleotide exchange factor Sil1	12.82	6	14	6	80662.73142	12	
Q9VC03	Nicotinamide-nucleotide adenylyltransferase	7.2	3	3	3	9694.4723	2	
Q9VC57	Atlastin	4.62	3	6	0	47512.5116	5	
Q9VCA5	Phenylalanine--tRNA ligase beta subunit	2.89	2	3	2	11549.7291	3	
Q9VCA9	Signal peptidase complex subunit 3	18.99	4	19	0	63802.1121	12	
Q9VCC0	Cysteine and histidine-rich domain-containing protein morgana	17.8	6	12	6	93856.61897	8	
Q9VCD0	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	3.1	2	2	2	4737.186	1	
Q9VCE1	Beclin-1-like protein	4.27	2	3	2	2308.0956699999997	3	
Q9VCG3	Putative OPA3-like protein CG13603	25.1	5	13	0	73251.02470000001	13	
Q9VCH5	Nuclear pore complex protein Nup98-Nup96	5.61	9	26	9	163332.34396	20	
Q9VCI0	RNA exonuclease 2	9.95	2	3	2	5469.5877	2	
Q9VCJ8	Spaetzle-processing enzyme	24.5	10	25	8	177494.68865	18	
Q9VCK0	Eukaryotic translation initiation factor 3 subunit D-1	7.32	5	10	4	126932.0515	10	
Q9VCK1	GILT-like protein 2	3.86	1	1	1	5537.832	1	
Q9VCR3	Proteoglycan Cow	9.38	6	10	0	19106.92095	7	
Q9VCX3	Large ribosomal subunit protein mL45	7.76	3	3	3	2063.66548	3	
Q9VCY3	COP9 signalosome complex subunit 6	17.3	7	13	7	85788.82137	10	
