Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	62151.093	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	35494.92096	7	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	3204159.31586	59	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	6628.0578000000005	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	167730.67369999998	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	773265.7154	37	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	3455.0479	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	233060.87995	14	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	844.632	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	20970.6953	2	
A1Z877	Nidogen	18.37	23	35	23	748272.0623	33	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	32731.1369	3	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	49523.8066	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	575165.00171	48	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	243791.5199	8	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	110116.38440000001	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	114923.3683	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	197145.50523	19	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	41796.4634	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	8991.8193	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	60321.810300000005	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	6798.5464	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	4198.7515	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	9200.681	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	329227.054	8	
A8DYP0	Protein Obscurin	1.38	6	8	6	56960.787	6	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	373841.3837	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	2434180.82667	97	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	225594.55502	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	1002093.08786	38	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	1009716.8756	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	73391.083	3	
C0HL66	Histone H3.3A	52.21	6	31	0	18800.018	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	81725.84700000001	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	530954.5775	25	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	189204.0346	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	63632.7448	7	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	5691293.10434	68	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	78402.3413	8	
O01367	Protein held out wings	10.37	3	4	0	28251.1613	3	
O01382	Caspase drICE	12.68	4	4	4	7639.3809	2	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	351180.26	11	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	6477667.31352	94	
O02194	Presenilin homolog	5.73	3	3	0	11777.73923	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	227816.2694	9	
O02649	Heat shock protein 60A	65.1	34	143	23	10191517.40757	130	
O15943	Neural-cadherin	14.01	44	66	2	1579551.6739	65	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	71495.7321	9	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	19635.19026	4	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	43181.2341	5	
O18333	Ras-related protein Rab-2	24.41	6	11	6	231426.8782	11	
O18334	Ras-related protein Rab6	33.65	8	12	0	93737.62830000001	6	
O18373	Inactive selenide, water dikinase-like protein	16.33	8	17	8	806796.1024	16	
O18388	Importin subunit beta	2.26	2	2	0	7649.91	2	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	79.22	16	133	16	8421894.3211	116	
O18413	26S proteasome regulatory subunit 8	45.68	18	36	6	752342.4052	26	
O18640	Small ribosomal subunit protein RACK1	22.64	8	13	0	316607.6643	12	
O44081	H/ACA ribonucleoprotein complex subunit 4	2.95	2	2	0	12302.166	2	
O44342	Protein windbeutel	28.79	7	9	0	121370.9621	9	
O44386	Integrin alpha-PS3	6.1	8	8	8	138967.6697	8	
O46037	Vinculin	55.88	45	103	0	2954189.03242	93	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	28452.8963	4	
O46098	LYR motif-containing protein 4 homolog	65.22	7	12	7	264590.1075	10	
O46106	Splicing factor 3A subunit 3	9.54	4	4	4	103166.6218	4	
O46339	Homeobox protein homothorax	4.72	2	2	2	3931.173	1	
O61231	Large ribosomal subunit protein uL16	27.06	8	15	0	373089.0053	11	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	18400.7243	3	
O61307	Teneurin-m	0.92	2	2	0	31791.71	1	
O61443	Mitogen-activated protein kinase p38b	12.88	4	10	3	212711.6523	10	
O61491	Flotillin-1	45.77	19	45	19	1824981.9949999999	45	
O61722	PRL-1 phosphatase	55.11	7	19	7	661911.8407000001	16	
O62619	Pyruvate kinase	57.6	24	73	24	4067888.6088	61	
O62621	Coatomer subunit beta'	2.84	3	3	3	13349.0754	3	
O76206	Putative riboflavin kinase	55.56	6	17	0	578756.1094	13	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	6	4	232369.9773	6	
O76742	Ras-related protein Rab7	36.71	7	10	7	288812.5747	10	
O76878	RILP-like protein homolog	8.35	4	5	0	91554.9037	5	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	27.85	8	10	8	155731.9166	9	
O76927	Small ribosomal subunit protein eS21	50.6	5	14	0	163452.5271	8	
O77051	Transcription factor E2F2	18.65	7	9	0	51791.0849	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	4	3	74989.4905	4	
O77277	Torsin-like protein	15.29	6	8	0	120046.17936	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.28	4	4	4	34222.0211	4	
O77460	Inorganic pyrophosphatase	62.72	16	93	1	126996.805	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	15	15	0	161101.1403	13	
O96690	Protein PDF	23.53	1	1	1	9550.819	1	
O96827	Probable elongation factor 1-beta	83.78	17	84	0	4037168.88417	79	
O97067	Probable peptidyl-tRNA hydrolase 2	26.34	4	7	0	62026.496499999994	7	
O97125	Heat shock protein 68	35.28	20	66	13	339347.4569	21	
O97172	UPF0729 protein CG18508	21.21	3	5	0	56166.221300000005	4	
O97394	Protein sidekick	1.48	3	3	0	15844.755400000002	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.82	3	3	3	48123.206000000006	3	
O97477	Inositol-3-phosphate synthase	36.28	15	41	15	1872842.8574	39	
P00334	Alcohol dehydrogenase	85.16	20	241	20	22267705.33183	219	
P00408	Cytochrome c oxidase subunit 2	33.77	7	20	7	2758989.19	17	
P00522	Tyrosine-protein kinase Abl	3.7	4	4	0	2885.3393499999997	2	
P02255	Histone H1	14.45	3	3	0	37391.2264	3	
P02283	Histone H2B	54.47	8	74	8	2376861.59242	69	
P02299	Histone H3	52.21	6	34	2	5682605.4071	29	
P02515	Heat shock protein 22	32.76	6	14	6	178229.17190000002	13	
P02516	Heat shock protein 23	70.97	15	72	0	4559341.2829	70	
P02517	Heat shock protein 26	58.17	9	19	0	1519798.51034	18	
P02518	Heat shock protein 27	52.11	10	28	0	565534.98245	23	
P02572	Actin-42A	63.83	25	618	2	86738179.14815	534	
P02574	Actin, larval muscle	65.69	27	537	0	978645.7132	24	
P02828	Heat shock protein 83	59.27	42	143	0	8867207.49253	131	
P02843	Vitellogenin-1	73.35	27	218	0	1489011.35167	139	
P02844	Vitellogenin-2	67.65	24	169	0	1186884.44759	100	
P04197	Myb protein	2.74	2	2	0	11075.060300000001	2	
P04359	Large ribosomal subunit protein eL32	18.66	3	8	3	535893.138	8	
P04388	Ras-like protein 2	33.33	5	7	5	45975.37568	7	
P05031	Aromatic-L-amino-acid decarboxylase	7.06	3	3	3	8510.5985	3	
P05205	Heterochromatin protein 1	32.52	7	16	7	152977.9668	15	
P05303	Elongation factor 1-alpha 2	59.74	24	115	0	2125532.2789000003	16	
P05389	Large ribosomal subunit protein P2	29.2	3	18	3	1663313.9653999999	18	
P05552	Transcription factor Adf-1	12.21	3	3	0	82569.905	3	
P05661	Myosin heavy chain, muscle	53.72	124	410	1	187478.08839999998	8	
P05812	Heat shock protein 67B1	11.91	5	6	5	86710.4386	5	
P06002	Opsin Rh1	8.85	3	8	3	131833.4528	7	
P06603	Tubulin alpha-1 chain	58.44	23	182	0	25911640.7182	164	
P06604	Tubulin alpha-2 chain	34.52	15	132	1	21683.826999999997	2	
P06607	Vitellogenin-3	79.05	31	233	0	2230492.43196	181	
P06742	Myosin light chain alkali	41.94	6	120	0	11273473.42964	103	
P07207	Neurogenic locus Notch protein	0.3	1	1	0	3057.245	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	64.16	18	104	6	5495896.1747	26	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	81.33	20	112	0	11470281.20565	102	
P07665	Serendipity locus protein beta	1.97	1	1	0	10797.374	1	
P07668	Choline O-acetyltransferase	9.71	6	7	6	31008.7796	7	
P07764	Fructose-bisphosphate aldolase	89.2	36	369	0	40322691.95657	292	
P08111	Lethal(2) giant larvae protein	2.76	3	3	0	31507.5311	3	
P08120	Collagen alpha-1(IV) chain	3.93	5	12	5	210933.69476	12	
P08144	Alpha-amylase A	23.48	10	15	0	914148.2139999999	14	
P08171	Esterase-6	20.22	12	20	0	728866.40615	19	
P08181	Casein kinase II subunit alpha	10.71	2	4	0	90929.682	3	
P08182	Casein kinase II subunit beta	32.77	7	18	2	829267.0682999999	16	
P08570	Large ribosomal subunit protein P1	70.54	4	40	0	3246118.8821	39	
P08645	Ras-related protein Rap1	40.22	6	12	0	169483.39581	12	
P08646	Ras-like protein 1	37.04	5	13	5	891786.431	12	
P08736	Elongation factor 1-alpha 1	57.67	27	135	12	15645983.91815	117	
P08761	Peptide methionine sulfoxide reductase	36.18	8	13	0	218698.54734	13	
P08879	Nucleoside diphosphate kinase	51.63	8	80	0	7267812.5124	68	
P08928	Lamin	66.88	49	174	48	7260920.91606	154	
P08985	Histone H2A.v	41.84	7	43	5	1333328.2487	23	
P09040	Drosulfakinins	17.73	3	4	3	206041.454	4	
P09180	Large ribosomal subunit protein uL4	47.38	20	55	20	1528546.86713	47	
P09208	Insulin-like receptor	1.77	5	5	5	2347.4750000000004	2	
P09491	Tropomyosin-2	64.44	27	221	1	287964.403	4	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	45.98	5	9	5	124569.94799999999	7	
P10180	Homeobox protein cut	0.69	1	1	0	1556.5883	1	
P10379	Protein unzipped	27.05	12	27	0	1051649.917	24	
P10552	FMRFamide-related peptides	5.76	2	2	2	98864.76	2	
P10676	Neither inactivation nor afterpotential protein C	26.52	43	73	6	1147614.24381	64	
P10981	Actin-87E	68.62	28	611	0	17326046.3117	26	
P10987	Actin-5C	64.36	27	636	0	1035597.7527000001	14	
P11046	Laminin subunit beta-1	22.87	37	67	37	1926557.73575	62	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	34	1	2121.3154	1	
P11147	Heat shock 70 kDa protein cognate 4	78.49	51	327	0	30876805.6314	299	
P11584	Integrin beta-PS	19.98	17	28	0	469392.90936	27	
P12024	Chaoptin	27.6	35	84	0	2300378.58786	74	
P12080	Integrin alpha-PS2	13.11	18	23	18	706041.9283	22	
P12370	cAMP-dependent protein kinase catalytic subunit 1	40.51	17	41	16	1418948.6741	34	
P12426	Adenine phosphoribosyltransferase	25.82	5	9	0	126770.902	8	
P12613	T-complex protein 1 subunit alpha	21.54	12	16	0	338327.16994	14	
P12881	Proteasome subunit alpha type-1	59.86	13	42	0	1519351.6844	39	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	28.15	8	12	1	102489.71568000001	9	
P13008	Small ribosomal subunit protein eS26	21.05	2	7	0	104873.6464	6	
P13060	Eukaryotic translation elongation factor 2	30.81	23	41	23	973380.10847	37	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	37.99	40	102	0	2547391.6625	92	
P13395	Spectrin alpha chain	63.6	137	494	0	24750176.92893	452	
P13469	DNA-binding protein modulo	6.83	4	4	0	21435.4015	3	
P13496	Dynactin subunit 1	15.18	21	23	21	399568.6853	20	
P13607	Sodium/potassium-transporting ATPase subunit alpha	39.48	36	135	0	3991434.42203	126	
P13677	Protein kinase C, eye isozyme	14.14	11	17	10	161085.42326	15	
P13678	Protein kinase C	3.92	3	3	0	89900.007	3	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	77.41	27	201	0	15146.849	1	
P14199	Protein ref(2)P	22.37	11	19	11	327289.8104	17	
P14318	Muscle-specific protein 20	82.61	17	66	17	2785815.77217	62	
P14484	Pupal cuticle protein	27.17	5	19	5	512336.6913	18	
P14599	Amyloid-beta-like protein	1.92	2	2	0	13495.931	1	
P15007	Enolase	74.2	31	339	1	37853943.83234	298	
P15215	Laminin subunit gamma-1	39.35	55	99	0	2135145.6864	89	
P15330	Embryonic polarity protein dorsal	3.4	3	3	0	329841.8594	3	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.95	7	62	2	4776850.00525	60	
P15364	Protein amalgam	13.21	4	5	0	219260.263	4	
P15372	Phosrestin-2	60.16	20	59	0	2393892.0799	52	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	32.91	5	10	5	82494.0896	8	
P16378	G protein alpha o subunit	26.55	10	39	7	946691.98173	38	
P16554	Protein numb	7.73	4	5	0	67357.0188	5	
P16568	Protein bicaudal D	18.8	15	17	0	252299.5655	17	
P16620	Tyrosine-protein phosphatase 69D	4.86	8	9	8	219062.2194	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	4566.0312	1	
P16914	Protein elav	23.4	9	28	0	706733.977	27	
P17210	Kinesin heavy chain	44.31	40	74	40	2509631.0088	70	
P17276	Protein henna	40.71	15	27	0	845185.0321	26	
P17336	Catalase	34.78	14	49	14	1052273.12465	40	
P17704	Small ribosomal subunit protein eS17	65.65	7	25	7	1477390.1965	24	
P17719	Dihydrofolate reductase	19.78	3	4	3	50213.7243	4	
P18053	Proteasome subunit alpha type-4	50.0	12	38	10	2049149.2638	33	
P18173	Glucose dehydrogenase [FAD, quinone]	2.72	1	1	0	4395.1616	1	
P18431	Protein kinase shaggy	33.85	16	43	0	2241029.88907	39	
P18432	Myosin regulatory light chain 2	84.68	19	189	19	11427193.21227	172	
P18459	Tyrosine 3-monooxygenase	11.57	7	9	0	243540.322	8	
P18824	Armadillo segment polarity protein	22.78	16	24	0	478985.73035	24	
P19107	Phosrestin-1	73.82	32	213	32	13600587.815919999	198	
P19109	ATP-dependent RNA helicase p62	22.67	15	21	1	494634.6223	19	
P19334	Transient receptor potential protein	2.51	4	4	3	44905.911	3	
P19339	Protein sex-lethal	4.52	2	2	0	9065.082	2	
P19351	Troponin T, skeletal muscle	46.1	30	101	0	713631.0685	14	
P19889	Large ribosomal subunit protein uL10	48.58	14	75	0	3342096.68613	70	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	6.65	5	5	4	46103.0535	4	
P20153	Protein ultraspiracle	2.76	2	2	0	13059.9875	2	
P20228	Glutamate decarboxylase	18.04	8	26	0	484588.83957999997	25	
P20232	Transcription elongation factor S-II	31.63	7	8	0	308571.2439	7	
P20240	Otefin	32.08	11	14	11	161308.4334	12	
P20241	Neuroglian	25.81	31	74	0	2251686.9663	71	
P20348	Sex-regulated protein janus-A	38.52	5	5	5	71344.95962	5	
P20351	Tryptophan 2,3-dioxygenase	5.28	2	2	2	12413.7655	2	
P20354	G protein alpha s subunit	39.74	13	26	1	2901.5322	1	
P20385	Chorion transcription factor Cf2	1.76	1	1	0	2813.749	1	
P20432	Glutathione S-transferase D1	55.5	13	79	9	8244902.2295	64	
P20477	Glutamine synthetase 1, mitochondrial	41.85	14	59	0	4993330.5265	51	
P20478	Glutamine synthetase 2 cytoplasmic	81.03	24	179	0	32479894.8318	163	
P21187	Polyadenylate-binding protein	38.01	18	35	18	556635.60531	34	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	53.2	18	100	16	7772864.92666	91	
P22465	Annexin B10	76.01	24	139	24	6042614.49345	121	
P22769	Proteasome subunit alpha type-7-1	53.82	12	32	10	1067991.4904	32	
P22813	Heat shock factor protein	2.75	2	2	0	4314.35787	2	
P22815	Protein bride of sevenless	1.23	1	1	1	23093.926	1	
P22979	Heat shock protein 67B3	53.77	7	19	7	733604.04667	17	
P23128	ATP-dependent RNA helicase me31b	6.1	3	3	3	8480.1335	2	
P23226	205 kDa microtubule-associated protein	21.86	16	32	0	346530.82779	27	
P23257	Tubulin gamma-1 chain	5.89	3	3	2	34419.802200000006	3	
P23625	G protein alpha q subunit	51.56	19	75	16	3202718.582	64	
P23654	Neurotactin	12.41	10	13	0	184643.7133	13	
P23696	Serine/threonine-protein phosphatase PP2A	20.39	5	14	0	256037.7275	13	
P23779	Cystatin-like protein	63.49	8	32	8	2607713.39724	28	
P24156	Prohibitin 1	68.48	17	53	0	1734531.9355	47	
P25007	Peptidyl-prolyl cis-trans isomerase	55.95	13	102	10	8611990.7197	94	
P25160	ADP-ribosylation factor-like protein 1	6.11	1	3	1	34573.26	3	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	24	0	592294.7348	21	
P25171	Regulator of chromosome condensation	6.03	4	4	4	163737.204	4	
P25228	Ras-related protein Rab-3	33.64	7	18	0	332910.23764	12	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	4.86	7	7	7	36087.3998	6	
P25822	Maternal protein pumilio	2.15	3	5	0	43598.9036	5	
P25843	Profilin	88.89	7	28	0	1262701.2664	26	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	7.48	1	5	0	311646.92459999997	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	10.65	4	6	0	181888.655	6	
P26308	Guanine nucleotide-binding protein subunit beta-1	33.53	8	21	0	293392.9889	19	
P26686	Serine-arginine protein 55	9.31	4	7	0	201555.869	7	
P27716	Innexin inx1	2.21	1	2	0	37923.320999999996	2	
P27779	Pupal cuticle protein Edg-78E	38.52	3	11	0	125205.3785	11	
P28668	Bifunctional glutamate/proline--tRNA ligase	2.28	4	4	4	41406.047450000005	4	
P29052	Transcription initiation factor IIB	16.51	6	8	0	239490.93660000002	8	
P29310	14-3-3 protein zeta	67.74	17	278	0	24137261.128399998	236	
P29327	Small ribosomal subunit protein eS6	20.16	5	20	2	765524.0854	20	
P29413	Calreticulin	46.55	20	61	0	3344774.04468	57	
P29613	Triosephosphate isomerase	76.11	17	131	16	12340876.55364	122	
P29742	Clathrin heavy chain	7.39	13	15	0	118534.2744	13	
P29746	Protein bangles and beads	61.76	24	46	24	2431283.209	45	
P29829	Guanine nucleotide-binding protein subunit beta-2	51.45	16	61	16	2171049.46821	55	
P29843	Heat shock 70 kDa protein cognate 1	24.65	14	65	1	78793.689	7	
P29844	Endoplasmic reticulum chaperone BiP	61.28	42	212	0	9242417.995	150	
P29845	Heat shock 70 kDa protein cognate 5	62.97	44	178	0	10968806.48456	151	
P30432	Furin-like protease 2	0.66	1	1	0	6152.985	1	
P31009	Small ribosomal subunit protein uS5	44.94	11	28	0	2585008.14	28	
P31409	V-type proton ATPase subunit B	59.59	22	96	0	2067202.83131	78	
P32100	Large ribosomal subunit protein uL30	38.49	12	29	0	1321911.3509499999	27	
P32234	Guanylate binding protein 128up	16.3	6	8	5	116558.6255	8	
P32392	Actin-related protein 3	10.53	4	7	4	201362.13499999998	7	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.69	9	12	9	168836.5481	12	
P33438	Glutactin	14.13	17	42	0	466022.90028	36	
P34082	Fasciclin-2	17.18	15	23	0	229960.2713	21	
P35122	Ubiquitin carboxyl-terminal hydrolase	40.97	9	24	0	892551.422	20	
P35128	Ubiquitin-conjugating enzyme E2 N	56.29	7	17	0	686851.252	17	
P35220	Catenin alpha	24.86	22	44	14	928139.4265	39	
P35381	ATP synthase subunit alpha, mitochondrial	71.38	43	407	43	36314418.88523	354	
P35415	Paramyosin, long form	73.38	77	511	0	25081607.28154	441	
P35416	Paramyosin, short form	56.41	39	294	0	1959806.3801	39	
P35421	Phosphoribosylformylglycinamidine synthase	1.33	2	2	2	6332.8338	2	
P35554	Flightin	49.45	8	18	0	2488345.4599	18	
P35992	Tyrosine-protein phosphatase 10D	3.27	6	6	4	79669.759	6	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	38.92	19	38	0	1866574.8976	35	
P36188	Troponin I	47.58	17	65	0	5402173.63896	60	
P36241	Large ribosomal subunit protein eL19	32.51	7	18	7	837184.015	14	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.81	3	3	0	12784.9886	2	
P36951	Putative hydroxypyruvate isomerase	56.82	13	31	13	1255612.50575	30	
P36958	DNA-directed RNA polymerase II subunit RPB9	21.71	2	3	0	5668.267	1	
P36975	Synaptosomal-associated protein 25	85.38	19	114	17	4689699.0704	86	
P37193	Adrenodoxin-like protein 1, mitochondrial	18.02	3	4	0	176267.4187	4	
P37236	Frequenin-1	68.98	11	45	0	529646.049	8	
P37276	Dynein heavy chain, cytoplasmic	0.24	1	1	0	935.2399	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	14	5	453387.306	9	
P38979	Small ribosomal subunit protein uS2	82.59	17	93	17	3800265.85053	76	
P39018	Small ribosomal subunit protein eS19A	53.85	11	39	0	1674283.3662999999	37	
P39736	Puff-specific protein Bx42	6.4	3	4	0	32621.6096	4	
P40301	Proteasome subunit alpha type-2	21.79	4	7	4	208383.3547	7	
P40304	Proteasome subunit beta type-1	28.94	6	8	6	584629.36	8	
P40320	S-adenosylmethionine synthase	8.33	4	5	0	117890.552	3	
P40417	Mitogen-activated protein kinase ERK-A	42.82	13	29	7	1264221.14826	27	
P40421	Serine/threonine-protein phosphatase rdgC	9.83	6	8	0	31678.860099999998	5	
P40423	Myosin regulatory light chain sqh	44.25	6	19	0	753197.403	17	
P40427	Homeobox protein extradenticle	2.93	1	1	0	992.16754	1	
P40792	Ras-related protein Rac1	22.4	4	7	0	338986.638	7	
P40793	Cdc42 homolog	37.7	7	8	0	326243.4922	7	
P40796	La protein homolog	48.46	17	25	16	449975.04773	24	
P40797	Protein peanut	28.39	14	25	13	827408.7063	25	
P40945	ADP ribosylation factor 4	38.33	5	11	0	48500.603839999996	6	
P40946	ADP-ribosylation factor 6	38.86	5	8	5	83679.6923	8	
P41042	Small ribosomal subunit protein eS4	54.02	15	42	0	1049796.85246	34	
P41043	Glutathione S-transferase S1	76.71	15	62	0	8813648.3554	60	
P41044	Calbindin-32	77.74	26	146	0	7149576.84438	138	
P41073	Zinc finger protein on ecdysone puffs	17.18	12	29	0	251852.7866	24	
P41092	Large ribosomal subunit protein uL15	36.24	6	16	0	1229398.7297	16	
P41093	Large ribosomal subunit protein eL20	49.15	10	17	10	319130.8121	16	
P41094	Small ribosomal subunit protein uS13	56.58	14	48	14	1922713.0029	43	
P41126	Large ribosomal subunit protein eL13	47.71	12	50	0	1563780.3959	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.16	17	35	0	1282505.5943	34	
P41375	Eukaryotic translation initiation factor 2 subunit 2	18.27	6	6	6	65104.404599999994	5	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	28.48	12	22	0	728737.29262	18	
P42207	Septin-1	10.8	4	11	3	72345.2976	3	
P42281	Acyl-CoA-binding protein homolog	73.26	6	37	5	3100595.11688	33	
P42325	Neurocalcin homolog	42.63	8	22	8	897364.423	19	
P42787	Carboxypeptidase D	8.68	10	14	0	151414.84499	13	
P43332	U1 small nuclear ribonucleoprotein A	21.3	5	6	5	133107.192	6	
P45437	Coatomer subunit beta	4.67	3	4	3	50598.18374	3	
P45594	Cofilin/actin-depolymerizing factor homolog	75.68	13	89	13	6047608.2298	82	
P45888	Actin-related protein 2	15.79	5	7	5	99472.36720000001	7	
P45889	Actin-related protein 1	23.4	10	13	10	487008.24929999997	13	
P46150	Moesin/ezrin/radixin homolog 1	38.06	29	62	0	41620.161	2	
P46222	Large ribosomal subunit protein uL5	33.15	5	17	0	855011.06115	15	
P46223	Large ribosomal subunit protein eL8	33.58	10	33	0	1884375.293	32	
P46415	Alcohol dehydrogenase class-3	13.98	5	11	5	270257.2626	10	
P46461	Vesicle-fusing ATPase 1	35.44	26	45	0	907507.63844	44	
P46824	Kinesin light chain	37.4	23	45	0	1370167.4364	41	
P47947	Troponin C, isoform 1	24.68	4	24	0	2473485.2106	24	
P47948	Troponin C, isoform 2	47.1	6	9	0	17926.3442	3	
P47949	Troponin C, isoform 3	63.23	9	25	0	1078494.1251	20	
P48148	Ras-like GTP-binding protein Rho1	64.58	10	22	10	1469924.1269999999	20	
P48149	Small ribosomal subunit protein uS8A	64.62	8	24	0	1058418.67812	22	
P48159	Large ribosomal subunit protein uL14	70.71	8	28	8	906668.44155	25	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	71.3	5	29	5	2904597.7149	28	
P48451	Calcineurin subunit B type 1	62.35	7	17	0	471661.16299999994	5	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	23.24	7	11	0	21817.3754	2	
P48554	Ras-related protein Rac2	26.56	5	10	0	89035.80900000001	5	
P48555	Ras-related protein Ral-a	49.75	8	21	1	910473.90093	21	
P48588	Small ribosomal subunit protein eS25	16.24	2	4	2	76393.1114	4	
P48596	GTP cyclohydrolase 1	42.59	13	60	13	4023603.3297	52	
P48598	Eukaryotic translation initiation factor 4E1	32.82	6	16	0	453454.8495	16	
P48601	26S proteasome regulatory subunit 4	44.65	20	44	0	1989577.9097	33	
P48602	V-type proton ATPase catalytic subunit A isoform 1	64.17	30	96	0	1969130.52429	87	
P48603	F-actin-capping protein subunit beta	24.28	6	7	0	99485.4985	5	
P48604	GrpE protein homolog, mitochondrial	47.89	11	32	11	874308.88512	32	
P48605	T-complex protein 1 subunit gamma	46.32	25	48	0	1500283.85635	40	
P48607	Protein spaetzle	3.99	1	1	0	7070.0444	1	
P48609	Cyclin-dependent kinase 5 homolog	20.75	8	11	7	341426.2723	10	
P48610	Arginine kinase 1	75.84	36	446	0	51669308.15058	405	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	54.76	8	27	8	1368209.4936600002	21	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	36.82	10	43	0	606422.21977	39	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	18.44	5	9	0	80791.7849	6	
P49028	Protein mago nashi	30.61	4	6	4	34679.0316	3	
P49071	MAP kinase-activated protein kinase 2	13.65	6	9	0	343400.373	8	
