Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
Q9VF70	Cerebral cavernous malformation 3	13.94	4	5	4	85922.8134	5	
Q9VF77	FI16517p1	13.42	5	6	5	97282.636	5	
Q9VF82	Trafficking protein particle complex subunit 6B	13.16	2	3	2	74135.015	3	
Q9VF85	serine--tRNA ligase	13.67	5	5	5	75255.308	5	
Q9VF86	N-acetyl-D-glucosamine kinase	14.66	7	11	7	178020.79739999998	8	
Q9VF98	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	34.29	3	4	3	50516.209500000004	4	
Q9VFC7	Mf5 protein	78.08	31	236	0	7844455.95698	153	
Q9VFF0	Mitochondrial-processing peptidase subunit beta	59.15	23	134	23	10883861.84497	103	
Q9VFI3	GEO08281p1	45.19	3	10	3	134804.214	7	
Q9VFM0	GH19262p	7.14	4	5	4	24604.4048	4	
Q9VFN7	GEO07678p1	19.5	3	9	3	461892.07700000005	9	
Q9VFN9	GEO07882p1	41.94	6	7	6	121032.37204	7	
Q9VFP0	RH07106p	23.51	8	9	8	84473.39140000001	9	
Q9VFP6	Inositol polyphosphate 1-phosphatase	39.2	13	32	13	1054889.1422899999	22	
Q9VFQ9	Dipeptidase B, isoform A	33.07	14	17	14	493908.2024	15	
Q9VFS1	Adenosine deaminase	4.98	3	3	3	16378.7157	3	
Q9VFS4	Cilia- and flagella-associated protein 36	7.1	2	2	2	22574.7608	2	
Q9VFT4	AT27578p	13.48	9	12	9	88828.46414	9	
Q9VFU7	Sidestep IV, isoform C	1.7	2	3	2	42107.024	3	
Q9VFV9	DnaJ-like-2, isoform A	43.18	19	40	19	1885135.479	38	
Q9VFZ4	Methanethiol oxidase	6.38	3	3	3	91066.428	3	
Q9VG00	Cytochrome c oxidase assembly protein COX20, mitochondrial	30.0	4	5	4	109381.881	3	
Q9VG01	RE12073p	1.88	1	1	1	10020.35	1	
Q9VG04	Protein MEMO1	5.42	2	2	2	75596.973	2	
Q9VG06	peptidyl-tRNA hydrolase	15.83	2	2	2	7244.561600000001	2	
Q9VG23	GH22994p	59.07	11	45	1	3074283.37379	43	
Q9VG26	MIP06012p	30.05	7	25	7	1160307.33645	22	
Q9VG31	Malic enzyme	16.91	13	17	0	420267.0198	17	
Q9VG33	Sulfurtransferase	67.27	7	15	7	844787.6947	15	
Q9VG42	Glycine N-methyltransferase	20.07	6	6	6	327106.81200000003	4	
Q9VG51	Sorting nexin-3	34.13	7	25	7	793166.1965999999	19	
Q9VG62	Toys are us	6.19	3	3	3	41974.643	3	
Q9VG69	LP03547p	35.71	12	26	12	1121653.1564	23	
Q9VG81	RH49330p	15.78	7	8	7	27254.228560000003	7	
Q9VG92	Glutathione S transferase D8	13.21	3	17	2	145093.5452	4	
Q9VGA0	Glutathione S transferase D9, isoform A	39.91	9	19	7	606508.4085	16	
Q9VGA1	Glutathione S transferase D10, isoform A	7.62	2	14	1	4113.554	1	
Q9VGA3	LD12305p	33.64	7	18	6	539626.2706	16	
Q9VGC2	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	2.41	1	1	1	4671.2163	1	
Q9VGE4	FI04457p	4.49	6	6	6	37082.3372	4	
Q9VGE7	Beta-galactosidase	9.11	4	4	4	17945.8684	3	
Q9VGF3	IP11040p	9.86	4	5	4	100460.962	5	
Q9VGF7	Mitochondrial glutamate carrier 2	34.27	11	32	9	1475427.4179	29	
Q9VGJ9	Heme oxygenase	16.22	5	5	5	349164.167	5	
Q9VGK3	peptidylprolyl isomerase	60.87	6	10	6	132963.0223	10	
Q9VGL0	LD43047p	2.84	3	3	3	17561.658030000002	3	
Q9VGM2	Fatty acid-binding protein, muscle	84.62	12	193	0	16019666.9799	156	
Q9VGP7	Large ribosomal subunit protein mL40	15.31	3	4	3	57972.874639999995	4	
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	42.52	16	67	16	4841552.8739	59	
Q9VGQ8	Arfaptin	11.55	4	5	4	83470.20368	5	
Q9VGR1	GRIP and coiled-coil domain containing 88 kDa	5.04	4	4	4	30291.5177	4	
Q9VGS3	RH44771p	14.04	4	12	4	475619.4373	10	
Q9VGT0	UDP-glucuronosyltransferase	1.36	1	1	1	2387.066	1	
Q9VGT3	GM04645p	1.89	1	1	1	3114.3442	1	
Q9VGT8	UDP-glucuronosyltransferase	10.83	5	5	5	67749.7775	5	
Q9VGU7	Arrestin C-terminal-like domain-containing protein	5.03	2	2	2	73106.695	2	
Q9VGV9	palmitoyl-protein hydrolase	7.66	2	2	2	72341.363	2	
Q9VGW7	type I protein arginine methyltransferase	18.09	5	5	5	72117.8627	5	
Q9VGY2	Peptide deformylase	14.71	4	4	3	49409.147	4	
Q9VGZ3	Cytoplasmic aconitate hydratase	9.79	9	11	6	97804.573	11	
Q9VH25	Gamma-soluble NSF attachment protein	26.5	8	14	5	80688.6735	5	
Q9VH26	Carbonic anhydrase	17.43	6	11	6	292164.13386	9	
Q9VH37	IP06524p	14.29	3	4	3	107785.67319999999	4	
Q9VH64	LD29322p	26.91	9	14	9	301998.4344	14	
Q9VH66	FI18258p1	27.9	6	12	6	224558.40593	12	
Q9VH72	TA01656p1	37.25	6	14	6	288206.8281	12	
Q9VH76	Synaptosomal-associated protein	53.3	11	43	9	523217.0425	22	
Q9VH77	mannose-6-phosphate isomerase	6.31	3	5	3	29234.685900000004	4	
Q9VH81	protein-serine/threonine phosphatase	9.42	5	5	5	7202.0344000000005	2	
Q9VH98	Diuretic hormone 44, isoform A	22.19	6	10	6	239955.09594000003	10	
Q9VHA1	Spermidine synthase, isoform A	15.33	4	6	1	96990.98019999999	5	
Q9VHA8	LD25575p	13.05	7	10	7	530697.7087	10	
Q9VHB1	Mitochondrial pyruvate carrier	55.19	7	19	2	631793.648	17	
Q9VHB8	2-oxoisovalerate dehydrogenase subunit alpha	5.47	3	5	3	41840.7076	5	
Q9VHC3	Blistery, isoform A	16.39	11	15	11	93875.6416	13	
Q9VHC7	FI21236p1	32.28	15	32	8	964089.43008	21	
Q9VHE3	GH05665p	6.25	2	2	2	13137.759	2	
Q9VHE4	omega-amidase	20.85	7	15	7	362730.7327	15	
Q9VHE5	Large ribosomal subunit protein eL34	32.14	7	10	2	243470.6714	10	
Q9VHF9	Uncharacterized protein, isoform B	10.11	2	5	2	63067.1078	4	
Q9VHG6	Insulator binding factor 2	16.92	4	5	4	49494.15858	4	
Q9VHH8	Beag	6.46	4	4	4	32559.8915	4	
Q9VHI1	Hyrax	6.32	3	3	3	23925.2162	3	
Q9VHI8	Uncharacterized protein, isoform A	31.01	12	19	2	849246.93974	17	
Q9VHJ2	LD32381p	2.65	1	2	1	59193.865	2	
