Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
Q9V9W2	Large ribosomal subunit protein eL6	27.57	9	28	0	2547104.0535	24	
Q9V9W4	GH08048p	1.69	1	1	1	4596.9404	1	
Q9V9Y6	Carbonic anhydrase	8.61	3	3	3	41388.995	2	
Q9VA09	Guanylate cyclase soluble subunit beta-1	6.35	6	6	6	244643.072	6	
Q9VA18	Coiled-coil-helix-coiled-coil-helix domain containing 3	78.03	20	85	20	6765502.6358	83	
Q9VA32	Cuticular protein 100A	29.88	7	16	7	572045.80088	13	
Q9VA34	LP06141p	1.88	2	2	2	49097.617	2	
Q9VA36	CIN85 and CD2AP related, isoform C	24.15	19	24	0	472672.57876	22	
Q9VA41	GEO08227p1	52.87	7	18	3	660131.0302	12	
Q9VA42	Niemann-Pick type C-2g, isoform A	49.69	7	27	4	6339780.5236	24	
Q9VA56	GH23271p	63.77	23	81	2	93476.44060000002	5	
Q9VA69	procollagen-proline 4-dioxygenase	2.73	2	2	2	57668.914	1	
Q9VA71	FI19924p1	4.52	1	2	1	6994.0416000000005	2	
Q9VA76	IP18706p	16.43	6	8	6	91766.467	4	
Q9VA81	GEO10172p1	29.29	5	5	5	118165.6875	5	
Q9VA95	Trafficking protein particle complex subunit	17.93	2	3	2	191457.65	3	
Q9VA97	Pyridoxal phosphate homeostasis protein	35.43	8	13	8	891778.4387	13	
Q9VAA6	GEO12235p1	19.62	3	7	3	339399.8581	7	
Q9VAA9	JIL-1 anchoring and stabilizing protein, isoform A	28.21	11	18	11	492932.06830000004	18	
Q9VAC1	GM14349p	45.49	17	130	17	22806985.83594	122	
Q9VAC4	GEO09167p1	63.46	7	16	7	1439570.12458	16	
Q9VAC9	Uncharacterized protein, isoform A	30.21	10	13	1	73035.93208	10	
Q9VAD4	Translation initiation factor eIF2B subunit alpha	8.17	3	3	3	13340.562	2	
Q9VAD7	RH37294p	18.5	3	3	3	31637.291400000002	3	
Q9VAG3	trypsin	17.0	4	7	4	178491.2094	7	
Q9VAG9	3'(2'),5'-bisphosphate nucleotidase 1	40.85	10	16	10	982406.7613	13	
Q9VAI9	GEO07291p1	62.25	8	60	5	10338343.33604	54	
Q9VAJ9	Mitochondrial 2-oxoglutarate/malate carrier protein	33.75	12	15	12	420570.2951	15	
Q9VAL5	protein-tyrosine-phosphatase	0.86	1	1	0	1694.8262	1	
Q9VAL7	Calnexin 99A, isoform A	38.51	22	70	1	2989330.2871	65	
Q9VAN7	Phosphoglycerate mutase	62.35	16	134	14	33035361.9854	126	
Q9VAQ4	Peptidase S1 domain-containing protein	12.85	5	6	5	103181.39660000001	6	
Q9VAS1	Neprilysin-like 19	2.24	2	2	2	18095.857	1	
Q9VAU6	LD27564p	2.99	2	2	2	17708.3016	2	
Q9VAV2	FI21480p1	16.52	13	16	13	567383.25	15	
Q9VAY0	Neprilysin 7	5.16	4	4	4	42083.726299999995	4	
Q9VAY2	Heat shock protein 83	37.87	32	96	31	6464739.88702	78	
Q9VAY6	Pre-mRNA-splicing factor SPF27	17.99	4	5	4	70569.964	3	
Q9VAY9	GH07821p	7.89	3	3	3	46462.127	3	
Q9VB05	ALG-2 interacting protein X	26.2	26	47	26	2945523.95369	46	
Q9VB10	Hydroxysteroid dehydrogenase-like protein 2	48.06	18	46	18	5719501.75596	45	
Q9VB17	IP11341p	7.98	3	3	3	126334.31	1	
Q9VB22	LD33695p	14.29	8	11	8	346350.03990000003	10	
Q9VB23	Serine/threonine protein phosphatase 2A regulatory subunit	22.33	13	26	1	759342.23775	23	
Q9VB51	GEO08385p1	42.96	3	3	3	64637.651999999995	2	
Q9VB64	Uridine diphosphate glucose pyrophosphatase NUDT14	47.17	9	29	9	1042869.20034	24	
Q9VB66	CLIP domain-containing serine protease	6.04	3	4	3	41410.803	4	
Q9VB69	Malic enzyme	20.75	12	16	1	309789.36683	16	
Q9VB76	Carbonic anhydrase	3.54	1	2	1	10706.782500000001	2	
Q9VB77	IP09938p	12.18	4	4	4	181294.078	4	
Q9VB79	IP09473p	24.22	8	17	8	1015051.6773	15	
Q9VB81	Cuticular protein 97Eb	54.89	13	55	13	7987731.7198	53	
Q9VB86	LP07342p	10.14	2	3	1	44501.551999999996	3	
Q9VB96	Uncharacterized protein, isoform A	36.49	14	29	2	2517942.4823000003	29	
Q9VBC1	Uncharacterized protein, isoform A	29.03	3	3	3	38648.5425	3	
Q9VBC9	Beaten path VII	13.15	4	4	4	227067.212	4	
Q9VBI2	UMP-CMP kinase	54.55	16	95	16	15922009.63223	86	
Q9VBI3	RH72336p	28.52	9	21	9	1581579.9627999999	19	
Q9VBL3	GH01188p	13.79	7	7	7	79108.23993	7	
Q9VBN5	60S ribosomal protein L27	26.67	4	6	4	1071466.527	6	
Q9VBP5	Jing interacting gene regulatory 1, isoform A	4.76	2	2	1	40727.715	2	
Q9VBP6	Succinate-semialdehyde dehydrogenase	68.96	32	141	32	35599863.84823	133	
Q9VBR3	Astrocytic leucine-rich repeat molecule	1.7	1	1	1	34056.887	1	
Q9VBS7	Uncharacterized protein, isoform B	34.35	12	24	12	1607960.925	24	
Q9VBT1	CHK kinase-like domain-containing protein	12.95	6	9	6	410497.649	8	
Q9VBT2	IP11926p	9.86	4	4	4	28115.0516	3	
Q9VBU0	Uncharacterized protein, isoform A	7.43	4	4	3	47842.262	3	
Q9VBU9	40S ribosomal protein S27	38.1	3	9	3	4604813.942	8	
Q9VBV4	Juvenile hormone binding protein 7	30.4	8	10	8	359038.8773	9	
Q9VBY7	Protein lin-7 homolog	63.08	12	50	1	6173036.1197	44	
Q9VC05	Oxysterol-binding protein	9.44	6	7	6	57869.97036	7	
Q9VC06	LD37516p	15.21	10	15	10	122700.91084	15	
Q9VC10	Phosphatidylinositol glycan anchor biosynthesis class S	3.17	2	2	2	11060.3848	2	
Q9VC18	Bifunctional purine biosynthesis protein ATIC	28.64	15	23	15	544845.6167	21	
Q9VC30	RE05274p	8.06	1	2	1	4818.8572	2	
Q9VC31	Ras-related protein Rab-1	32.39	7	28	5	890468.9089999999	15	
Q9VC48	Methionine aminopeptidase	25.67	9	14	9	722338.5342999999	14	
Q9VC53	BolA-like protein DDB_G0274169	21.33	4	13	4	673445.0555	10	
Q9VC58	Syntaxin-18	8.86	4	4	4	33756.61016	4	
Q9VC66	AT25567p	28.82	13	18	13	530557.7184	18	
Q9VC67	Juvenile hormone binding protein 12	11.9	3	4	3	57507.236300000004	4	
Q9VC87	RE57978p	10.75	4	4	4	13896.65594	3	
Q9VCB9	FI08802p	26.23	6	12	6	986388.9560000001	12	
Q9VCD8	Structural maintenance of chromosomes protein	0.89	1	1	1	732.96716	1	
Q9VCD9	Uncharacterized protein, isoform C	34.42	5	10	5	1310561.6069699998	10	
Q9VCE0	Phosphatidylserine decarboxylase proenzyme, mitochondrial	11.41	5	5	5	133286.85308	4	
Q9VCF8	LD23561p	23.45	8	11	8	332425.04369	11	
Q9VCI4	LD32918p	3.55	3	3	3	54329.5126	3	
Q9VCI7	LD02979p	17.37	7	12	0	460498.522	11	
Q9VCK6	LD34157p	20.89	8	10	8	307032.9252	8	
Q9VCR2	N-acyl-aliphatic-L-amino acid amidohydrolase	10.22	5	5	4	81632.977	4	
Q9VCR4	FI17836p1	7.58	6	7	6	121522.84534	7	
Q9VCR9	RH48101p	39.61	11	25	11	1895250.90894	22	
Q9VCT4	Klingon	6.06	3	4	3	31395.7368	4	
Q9VCU0	GEO02312p1	34.17	4	8	4	646066.561	8	
Q9VCU1	FI07649p	1.31	1	1	1	15440.868	1	
Q9VCU6	Heterochromatin protein 1c	14.35	3	3	3	98544.692	2	
Q9VCW2	Cardinal	5.3	5	6	5	84884.9223	6	
Q9VCW6	GCS light chain	36.14	13	31	13	2509976.9402	27	
Q9VCZ2	FI07970p	2.48	1	1	1	47853.07	1	
Q9VD00	FI07666p	23.74	6	12	6	350526.9991	11	
Q9VD01	LP12095p	18.75	3	3	3	74311.717	2	
Q9VD02	GH14779p	30.73	4	10	4	580641.42675	10	
Q9VD13	GH02671p	14.64	8	9	0	194479.4485	8	
Q9VD14	GH07286p	17.02	9	13	9	271459.6046	12	
Q9VD29	small monomeric GTPase	54.92	10	33	10	3026809.6565	27	
