Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	290206.8639	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	112382.54996	9	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	11917580.68525	67	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	81600.50672	9	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	347907.21045	12	
A0A1F4	Protein eyes shut	12.91	28	65	0	2795343.60599	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	14487.3912	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	307897.17863000004	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	16241.0513	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	17157.2774	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	13343.678	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	23035.6454	4	
A1Z877	Nidogen	21.48	28	49	28	2908778.7675	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	89210.2151	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	1142420.41813	61	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	746781.9380000001	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	190164.3435	10	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	483242.32415	26	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	16025.264299999999	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	12563.057	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	315820.8023	19	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	40844.6385	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	96326.8273	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	178877.70403	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	19233.238	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	94075.842	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	12928.532	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	1391766.2796	10	
A8DYP0	Protein Obscurin	1.87	8	8	8	61235.094	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	790220.9502999999	10	
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	8981024.86366	118	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	1035927.4487	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	2723389.38325	47	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1785577.47655	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	201035.8186	8	
C0HL66	Histone H3.3A	55.15	7	37	0	59850.4148	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	215204.6104	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	3214699.4905	39	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	24698.3111	3	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	180365.5496	12	
M9NDE3	Protein bark beetle	4.42	14	14	14	147284.47139999998	12	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	19388654.781	69	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	190653.6982	10	
O01367	Protein held out wings	18.52	7	14	0	406192.64673	13	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	1093723.7431	13	
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	15061298.17593	127	
O02194	Presenilin homolog	5.73	2	2	0	13514.72127	2	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	1190816.546	18	
O02649	Heat shock protein 60A	76.27	44	168	28	30856984.85382	151	
O15943	Neural-cadherin	17.05	53	82	2	2779388.75314	78	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	169078.1587	12	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	67266.8909	5	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	37601.2923	3	
O18333	Ras-related protein Rab-2	44.6	9	17	9	651297.64305	17	
O18334	Ras-related protein Rab6	33.17	8	22	0	164809.0475	8	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	1920185.8014	21	
O18388	Importin subunit beta	3.85	4	4	0	89126.82844000001	4	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	23738094.43192	122	
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	1633940.549	37	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	710661.5809000001	14	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	14256.161	1	
O44342	Protein windbeutel	17.51	4	5	0	78306.5637	5	
O44386	Integrin alpha-PS3	7.26	8	10	6	201006.79323	8	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	652711.3403	5	
O46037	Vinculin	59.31	53	121	0	6151577.02559	109	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	11560.509	1	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	1240276.8007999999	17	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	362146.7803	10	
O46339	Homeobox protein homothorax	5.54	2	2	2	12703.8295	2	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	743274.69978	18	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	49763.24800000001	2	
O61307	Teneurin-m	2.01	4	4	0	115630.655	2	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	255079.6397	10	
O61491	Flotillin-1	57.51	24	64	24	4401369.8779	59	
O61722	PRL-1 phosphatase	67.05	10	24	10	690658.74816	22	
O62619	Pyruvate kinase	69.79	30	93	30	10688451.41522	77	
O62621	Coatomer subunit beta'	2.08	2	2	2	10893.570969999999	2	
O76206	Putative riboflavin kinase	39.87	6	13	0	879082.584	9	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	565878.269	6	
O76742	Ras-related protein Rab7	37.68	8	13	8	646635.5804000001	12	
O76878	RILP-like protein homolog	18.96	7	9	0	119613.0082	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	264594.1295	10	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	534730.4007	15	
O77051	Transcription factor E2F2	16.76	6	8	0	90934.4683	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	120378.4874	6	
O77277	Torsin-like protein	10.0	4	5	0	185635.617	5	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	50047.8723	4	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	401409.24865	22	
O96690	Protein PDF	15.69	1	2	1	23278.477	1	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	8253388.304570001	93	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	259539.6813	8	
O97125	Heat shock protein 68	30.39	17	74	11	822094.1283	26	
O97172	UPF0729 protein CG18508	29.29	3	3	0	37387.731	2	
O97394	Protein sidekick	0.45	1	1	0	394.09702	1	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	73651.37299999999	3	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	5471350.9782	43	
P00334	Alcohol dehydrogenase	88.28	23	232	23	145751287.24747	204	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	5160388.6572	22	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	13021.16533	3	
P02255	Histone H1	25.0	5	6	0	78373.253	6	
P02283	Histone H2B	56.91	8	80	8	13446694.7924	72	
P02299	Histone H3	55.15	7	35	2	11303941.2091	29	
P02515	Heat shock protein 22	38.51	7	11	7	308746.626	10	
P02516	Heat shock protein 23	84.95	16	72	0	9108766.30955	65	
P02517	Heat shock protein 26	48.08	8	23	0	3073875.4107	23	
P02518	Heat shock protein 27	55.87	11	23	0	1811404.3069499999	18	
P02572	Actin-42A	74.2	30	655	3	352606446.23499	585	
P02574	Actin, larval muscle	66.22	27	546	0	3596036.947	19	
P02828	Heat shock protein 83	51.74	42	171	0	30049220.52203	164	
P02843	Vitellogenin-1	65.15	29	248	0	2663603.90727	136	
P02844	Vitellogenin-2	66.97	26	196	0	2052488.22733	109	
P04197	Myb protein	2.28	2	2	0	14097.243999999999	2	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	781504.2675	8	
P04388	Ras-like protein 2	25.0	4	8	4	463439.34900000005	7	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	13917.378700000001	2	
P05205	Heterochromatin protein 1	44.66	9	23	9	1239871.6284999999	19	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	4934129.0922	36	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	3879315.8721	12	
P05552	Transcription factor Adf-1	17.56	4	5	0	165096.1	4	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	328928.01702	10	
P05812	Heat shock protein 67B1	22.7	8	11	8	250909.0292	11	
P06002	Opsin Rh1	7.24	3	7	3	455132.8714	5	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	106450570.34555	187	
P06607	Vitellogenin-3	80.0	35	270	0	3886875.43007	193	
P06742	Myosin light chain alkali	55.48	9	117	0	28482939.0697	98	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	8063.6949	2	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	11361240.09103	34	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	34417597.60693	132	
P07665	Serendipity locus protein beta	5.9	3	4	0	108798.358	4	
P07668	Choline O-acetyltransferase	14.7	8	8	8	71562.8466	8	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	182479790.06031	330	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	104406.57165	8	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	583409.9568	22	
P08144	Alpha-amylase A	22.87	10	19	0	1598298.7622	17	
P08171	Esterase-6	15.26	8	18	0	1155030.315	17	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	104950.1767	5	
P08182	Casein kinase II subunit beta	38.72	8	19	2	1920907.37702	18	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	9758503.25626	45	
P08645	Ras-related protein Rap1	40.76	6	13	0	465503.84319	12	
P08646	Ras-like protein 1	38.62	7	19	7	1540999.5445	17	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	64846135.327139996	156	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	515734.6375	12	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	17631712.62461	101	
P08928	Lamin	75.72	60	199	59	17324348.57792	175	
P08985	Histone H2A.v	42.55	10	39	8	5604835.3395	27	
P09040	Drosulfakinins	17.73	3	4	3	175834.02665999997	4	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	3998570.91766	47	
P09208	Insulin-like receptor	2.19	5	6	5	22670.32639	5	
P09491	Tropomyosin-2	82.39	40	292	3	1735252.622	10	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	218691.5325	8	
P10379	Protein unzipped	27.46	11	26	0	1492227.7118	24	
P10552	FMRFamide-related peptides	8.36	3	4	3	528520.9269999999	4	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	2933568.6327	65	
P10981	Actin-87E	69.15	30	649	0	27331052.18104	31	
P10987	Actin-5C	74.2	31	679	0	4621758.055	23	
P11046	Laminin subunit beta-1	29.14	47	83	47	5298191.041999999	74	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	783.2584	1	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	100896395.98614	340	
P11584	Integrin beta-PS	27.54	22	46	0	2569334.96335	42	
P12024	Chaoptin	34.98	42	110	0	7802480.70784	101	
P12080	Integrin alpha-PS2	12.39	17	21	17	1089923.1999000001	18	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	25371.25415	3	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	5605044.73645	50	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	64715.16843	4	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	718779.2276999999	15	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	55052.142	3	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	5510028.4984	44	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	471135.5699	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	600186.54366	9	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	2418959.7382	39	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	6447362.43993	109	
P13395	Spectrin alpha chain	66.34	150	596	0	74227282.06198	547	
P13469	DNA-binding protein modulo	6.83	4	4	0	104668.9769	4	
P13496	Dynactin subunit 1	19.53	26	29	26	826168.06295	28	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	9260542.91094	134	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	381375.9042	12	
P13678	Protein kinase C	6.22	5	6	0	83585.539	4	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	13108.722	1	
P14199	Protein ref(2)P	21.04	10	16	10	1041069.2246000001	15	
P14318	Muscle-specific protein 20	83.15	21	93	21	17028680.13455	86	
P14484	Pupal cuticle protein	27.17	5	23	5	1663531.751	21	
P15007	Enolase	77.8	36	335	1	118938359.50231	302	
P15215	Laminin subunit gamma-1	38.87	56	107	0	7437916.5439	102	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	33128.3832	4	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	14718333.1131	59	
P15364	Protein amalgam	24.62	6	10	0	328111.0151	9	
P15372	Phosrestin-2	69.78	24	97	0	6122023.2655299995	88	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	224956.813	4	
P16378	G protein alpha o subunit	26.27	11	43	8	5374505.788	39	
P16554	Protein numb	19.06	9	11	0	243213.0195	11	
P16568	Protein bicaudal D	20.59	17	19	0	584298.2337999999	18	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	535458.782	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	7659.961	1	
P16914	Protein elav	34.58	12	38	0	2237158.1008	35	
P17210	Kinesin heavy chain	46.77	45	96	45	5514798.95723	87	
P17276	Protein henna	40.04	15	35	0	2640842.4221	32	
P17336	Catalase	44.47	19	65	19	3525673.44944	52	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	2682743.19092	28	
P17719	Dihydrofolate reductase	26.92	4	8	4	195532.26770000003	7	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	6491005.1863	41	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	22036.273	2	
P18431	Protein kinase shaggy	43.77	19	57	0	4491558.12104	52	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	46948685.92626	228	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	285276.8327	12	
P18824	Armadillo segment polarity protein	17.67	13	22	0	333711.9866	17	
P19107	Phosrestin-1	71.82	33	296	33	50411828.61511	279	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	1388554.3724	23	
P19334	Transient receptor potential protein	4.39	6	7	5	62462.950549999994	5	
P19339	Protein sex-lethal	5.65	2	2	0	25567.576	2	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	1335803.9473	11	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	12019740.04176	60	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	28420.8888	3	
P20153	Protein ultraspiracle	1.57	1	1	0	29770.527	1	
P20228	Glutamate decarboxylase	20.78	11	32	0	1085338.5705000001	30	
P20232	Transcription elongation factor S-II	38.02	12	19	0	687892.6065	17	
P20240	Otefin	40.8	14	20	14	439458.7851	17	
P20241	Neuroglian	26.04	33	88	0	5946287.93167	83	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	831032.0660999999	11	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	80971.77100000001	3	
P20354	G protein alpha s subunit	47.01	15	32	1	7117.53175	2	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	63831.6843	6	
P20432	Glutathione S-transferase D1	52.15	14	87	11	33957500.1317	76	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	16370514.6044	66	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	78970934.7204	179	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1386542.531	31	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	18660458.4908	109	
P22465	Annexin B10	76.01	24	137	24	21278191.4245	119	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	2788859.9756	26	
P22813	Heat shock factor protein	4.34	3	3	0	18609.5433	2	
P22815	Protein bride of sevenless	2.01	2	3	2	56846.25259999999	3	
P22979	Heat shock protein 67B3	55.28	7	20	7	1067530.9454	18	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	72967.9155	6	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	1077998.1997	37	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	32977.716	2	
P23625	G protein alpha q subunit	57.51	21	85	18	12156234.0235	77	
P23654	Neurotactin	15.84	11	14	0	373434.2433	14	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	538107.132	12	
P23779	Cystatin-like protein	57.94	7	40	7	5215956.8799	36	
P24156	Prohibitin 1	68.12	18	72	0	6733375.55117	68	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	52748683.78922	123	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	329403.5	2	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	56955.2817	4	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	1458223.6442	27	
P25171	Regulator of chromosome condensation	10.42	5	6	5	310394.35000000003	5	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	9483.7031	2	
P25228	Ras-related protein Rab-3	37.73	7	22	0	395059.81210000004	9	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	212867.2487	9	
P25822	Maternal protein pumilio	3.13	5	6	0	120923.0557	6	
P25843	Profilin	88.89	7	37	0	2821365.6776	34	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	3800120.438	9	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	376397.03719999996	12	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	996691.416	21	
P26686	Serine-arginine protein 55	19.68	7	14	0	592036.2327	14	
P27716	Innexin inx1	2.49	1	1	0	3168.546	1	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	626568.2408	8	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	97235.564	9	
P29052	Transcription initiation factor IIB	16.83	6	10	0	321678.1446	10	
P29310	14-3-3 protein zeta	68.55	19	282	0	84079895.59293	241	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	1228218.0531	15	
P29413	Calreticulin	58.13	22	67	0	12843312.20389	65	
P29613	Triosephosphate isomerase	78.54	20	145	19	57579089.51287	139	
P29742	Clathrin heavy chain	7.99	13	14	0	266171.47868	13	
P29746	Protein bangles and beads	63.12	27	57	27	6987395.1733	56	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	5357115.486740001	68	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	257522.8409	7	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	28228763.32716	175	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	30549251.2219	166	
P30432	Furin-like protease 2	2.5	4	4	0	35717.297	3	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	7933.688	1	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	7096625.598	37	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	4210827.02444	83	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	2882606.9119	29	
P32234	Guanylate binding protein 128up	16.85	6	9	5	277722.1443	9	
P32392	Actin-related protein 3	26.56	9	16	9	485522.23307	16	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	736720.2006	18	
P33438	Glutactin	36.94	29	56	0	1396391.97875	47	
P34082	Fasciclin-2	26.8	21	34	0	1241432.07916	29	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	2302583.8989999997	22	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	2138923.1961	23	
P35220	Catenin alpha	26.39	24	38	14	1565671.1298	36	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	128021964.52956	367	
P35415	Paramyosin, long form	75.2	91	521	0	85277691.55458	460	
P35416	Paramyosin, short form	60.0	45	292	0	8807714.3453	52	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	18333.56	4	
P35554	Flightin	54.4	9	20	0	6477812.18414	20	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	107097.6176	7	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	6708749.53142	56	
P36188	Troponin I	57.99	21	83	0	17411523.2575	78	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	1753081.7364500002	16	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	14789.028	4	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	3218266.1535	31	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	169190.6183	2	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	16299524.34795	113	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	606075.9116	9	
P37236	Frequenin-1	71.66	12	40	0	2291594.259	12	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	8479.628	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	1680892.5309	12	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	14751788.19222	73	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	8034639.1718999995	52	
P39736	Puff-specific protein Bx42	9.87	4	5	0	68888.806	4	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	320175.4874	6	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	885884.3387	12	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	389399.77	6	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	2557743.09057	32	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	8384.9614	5	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1539983.4228	20	
P40427	Homeobox protein extradenticle	9.31	3	4	0	222360.205	4	
P40792	Ras-related protein Rac1	34.38	6	13	0	1701012.299	13	
P40793	Cdc42 homolog	24.61	4	8	0	699022.1971999999	7	
P40796	La protein homolog	40.51	13	18	12	763970.9741	16	
P40797	Protein peanut	38.4	19	35	18	2247027.8016	35	
P40945	ADP ribosylation factor 4	38.33	5	12	0	269777.977	7	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	728482.92	5	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1574660.8521	33	
P41043	Glutathione S-transferase S1	83.53	19	72	0	18437109.5453	67	
P41044	Calbindin-32	76.77	26	157	0	21893832.19575	145	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	1200867.9972	25	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	2751244.0736000002	21	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	886388.956	14	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	5669614.0449	43	
P41126	Large ribosomal subunit protein eL13	44.5	13	50	0	4841501.7096299995	41	
P41374	Eukaryotic translation initiation factor 2 subunit 1	48.39	18	46	0	4302883.3452	41	
P41375	Eukaryotic translation initiation factor 2 subunit 2	16.67	6	8	6	278250.6306	7	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	32.22	12	20	0	1341259.044	18	
P41900	General transcription factor IIF subunit 2	6.86	1	1	1	334.22653	1	
P42207	Septin-1	12.47	5	7	4	175981.777	5	
P42281	Acyl-CoA-binding protein homolog	77.91	8	49	7	10536155.58931	47	
P42325	Neurocalcin homolog	61.05	12	34	12	3161941.079	31	
P42787	Carboxypeptidase D	5.33	7	15	0	371043.43080000003	12	
P43332	U1 small nuclear ribonucleoprotein A	17.59	4	5	4	414007.24700000003	5	
P45437	Coatomer subunit beta	8.61	5	8	5	105329.77309999999	6	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	15	98	15	27003781.58456	87	
P45888	Actin-related protein 2	28.82	9	17	9	1152185.4542	15	
P45889	Actin-related protein 1	37.23	12	24	12	1332726.9159	22	
P46150	Moesin/ezrin/radixin homolog 1	44.12	31	74	0	32265.975	1	
P46222	Large ribosomal subunit protein uL5	32.61	7	20	0	1431881.3075	17	
P46223	Large ribosomal subunit protein eL8	34.69	11	35	0	3822427.2714	35	
P46415	Alcohol dehydrogenase class-3	14.25	6	12	6	737061.033	10	
P46461	Vesicle-fusing ATPase 1	51.81	38	76	0	2868835.39667	72	
P46824	Kinesin light chain	48.43	25	56	0	4782701.44847	52	
P47947	Troponin C, isoform 1	20.78	3	32	0	5906520.833	31	
P47948	Troponin C, isoform 2	48.39	6	16	0	322345.6028	9	
P47949	Troponin C, isoform 3	62.58	8	28	0	2381030.908	23	
P48148	Ras-like GTP-binding protein Rho1	61.98	12	32	12	4469078.4353	30	
P48149	Small ribosomal subunit protein uS8A	43.85	7	30	0	3182926.0039999997	26	
P48159	Large ribosomal subunit protein uL14	70.71	8	39	8	2576760.3533	36	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	76.85	7	40	7	15773562.9678	40	
P48451	Calcineurin subunit B type 1	62.35	8	26	0	639901.1716	10	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	24.16	7	16	0	51811.437	3	
P48554	Ras-related protein Rac2	26.04	5	12	0	66543.95	1	
P48555	Ras-related protein Ral-a	58.21	10	29	1	3027694.1023	28	
P48588	Small ribosomal subunit protein eS25	19.66	2	4	2	72330.2216	4	
P48596	GTP cyclohydrolase 1	56.79	16	71	16	12108782.06546	59	
P48598	Eukaryotic translation initiation factor 4E1	39.77	7	16	0	784544.97435	15	
P48601	26S proteasome regulatory subunit 4	63.33	29	66	0	3125763.8266	47	
P48602	V-type proton ATPase catalytic subunit A isoform 1	66.29	32	113	0	5867284.30297	105	
P48603	F-actin-capping protein subunit beta	38.77	10	12	0	419926.0314	12	
P48604	GrpE protein homolog, mitochondrial	45.07	11	39	11	4761881.8531	37	
P48605	T-complex protein 1 subunit gamma	40.44	24	51	0	4090954.16242	46	
