"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P10676",-1.06222841949458,19.7094940821678,-15.2222953299637,1.97370375315921e-08,8.23034465067389e-06,10.0543532220728
"Q9V4E7",1.30292940665369,15.7149598382524,11.9017847987221,2.22982217294942e-07,2.65667384605688e-05,7.66342726320171
"P19334",-1.02046554310178,15.2730765209876,-11.1912206229168,4.04742124991322e-07,3.37554932242762e-05,7.06159307574016
"Q9VV31",-1.30560764476999,15.7123156107349,-10.4948109548456,7.49937676275957e-07,4.31343463458033e-05,6.43444040998491
"Q8IN43",-1.11392451857727,17.9733984879883,-5.63796861679948,0.000188463286205251,0.00180664805396757,0.696802178099929
