"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q9VXE5",-0.00397440325523846,14.6223877713142,-0.0519300075694867,0.959255364197964,0.991008857876811,-6.72890364365145
"A0A0B4LFA6",0.00270905109607256,19.5302978862524,0.0510760777646964,0.959924737772906,0.991008857876811,-6.72894983072048
"M9NEW0",-0.00256653357297409,18.3233948402826,-0.0510682096171222,0.959930905556463,0.991008857876811,-6.72895025273093
"Q9VEV7",-0.0151300881284104,12.9890221246499,-0.0506562273295547,0.960253859147832,0.991008857876811,-6.72897225872933
"Q9VVC8",0.00239640960545806,16.6287960781737,0.0497757461554948,0.960944093776431,0.991008857876811,-6.72901869220376
"Q9VTB4",0.00307846507037723,20.6243990858406,0.0489806879586173,0.96156739056415,0.991008857876811,-6.7290599214911
"Q9W3T7",0.00214808987475479,17.4221886654468,0.0486359099436484,0.961837692083052,0.991008857876811,-6.72907759433138
"Q9U1L2",-0.0096428977283658,17.575044408311,-0.0475146175835379,0.962716804041762,0.991008857876811,-6.72913420726847
"Q9W4Y1",0.00417358682830837,17.5529511047564,0.0474432067754088,0.962772793011506,0.991008857876811,-6.72913776801862
"Q9XZ19",0.00321953224045401,16.0978403447937,0.047432106033522,0.962781496461504,0.991008857876811,-6.72913832105301
"Q9V3R3",-0.00362469985842928,13.6155425410513,-0.0468012885468023,0.963276091971162,0.991008857876811,-6.72916953554995
"Q9VJ60",-0.00332665373790064,16.5183773155597,-0.0464098945627026,0.963582974154369,0.991008857876811,-6.72918869271869
"Q9W503",-0.00228132641487733,17.9574976418074,-0.0462875822499861,0.963678877383806,0.991008857876811,-6.72919464643225
"Q9VHR8",-0.00206305718272404,20.4200281317183,-0.0448357792509962,0.964817257846641,0.991024852735439,-6.7292641151576
"O76877",0.00348043718430091,17.3522599733974,0.0443781696832484,0.965176092839011,0.991024852735439,-6.72928555305832
"Q9VRL0",0.00246302400905307,22.7535442311755,0.0439946324277977,0.965476849937103,0.991024852735439,-6.72930335148654
"Q9W141",-0.00201782167680165,21.8629555504522,-0.0427487608088674,0.966453857879013,0.991417610665556,-6.72936010166198
"Q9GU68",-0.0023549361140347,22.2183295334764,-0.0398785713779603,0.968704858133437,0.991928990891776,-6.72948463819188
"Q7JVK8",-0.00208815065004941,19.1486352379856,-0.0395330596606001,0.968975851118872,0.991928990891776,-6.72949904650594
"Q9VWU1",0.00385658894919771,14.9217294049625,0.0389749429307634,0.969413603541145,0.991928990891776,-6.72952205595726
"Q7K860",-0.00798772542778892,20.5263825897755,-0.0388207036320996,0.96953458115175,0.991928990891776,-6.72952835708715
"Q9VD02",-0.00203243414023646,18.2279487637161,-0.0377200040288405,0.970397937222984,0.991928990891776,-6.7295725986807
"Q9Y156",0.00356979749175856,16.1390687670303,0.0363707333921921,0.971456317003501,0.991928990891776,-6.72962509575633
"Q9VUV6",0.00256935937433767,14.8203500211342,0.0363409397240757,0.971479688051236,0.991928990891776,-6.72962623338808
"Q9VQR2",-0.0017039687045397,21.316904508939,-0.0355612115879487,0.972091339727541,0.991928990891776,-6.72965567486006
"Q9VK59",-0.00185240633735972,18.7636214747353,-0.0350830954017107,0.972466403214078,0.991928990891776,-6.72967341211203
"A1Z7G2",-0.00201548808081142,19.5576824389368,-0.0337811241600723,0.97348778254054,0.991928990891776,-6.72972049602135
"Q9VU35",0.00169715596255315,22.7126395080507,0.0337733775924,0.973493859766089,0.991928990891776,-6.7297207708376
"Q9VYU9",-0.00249147452340281,17.847412932123,-0.0311466439649495,0.97555464207811,0.993381012512899,-6.72981032297084
"Q9VHX2",0.00364316444083457,14.8036108317146,0.0302335015347814,0.97627108331862,0.993381012512899,-6.72983975708286
"Q9W396",-0.00155154892783038,16.6450152180121,-0.0296797614097816,0.976705551871196,0.993381012512899,-6.72985717975445
"Q7KTG2",-0.00162533063043568,18.0846112125531,-0.0268930468850883,0.978892141034216,0.993758108917146,-6.72993997182507
"P53997",-0.00468701594797238,17.3724232563893,-0.0265584316043103,0.979154708242337,0.993758108917146,-6.72994936465675
"Q9VVH5",-0.00138278536589098,22.5407473111675,-0.0257799134172963,0.979765608458935,0.993758108917146,-6.72997076302407
"Q9VZS1",-0.00249204998775099,15.4530562217287,-0.0255501967540607,0.979945868751101,0.993758108917146,-6.72997695540038
"Q9W4U2",0.00225859128463668,18.5773010952399,0.0248255277630946,0.9805145289771,0.993758108917146,-6.72999612682216
"Q9W0K9",-0.00237782697301192,14.1832779737809,-0.0246516345884647,0.980650987576512,0.993758108917146,-6.73000064518711
"Q9VB81",-0.00167112518346002,20.981184292151,-0.0227207533560937,0.982166242316704,0.99435952005162,-6.7300486822298
"Q8IQB7",-0.00264756038837888,14.4316984834557,-0.0223760641406085,0.982436744031816,0.99435952005162,-6.73005684561994
"Q9VCT4",0.00389657872750959,13.4078685773468,0.020588374727805,0.983839703729004,0.994477654981068,-6.73009718223971
"Q9VD14",-0.00126015537640711,17.6244761744166,-0.0197953238985315,0.984462099508303,0.994477654981068,-6.73011400150298
"Q9VCR9",-0.00110215860678053,19.3298423332831,-0.0192828275925775,0.984864318303549,0.994477654981068,-6.73012451931373
"Q9VTZ6",-0.00144503239524951,17.0784973340279,-0.0191885614642159,0.984938300976453,0.994477654981068,-6.73012642387293
